state,time_s,field,relative_l2_vs_L0
L0,0.0,rho,0.0
L0,0.0,p,0.0
L0,0.0,T,0.0
L0,0.0,U,0.0
L0,0.0,epsilonS,0.0
L0,0.0,Us,0.0
L0,0.0,theta,0.0
L0,0.0025,rho,0.0
L0,0.0025,p,0.0
L0,0.0025,T,0.0
L0,0.0025,U,0.0
L0,0.0025,epsilonS,0.0
L0,0.0025,Us,0.0
L0,0.0025,theta,0.0
L0,0.005,rho,0.0
L0,0.005,p,0.0
L0,0.005,T,0.0
L0,0.005,U,0.0
L0,0.005,epsilonS,0.0
L0,0.005,Us,0.0
L0,0.005,theta,0.0
L0,0.0075,rho,0.0
L0,0.0075,p,0.0
L0,0.0075,T,0.0
L0,0.0075,U,0.0
L0,0.0075,epsilonS,0.0
L0,0.0075,Us,0.0
L0,0.0075,theta,0.0
L0,0.01,rho,0.0
L0,0.01,p,0.0
L0,0.01,T,0.0
L0,0.01,U,0.0
L0,0.01,epsilonS,0.0
L0,0.01,Us,0.0
L0,0.01,theta,0.0
L0,0.0125,rho,0.0
L0,0.0125,p,0.0
L0,0.0125,T,0.0
L0,0.0125,U,0.0
L0,0.0125,epsilonS,0.0
L0,0.0125,Us,0.0
L0,0.0125,theta,0.0
L0,0.015,rho,0.0
L0,0.015,p,0.0
L0,0.015,T,0.0
L0,0.015,U,0.0
L0,0.015,epsilonS,0.0
L0,0.015,Us,0.0
L0,0.015,theta,0.0
L0,0.0175,rho,0.0
L0,0.0175,p,0.0
L0,0.0175,T,0.0
L0,0.0175,U,0.0
L0,0.0175,epsilonS,0.0
L0,0.0175,Us,0.0
L0,0.0175,theta,0.0
L0,0.02,rho,0.0
L0,0.02,p,0.0
L0,0.02,T,0.0
L0,0.02,U,0.0
L0,0.02,epsilonS,0.0
L0,0.02,Us,0.0
L0,0.02,theta,0.0
L0,0.0225,rho,0.0
L0,0.0225,p,0.0
L0,0.0225,T,0.0
L0,0.0225,U,0.0
L0,0.0225,epsilonS,0.0
L0,0.0225,Us,0.0
L0,0.0225,theta,0.0
L0,0.025,rho,0.0
L0,0.025,p,0.0
L0,0.025,T,0.0
L0,0.025,U,0.0
L0,0.025,epsilonS,0.0
L0,0.025,Us,0.0
L0,0.025,theta,0.0
L0,0.0275,rho,0.0
L0,0.0275,p,0.0
L0,0.0275,T,0.0
L0,0.0275,U,0.0
L0,0.0275,epsilonS,0.0
L0,0.0275,Us,0.0
L0,0.0275,theta,0.0
L0,0.03,rho,0.0
L0,0.03,p,0.0
L0,0.03,T,0.0
L0,0.03,U,0.0
L0,0.03,epsilonS,0.0
L0,0.03,Us,0.0
L0,0.03,theta,0.0
L0,0.0325,rho,0.0
L0,0.0325,p,0.0
L0,0.0325,T,0.0
L0,0.0325,U,0.0
L0,0.0325,epsilonS,0.0
L0,0.0325,Us,0.0
L0,0.0325,theta,0.0
L0,0.035,rho,0.0
L0,0.035,p,0.0
L0,0.035,T,0.0
L0,0.035,U,0.0
L0,0.035,epsilonS,0.0
L0,0.035,Us,0.0
L0,0.035,theta,0.0
L0,0.0375,rho,0.0
L0,0.0375,p,0.0
L0,0.0375,T,0.0
L0,0.0375,U,0.0
L0,0.0375,epsilonS,0.0
L0,0.0375,Us,0.0
L0,0.0375,theta,0.0
L0,0.04,rho,0.0
L0,0.04,p,0.0
L0,0.04,T,0.0
L0,0.04,U,0.0
L0,0.04,epsilonS,0.0
L0,0.04,Us,0.0
L0,0.04,theta,0.0
L0,0.0425,rho,0.0
L0,0.0425,p,0.0
L0,0.0425,T,0.0
L0,0.0425,U,0.0
L0,0.0425,epsilonS,0.0
L0,0.0425,Us,0.0
L0,0.0425,theta,0.0
L0,0.045,rho,0.0
L0,0.045,p,0.0
L0,0.045,T,0.0
L0,0.045,U,0.0
L0,0.045,epsilonS,0.0
L0,0.045,Us,0.0
L0,0.045,theta,0.0
L0,0.0475,rho,0.0
L0,0.0475,p,0.0
L0,0.0475,T,0.0
L0,0.0475,U,0.0
L0,0.0475,epsilonS,0.0
L0,0.0475,Us,0.0
L0,0.0475,theta,0.0
L0,0.05,rho,0.0
L0,0.05,p,0.0
L0,0.05,T,0.0
L0,0.05,U,0.0
L0,0.05,epsilonS,0.0
L0,0.05,Us,0.0
L0,0.05,theta,0.0
L1,0.0,rho,0.0
L1,0.0,p,0.0
L1,0.0,T,0.0
L1,0.0,U,0.0
L1,0.0,epsilonS,0.0
L1,0.0,Us,0.0
L1,0.0,theta,0.0
L1,0.0025,rho,2.2052434341442494e-16
L1,0.0025,p,2.097797864931826e-16
L1,0.0025,T,2.187786775014649e-16
L1,0.0025,U,4.916611948374173e-14
L1,0.0025,epsilonS,1.8634355221552615e-16
