schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,192,192,0,0,192,192,192,192,1,0,0,0x0000000000000000,-1,-1,37.8091507,3.76838398,0.379904002,0.001024,0.00307200011,0.00204799999,4.45235205,12.4436483,4.43699217,0.610303998,5.83475208,0.001024,5.82553577,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,192,192,0,0,192,192,192,192,1,0,0,0x0000000000000000,-1,-1,39.0574074,3.93625593,0.393216014,0.00204799999,0.00409599999,0.00409599999,4.56703997,12.9771519,4.66534424,0.616447985,6.00883198,0.00204799999,5.82963181,0.0296960007
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,192,192,0,0,192,192,192,192,1,0,0,0x0000000000000000,-1,-1,37.9156494,3.82361603,0.385024011,0.001024,0.00307200011,0.00307200011,4.46668816,12.5040636,4.47385597,0.610303998,5.80403185,0.00204799999,5.7876482,0.0277759992
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,189,192,0.20252314682524564,0.0010548080563814878,192,192,192,195,1,0,0,0x0000000000000000,-1,-1,37.8520966,3.78777599,0.377855986,0.001024,0.00307200011,0.00307200011,4.46054411,12.4415998,4.4830718,0.610303998,5.83884811,0.001024,5.79385614,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,187,192,0.6503642308833566,0.0033873137025174824,192,192,195,197,1,0,0,0x0000000000000000,-1,-1,38.8782082,3.85331202,0.385024011,0.00204799999,0.00409599999,0.00307200011,4.49945593,12.8000002,4.74316788,0.615423977,6.13785601,0.001024,5.78047991,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,185,192,1.2056082327760955,0.0062792095457088306,192,194,196,199,1,0,0,0x0000000000000000,-1,-1,37.8152962,3.83385611,0.382975996,0.00204799999,0.00409599999,0.00409599999,4.40422392,12.4200964,4.54963207,0.611328006,5.80198383,0.00204799999,5.7487359,0.0276800003
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,184,192,1.750104628568675,0.0091151282737951828,192,195,198,201,1,0,0,0x0000000000000000,-1,-1,38.7788811,3.851264,0.38092801,0.001024,0.00307200011,0.00409599999,4.45849609,12.8921604,4.80051184,0.615423977,5.93715191,0.001024,5.78150415,0.0286720004
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,182,192,2.2329267596727171,0.011629826873295402,192,196,199,202,1,0,0,0x0000000000000000,-1,-1,38.3488007,3.94137597,0.377855986,0.001024,0.00307200011,0.00307200011,4.43904018,12.5122557,4.72371197,0.60927999,5.96070385,0.001024,5.72313595,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,181,192,2.6793913830558145,0.0139551634534157,192,197,200,203,1,0,0,0x0000000000000000,-1,-1,38.7358704,3.86560011,0.379904002,0.001024,0.00409599999,0.00307200011,4.54246378,12.8153601,4.80473614,0.608255982,5.90131187,0.00204799999,5.7559042,0.0286720004
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,181,192,3.0828010168311222,0.016056255295995428,192,198,201,206,1,0,0,0x0000000000000000,-1,-1,39.5427856,3.94140792,0.387071997,0.001024,0.00409599999,0.00204799999,4.53119993,13.1604481,5.02988815,0.613376021,6.11020803,0.001024,5.70879984,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,110,0.010999999999999989,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,179,192,3.4564375372945406,0.018002278840075731,192,199,202,206,1,0,0,0x0000000000000000,-1,-1,38.3283195,3.95366406,0.40959999,0.00204799999,0.00307200011,0.00307200011,4.47488022,12.4805117,4.73702383,0.608255982,5.88288021,0.00204799999,5.72416019,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,120,0.011999999999999983,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,178,192,3.810025772448101,0.019843884231500526,192,199,203,208,1,0,0,0x0000000000000000,-1,-1,38.3672333,3.90963197,0.384000003,0.00204799999,0.00409599999,0.00307200011,4.49843216,12.4968958,4.77388811,0.60927999,5.9228158,0.00204799999,5.71392012,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,130,0.012999999999999977,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,177,192,4.1465023146397133,0.021596366222081841,192,200,204,208,1,0,0,0x0000000000000000,-1,-1,39.3318405,4.08780813,0.393216014,0.001024,0.00307200011,0.00409599999,4.61823988,12.8911362,4.90700817,0.611360013,6.0303359,0.001024,5.73235178,0.0266239997
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,140,0.013999999999999971,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,176,192,4.3950780909764564,0.022891031723835709,192,200,205,209,1,0,0,0x0000000000000000,-1,-1,39.4147835,3.90553594,0.381024003,0.001024,0.00307200011,0.00204799999,4.58444786,12.9710083,5.00735998,0.611328006,6.17881584,0.00204799999,5.71494389,0.0266239997
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,150,0.014999999999999965,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,175,192,4.6551487791745174,0.02424556655820061,192,201,206,210,1,0,0,0x0000000000000000,-1,-1,39.8058548,3.95673609,0.387071997,0.00204799999,0.00307200011,0.00307200011,4.56294394,13.2823038,5.1711998,0.614400029,6.08256006,0.00204799999,5.6852479,0.0286720004
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,160,0.015999999999999959,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,174,192,4.9019624478206429,0.025531054415732515,192,201,207,212,1,0,0,0x0000000000000000,-1,-1,38.5751038,3.97721601,0.386047989,0.001024,0.00409599999,0.00409599999,4.55065584,12.5880318,4.83942413,0.607231975,5.83577585,0.00204799999,5.72927999,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,170,0.016999999999999953,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,173,192,5.1382438919312454,0.026761686937141902,192,201,208,214,1,0,0,0x0000000000000000,-1,-1,39.198719,3.96083212,0.385024011,0.00204799999,0.00409599999,0.00307200011,4.58752012,12.894208,5.01862383,0.608255982,5.97094393,0.001024,5.71084785,0.027648
1,"m32_ppc192_E1_S1_paired_warmup","S1",532279,180,0.017999999999999947,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,172,192,5.4099574083495563,0.028176861501820607,192,202,209,216,1,0,0,0x0000000000000000,-1,-1,39.8120956,3.98336005,0.387071997,0.001024,0.00307200011,0.00307200011,4.56703997,13.247488,5.19167995,0.613376021,6.09280014,0.001024,5.66886377,0.027648
