schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,14.0113916,3.76217604,0.376832008,0.001024,0.00307200011,0.00204799999,3.76832008,0.524287999,0.203776002,0.0286720004,4.26086378,0.001024,1.03219199,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,14.0544004,3.79289603,0.375808001,0.00204799999,0.00307200011,0.00307200011,3.76012802,0.524287999,0.208895996,0.0296960007,4.27724791,0.00204799999,1.03219199,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,14.0195837,3.80108809,0.378879994,0.00204799999,0.00409599999,0.00409599999,3.7130239,0.524287999,0.202751994,0.0296960007,4.28236818,0.00204799999,1.03424001,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,8,8,0,0,8,8,8,8,1,0,0,0x0000000000000000,-1,-1,14.0206079,3.78265595,0.375808001,0.001024,0.00307200011,0.00204799999,3.757056,0.523263991,0.203776002,0.0296960007,4.26495981,0.001024,1.03116798,0.0205119997
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,7,8,0.054126587736527412,0.0067658234670659265,8,8,8,9,1,0,0,0x0000000000000000,-1,-1,14.0718079,3.78060794,0.376832008,0.00204799999,0.00409599999,0.00307200011,3.77855992,0.523263991,0.208895996,0.0296960007,4.28339195,0.001024,1.03219199,0.0215039998
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,6,8,0.15388840315306412,0.019236050394133015,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,14.0902395,3.80927992,0.375808001,0.001024,0.00307200011,0.00204799999,3.7888,0.524287999,0.216064006,0.0297279991,4.257792,0.001024,1.033216,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,6,8,0.21650635094610965,0.027063293868263706,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,14.1117439,3.84204793,0.378879994,0.00204799999,0.00409599999,0.00409599999,3.76012802,0.525312006,0.221184,0.0296960007,4.26598406,0.001024,1.03219199,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,6,8,0.26836818808308854,0.033546023510386068,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,14.0339203,3.820544,0.375808001,0.001024,0.00409599999,0.00409599999,3.74169588,0.524287999,0.215039998,0.0286720004,4.2403841,0.00204799999,1.03219199,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,6,8,0.31132591945580118,0.038915739931975148,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,14.1096964,3.83385611,0.374783993,0.001024,0.00307200011,0.00204799999,3.76832008,0.524287999,0.217087999,0.0286720004,4.27315187,0.00204799999,1.033216,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,6,8,0.32625957840345471,0.040782447300431839,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,14.1066236,3.84204793,0.376832008,0.00204799999,0.00409599999,0.00204799999,3.75910401,0.524287999,0.223232001,0.0307199992,4.26393604,0.00204799999,1.033216,0.0204799995
1,"m32_ppc8_E1_S1_paired_r2","S1",557455,110,0.010999999999999989,0.0001,"timing",1,"ok","","",32768,1,262144,263168,0.99610894941634243,262144,32768,6,8,0.34410493039914436,0.043013116299893045,8,8,9,10,1,0,0,0x0000000000000000,-1,-1,14.1670399,3.86252809,0.376832008,0.00204799999,0.00409599999,0.00307200011,3.72838402,0.525312006,0.221184,0.0307199992,4.27315187,0.00204799999,1.03526402,0.0215039998
