schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc112_warmup","L0",2409,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,112,112,0,0,112,112,112,112,1,0,0,0x0000000000000000,-1,-1,32.5201912,4.17587185,0.420863986,0.00204799999,0.00204799999,0.00204799999,9.89081573,7.96774387,2.88768005,0.001024,2.31321597,0.00204799999,4.79539204,0.0286720004
1,"m32_ppc112_warmup","L0",2409,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,112,112,0,0,112,112,112,112,1,0,0,0x0000000000000000,-1,-1,34.0244484,4.39910412,0.439296007,0.00204799999,0.00204799999,0.00409599999,10.459136,8.45312023,3.05356789,0.00204799999,2.34700799,0.00204799999,4.80768013,0.0296960007
1,"m32_ppc112_warmup","L0",2409,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,112,112,0,0,112,112,112,112,1,0,0,0x0000000000000000,-1,-1,33.5063057,4.35916805,0.431104004,0.00204799999,0.001024,0.00307200011,10.2850561,8.28211212,2.98393607,0.001024,2.32755208,0.00204799999,4.77081585,0.0286720004
1,"m32_ppc112_warmup","L0",2409,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,110,112,0.140625,0.0012555803571428572,112,112,112,114,1,0,0,0x0000000000000000,-1,-1,33.467392,4.35609579,0.519168019,0.00204799999,0.00204799999,0.00307200011,10.1980162,8.22476768,2.98086405,0.001024,2.3347199,0.00204799999,4.78822422,0.0286720004
1,"m32_ppc112_warmup","L0",2409,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,109,112,0.45076161677348925,0.0040246572926204401,112,112,114,115,1,0,0,0x0000000000000000,-1,-1,32.6799355,4.24448013,0.416768014,0.00204799999,0.00204799999,0.00409599999,9.88467216,7.96467209,2.95833611,0.00204799999,2.29273605,0.00204799999,4.852736,0.0286720004
1,"m32_ppc112_warmup","L0",2409,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,108,112,0.81016792723021314,0.0072336422074126177,112,113,115,117,1,0,0,0x0000000000000000,-1,-1,32.0808945,4.18815994,0.468991995,0.00204799999,0.00204799999,0.00204799999,9.63379192,7.76806402,2.89280009,0.00204799999,2.25587201,0.00204799999,4.81075191,0.0286720004
1,"m32_ppc112_warmup","L0",2409,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,106,112,1.1459901644565933,0.010232055039791011,112,114,116,118,1,0,0,0x0000000000000000,-1,-1,31.2852478,4.11033583,0.394239992,0.00307200011,0.00204799999,0.00307200011,9.3358078,7.53356791,2.8364799,0.00204799999,2.22822404,0.00204799999,4.78105593,0.027648
1,"m32_ppc112_warmup","L0",2409,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,105,112,1.427102341722555,0.012741985193951384,112,115,117,119,1,0,0,0x0000000000000000,-1,-1,31.0097923,4.09087992,0.417791992,0.00204799999,0.00204799999,0.00307200011,9.19654369,7.39942408,2.80883193,0.00204799999,2.18623996,0.001024,4.84556818,0.0286720004
1,"m32_ppc112_warmup","L0",2409,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,104,112,1.693637565456376,0.015121763977289071,112,115,117,120,1,0,0,0x0000000000000000,-1,-1,30.9319687,3.97311997,0.47615999,0.001024,0.00204799999,0.00409599999,9.18527985,7.39942408,2.82828808,0.001024,2.19340801,0.00204799999,4.81075191,0.0286720004
1,"m32_ppc112_warmup","L0",2409,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,3670016,4587520,0.80000000000000004,3670016,32768,104,112,1.9060098465528057,0.017017945058507195,112,116,118,121,1,0,0,0x0000000000000000,-1,-1,31.2391682,4.02739191,0.429055989,0.00204799999,0.001024,0.00409599999,9.32044792,7.53561592,2.8938241,0.00204799999,2.17600012,0.00204799999,4.79436779,0.0286720004
