schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc64_heavy_r4","E2",3690,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,64,64,0,0,64,64,64,64,1,0,0,0x0000000000000000,-1,-1,22.7655678,4.00179195,0.461824,0.00204799999,0.197632,0.00409599999,4.28748798,4.41753578,1.73977602,0.189439997,4.86502409,0.001024,2.54464006,0.0286720004
1,"m32_ppc64_heavy_r4","E2",3690,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,64,64,0,0,64,64,64,64,1,0,0,0x0000000000000000,-1,-1,23.2017918,4.07961607,0.424959987,0.00409599999,0.224255994,0.0532479994,4.36326408,4.4728322,1.77049601,0.191487998,4.92953587,0.00204799999,2.58355188,0.0286720004
1,"m32_ppc64_heavy_r4","E2",3690,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,64,64,0,0,64,64,64,64,1,0,0,0x0000000000000000,-1,-1,23.4444809,4.17382383,0.418816,0.00307200011,0.214016005,0.00511999987,4.46464014,4.52915192,1.80736005,0.196608007,4.99507189,0.00409599999,2.56204796,0.0286720004
1,"m32_ppc64_heavy_r4","E2",3690,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,63,64,0.091108623356957824,0.001423572239952466,64,64,64,65,1,0,0,0x0000000000000000,-1,-1,23.1311359,4.17791986,0.410623997,0.00204799999,0.198655993,0.00409599999,4.36121607,4.46361589,1.72646403,0.208895996,4.91520023,0.00204799999,2.598912,0.0286720004
1,"m32_ppc64_heavy_r4","E2",3690,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,62,64,0.31888018174935234,0.0049825028398336304,64,64,65,66,1,0,0,0x0000000000000000,-1,-1,23.0563831,4.08473587,0.420863986,0.00204799999,0.197632,0.00307200011,4.28339195,4.38988781,1.69676805,0.228351995,4.87833595,0.00204799999,2.7688961,0.027648
1,"m32_ppc64_heavy_r4","E2",3690,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,61,64,0.57722692068955861,0.0090191706357743533,64,65,66,68,1,0,0,0x0000000000000000,-1,-1,22.4061432,4.07859182,0.414719999,0.001024,0.194560006,0.00204799999,4.22297621,4.28543997,1.66911995,0.189439997,4.74521589,0.001024,2.54668808,0.027648
1,"m32_ppc64_heavy_r4","E2",3690,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,60,64,0.78650575877977524,0.012289152480933988,64,65,67,68,1,0,0,0x0000000000000000,-1,-1,22.1941757,3.9577601,0.413695991,0.001024,0.194560006,0.00204799999,4.20249605,4.21068811,1.65683198,0.188416004,4.67046404,0.001024,2.64089608,0.0256639998
1,"m32_ppc64_heavy_r4","E2",3690,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,59,64,0.94055491848562467,0.014696170601337885,64,66,67,69,1,0,0,0x0000000000000000,-1,-1,21.5296001,3.82873607,0.376832008,0.001024,0.192512006,0.00204799999,4.01612806,4.09497595,1.60358405,0.185343996,4.54758406,0.00204799999,2.62553596,0.0266239997
1,"m32_ppc64_heavy_r4","E2",3690,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,59,64,1.0813188652202688,0.016895607269066699,64,66,68,69,1,0,0,0x0000000000000000,-1,-1,21.6135674,3.90963197,0.377855986,0.00204799999,0.194560006,0.00409599999,4.01100779,4.09087992,1.60051203,0.186368003,4.55679989,0.00204799999,2.63372803,0.0266239997
1,"m32_ppc64_heavy_r4","E2",3690,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,59,64,1.2251933042636578,0.019143645379119653,64,66,68,70,1,0,0,0x0000000000000000,-1,-1,21.7282562,3.83180809,0.494592011,0.00307200011,0.193535998,0.00307200011,4.0345602,4.09087992,1.60563195,0.186368003,4.56192017,0.001024,2.67059207,0.0266239997
