schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc64_r4","S1",486456,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,64,64,0,0,64,64,64,64,1,0,0,0x0000000000000000,-1,-1,20.3632641,3.72736001,0.373760015,0.001024,0.00307200011,0.00204799999,3.91577601,4.11443186,1.58412802,0.153600007,4.5219841,0.00204799999,1.91795194,0.0235520005
1,"m32_ppc64_r4","S1",486456,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,64,64,0,0,64,64,64,64,1,0,0,0x0000000000000000,-1,-1,20.3683834,3.757056,0.376832008,0.00204799999,0.00409599999,0.00204799999,3.89836788,4.11238384,1.57491195,0.153600007,4.52095985,0.001024,1.91897595,0.0235520005
1,"m32_ppc64_r4","S1",486456,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,64,64,0,0,64,64,64,64,1,0,0,0x0000000000000000,-1,-1,20.3827209,3.76422405,0.376832008,0.001024,0.00409599999,0.00307200011,3.89734411,4.11340809,1.58208001,0.154624,4.52095985,0.00204799999,1.91897595,0.0235520005
1,"m32_ppc64_r4","S1",486456,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,63,64,0.091108623356957824,0.001423572239952466,64,64,64,65,1,0,0,0x0000000000000000,-1,-1,20.4400635,3.81337595,0.374783993,0.00204799999,0.00409599999,0.00307200011,3.90758395,4.11647987,1.57286406,0.154624,4.5271039,0.00204799999,1.92102396,0.0215039998
1,"m32_ppc64_r4","S1",486456,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,62,64,0.31888018174935234,0.0049825028398336304,64,64,65,66,1,0,0,0x0000000000000000,-1,-1,20.4032001,3.77958393,0.388096005,0.00204799999,0.00409599999,0.00307200011,3.90758395,4.1154561,1.54316795,0.154624,4.53324795,0.001024,1.92819202,0.0225600004
1,"m32_ppc64_r4","S1",486456,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,61,64,0.57722692068955861,0.0090191706357743533,64,65,66,68,1,0,0,0x0000000000000000,-1,-1,20.5393925,3.85638404,0.375808001,0.001024,0.00409599999,0.00307200011,3.92806411,4.11238384,1.581056,0.155647993,4.54655981,0.001024,1.93228805,0.0225280002
1,"m32_ppc64_r4","S1",486456,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,60,64,0.78650575877977524,0.012289152480933988,64,65,67,68,1,0,0,0x0000000000000000,-1,-1,20.4677124,3.80825591,0.375808001,0.001024,0.00409599999,0.00307200011,3.90451193,4.11647987,1.56467199,0.154624,4.55475187,0.001024,1.93638396,0.0225280002
1,"m32_ppc64_r4","S1",486456,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,59,64,0.94055491848562467,0.014696170601337885,64,66,67,69,1,0,0,0x0000000000000000,-1,-1,20.5312004,3.81747198,0.377855986,0.001024,0.00409599999,0.00409599999,3.93011189,4.1154561,1.579072,0.155647993,4.56192017,0.001024,1.93945599,0.0225280002
1,"m32_ppc64_r4","S1",486456,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,59,64,1.0813188652202688,0.016895607269066699,64,66,68,69,1,0,0,0x0000000000000000,-1,-1,20.5271034,3.82771206,0.375808001,0.00204799999,0.00307200011,0.00204799999,3.89734411,4.11340809,1.58720005,0.155647993,4.57318401,0.00204799999,1.94355202,0.0225280002
1,"m32_ppc64_r4","S1",486456,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,2097152,2621440,0.80000000000000004,2097152,32768,59,64,1.2251933042636578,0.019143645379119653,64,66,68,70,1,0,0,0x0000000000000000,-1,-1,20.7031689,3.88403201,0.44748801,0.00204799999,0.00307200011,0.00204799999,3.94342399,4.11136007,1.58720005,0.155647993,4.57728004,0.001024,1.94355202,0.0225280002
