schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc192_total_r2_a1","E1",108071,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,192,192,0,0,192,192,192,192,1,0,0,0x0000000000000000,-1,-1,38.3846397,3.75609589,0.379904002,0.00204799999,0.624639988,0.00409599999,4.49126387,12.4313602,4.42060804,0.610303998,5.76921606,0.00204799999,5.8419199,0.030816
1,"m32_ppc192_total_r2_a1","E1",108071,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,192,192,0,0,192,192,192,192,1,0,0,0x0000000000000000,-1,-1,39.3287697,3.87583995,0.386047989,0.00204799999,0.622591972,0.00204799999,4.51788807,12.8788481,4.64179182,0.60927999,5.87059212,0.00204799999,5.86035204,0.0296960007
1,"m32_ppc192_total_r2_a1","E1",108071,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,192,192,0,0,192,192,192,192,1,0,0,0x0000000000000000,-1,-1,40.4910088,3.94342399,0.397311985,0.00204799999,0.624639988,0.00204799999,4.66227198,13.27104,4.79334402,0.615423977,6.3119359,0.001024,5.81222391,0.0286720004
1,"m32_ppc192_total_r2_a1","E1",108071,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,189,192,0.20252314682524564,0.0010548080563814878,192,192,192,195,1,0,0,0x0000000000000000,-1,-1,38.9007378,3.80927992,0.378879994,0.00204799999,0.621568024,0.00307200011,4.49747181,12.6330881,4.60902405,0.611328006,5.89721584,0.00204799999,5.78560019,0.0286720004
1,"m32_ppc192_total_r2_a1","E1",108071,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,187,192,0.6503642308833566,0.0033873137025174824,192,192,195,197,1,0,0,0x0000000000000000,-1,-1,38.2689285,3.79904008,0.375808001,0.001024,0.624639988,0.00307200011,4.43801594,12.311552,4.48931217,0.605184019,5.78662395,0.00204799999,5.78355217,0.027648
1,"m32_ppc192_total_r2_a1","E1",108071,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,185,192,1.2056082327760955,0.0062792095457088306,192,194,196,199,1,0,0,0x0000000000000000,-1,-1,38.4829445,3.91987205,0.376832008,0.00204799999,0.617471993,0.00409599999,4.4513278,12.311552,4.54348803,0.604160011,5.80198383,0.001024,5.80300808,0.027648
1,"m32_ppc192_total_r2_a1","E1",108071,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,184,192,1.750104628568675,0.0091151282737951828,192,195,198,201,1,0,0,0x0000000000000000,-1,-1,38.3836174,3.80518389,0.374783993,0.001024,0.617471993,0.00204799999,4.43801594,12.3105278,4.57932806,0.606208026,5.81631994,0.001024,5.78047991,0.027648
1,"m32_ppc192_total_r2_a1","E1",108071,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,182,192,2.2329267596727171,0.011629826873295402,192,196,199,202,1,0,0,0x0000000000000000,-1,-1,38.4737282,3.85945606,0.373760015,0.001024,0.616447985,0.00204799999,4.46464014,12.3084803,4.61926413,0.605184019,5.82758379,0.001024,5.74566412,0.027648
1,"m32_ppc192_total_r2_a1","E1",108071,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,181,192,2.6793913830558145,0.0139551634534157,192,197,200,203,1,0,0,0x0000000000000000,-1,-1,38.4471054,3.82156801,0.376832008,0.001024,0.616447985,0.00204799999,4.42675209,12.3095036,4.66022396,0.604160011,5.83475208,0.001024,5.73849583,0.0286720004
1,"m32_ppc192_total_r2_a1","E1",108071,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,6291456,6292480,0.99983726606997558,6291456,32768,181,192,3.0828010168311222,0.016056255295995428,192,198,201,206,1,0,0,0x0000000000000000,-1,-1,38.5320969,3.83999991,0.374783993,0.001024,0.612352014,0.00307200011,4.45337582,12.3105278,4.69504023,0.603136003,5.8419199,0.00204799999,5.74566412,0.027648
