schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc384_total_warmup_a1","S1",502297,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,384,384,0,0,384,384,384,384,1,0,0,0x0000000000000000,-1,-1,69.3995514,4.40012789,0.439296007,0.001024,0.00409599999,0.00307200011,6.09484816,28.1425915,9.38086414,1.22470403,8.27801609,0.001024,11.3756161,0.0286720004
1,"m32_ppc384_total_warmup_a1","S1",502297,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,384,384,0,0,384,384,384,384,1,0,0,0x0000000000000000,-1,-1,68.8025589,4.21478415,0.463871986,0.001024,0.00409599999,0.00409599999,5.85215998,27.7626877,9.51296043,1.23084795,8.265728,0.00204799999,11.4380798,0.0286720004
1,"m32_ppc384_total_warmup_a1","S1",502297,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,384,384,0,0,384,384,384,384,1,0,0,0x0000000000000000,-1,-1,67.5010529,4.07142401,0.419840008,0.001024,0.00307200011,0.00307200011,5.82758379,26.9742088,9.27334404,1.22982395,8.16127968,0.001024,11.4841604,0.027648
1,"m32_ppc384_total_warmup_a1","S1",502297,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,379,384,0.41692700200394794,0.0010857474010519477,384,384,385,390,1,0,0,0x0000000000000000,-1,-1,66.4545288,4.20351982,0.411648005,0.001024,0.00409599999,0.00307200011,5.75385618,26.5297928,8.99686432,1.22982395,7.8858242,0.00204799999,11.3848324,0.027648
1,"m32_ppc384_total_warmup_a1","S1",502297,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,374,384,1.3401341248756595,0.0034899326168636967,384,385,390,393,1,0,0,0x0000000000000000,-1,-1,68.5240326,4.27417612,0.425983995,0.00204799999,0.00409599999,0.00204799999,5.89414406,27.9582729,9.33376026,1.22777605,7.9400959,0.001024,11.4104319,0.0286720004
1,"m32_ppc384_total_warmup_a1","S1",502297,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,371,384,2.4000910423812574,0.0062502370895345244,384,388,393,397,1,0,0,0x0000000000000000,-1,-1,67.6587524,4.16060781,0.427008003,0.001024,0.00409599999,0.00307200011,5.89516783,27.1185913,9.49452782,1.22982395,7.90528011,0.001024,11.3663998,0.0266239997
1,"m32_ppc384_total_warmup_a1","S1",502297,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,369,384,3.4492784713119713,0.0089824960190415925,384,390,395,401,1,0,0,0x0000000000000000,-1,-1,67.5839996,4.0028162,0.428032011,0.00204799999,0.00409599999,0.00409599999,5.92998409,27.1359997,9.58771229,1.21753597,7.92371178,0.00204799999,11.3029118,0.027648
1,"m32_ppc384_total_warmup_a1","S1",502297,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,365,384,4.3761996123206037,0.011396353157084906,384,392,397,404,1,0,0,0x0000000000000000,-1,-1,66.0520935,3.95161605,0.385024011,0.00204799999,0.00409599999,0.00409599999,5.39033604,26.1099529,9.65120029,1.225824,7.93395185,0.001024,11.3428478,0.027648
1,"m32_ppc384_total_warmup_a1","S1",502297,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,362,384,5.236590016413353,0.013636953167743106,384,394,400,405,1,0,0,0x0000000000000000,-1,-1,67.9362564,3.98540807,0.394239992,0.00204799999,0.00409599999,0.00307200011,5.71903992,27.2291832,9.81708813,1.23494399,8.18688011,0.00204799999,11.3090563,0.027648
1,"m32_ppc384_total_warmup_a1","S1",502297,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,361,384,5.9926000102470134,0.015605729193351597,384,395,402,410,1,0,0,0x0000000000000000,-1,-1,69.5777283,4.41753578,0.425983995,0.00204799999,0.00409599999,0.00409599999,6.04467201,27.3571835,10.2625284,1.24518394,8.3415041,0.00204799999,11.4216957,0.027648
1,"m32_ppc384_total_warmup_a1","S1",502297,110,0.010999999999999989,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,358,384,6.6681369431775135,0.017364939956191441,384,397,404,412,1,0,0,0x0000000000000000,-1,-1,68.0796127,4.15641594,0.408576012,0.001024,0.00307200011,0.00204799999,5.73030376,27.3162231,9.86214447,1.23596799,7.99539185,0.00204799999,11.3162241,0.0266239997
1,"m32_ppc384_total_warmup_a1","S1",502297,120,0.011999999999999983,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,353,384,7.3316014874714615,0.019092712206956932,384,398,406,415,1,0,0,0x0000000000000000,-1,-1,67.8082581,4.23628807,0.413695991,0.001024,0.00307200011,0.00204799999,5.80710411,26.8584957,9.80582428,1.23289597,8.0373764,0.00204799999,11.3602562,0.0256960001
1,"m32_ppc384_total_warmup_a1","S1",502297,130,0.012999999999999977,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,353,384,7.9431843265842543,0.020685375850479828,384,399,407,416,1,0,0,0x0000000000000000,-1,-1,66.3930893,3.91577601,0.386047989,0.001024,0.00307200011,0.00204799999,5.41900778,25.9901447,10.149888,1.22982395,7.96979189,0.001024,11.2701445,0.0266239997
1,"m32_ppc384_total_warmup_a1","S1",502297,140,0.013999999999999971,0.0001,"timing",1,"ok","","",32768,1,12582912,12583936,0.99991862641386609,12582912,32768,353,384,8.4833174409948544,0.022091972502590766,384,400,410,418,1,0,0,0x0000000000000000,-1,-1,69.009407,4.37760019,0.428032011,0.001024,0.00307200011,0.00204799999,6.00166416,27.4104328,9.90515232,1.22880006,8.12851238,0.001024,11.4657278,0.027648
