schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc960_total_r1_a1","L1",74777,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,960,960,0,0,960,960,960,960,1,0,0,0x0000000000000000,-1,-1,148.980743,4.03968,0.401407987,0.00204799999,4.85375977,0.00409599999,8.27801609,63.2207375,21.8245125,4.53119993,13.2925444,0.001024,28.4815369,0.0286720004
1,"m32_ppc960_total_r1_a1","L1",74777,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,960,960,0,0,960,960,960,960,1,0,0,0x0000000000000000,-1,-1,148.781052,4.02943993,0.402431995,0.001024,4.68684816,0.00307200011,8.43673611,62.8674545,21.671936,4.57324791,13.5444479,0.001024,28.5102081,0.0286720004
1,"m32_ppc960_total_r1_a1","L1",74777,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,960,960,0,0,960,960,960,960,1,0,0,0x0000000000000000,-1,-1,148.686844,4.10726404,0.396288007,0.001024,4.70527983,0.00204799999,8.27699184,62.7230721,21.6750088,4.57011223,13.679616,0.00204799999,28.4968967,0.027648
1,"m32_ppc960_total_r1_a1","L1",74777,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,948,960,0.93831344917689952,0.00097740984289260363,960,960,963,972,1,0,0,0x0000000000000000,-1,-1,148.002823,3.94239998,0.395264,0.00204799999,4.75545597,0.00409599999,8.19814396,61.9837456,21.7876472,4.59366417,13.8045444,0.001024,28.4897289,0.0266239997
1,"m32_ppc960_total_r1_a1","L1",74777,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,940,960,3.1326468940019399,0.0032631738479186874,960,962,973,980,1,0,0,0x0000000000000000,-1,-1,148.41037,3.93625593,0.389120013,0.00204799999,4.69299221,0.00307200011,8.07731247,62.3708153,22.068224,4.53119993,13.8352642,0.00204799999,28.4538879,0.0266239997
1,"m32_ppc960_total_r1_a1","L1",74777,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,929,960,5.7136140701124978,0.0059516813230338517,960,970,981,990,1,0,0,0x0000000000000000,-1,-1,148.764679,3.98336005,0.390143991,0.00204799999,4.69196796,0.00409599999,8.19916821,62.6360321,22.4061756,4.58342409,13.3263359,0.00204799999,28.4927998,0.0266239997
1,"m32_ppc960_total_r1_a1","L1",74777,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,924,960,8.3053562759880304,0.0086514127874875325,960,976,987,999,1,0,0,0x0000000000000000,-1,-1,148.894714,3.95161605,0.391167998,0.001024,4.69094419,0.00307200011,8.14182377,62.1608963,22.6498566,4.59878397,13.9069443,0.00204799999,28.3432961,0.0266239997
1,"m32_ppc960_total_r1_a1","L1",74777,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,917,960,10.604849343099776,0.011046718065728933,960,980,993,1005,1,0,0,0x0000000000000000,-1,-1,150.599548,4.05811214,0.399360001,0.001024,4.72575998,0.00307200011,8.31385612,63.3200645,22.821888,4.58137608,13.8332157,0.001024,28.4917755,0.0255999994
1,"m32_ppc960_total_r1_a1","L1",74777,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,910,960,12.764510929049045,0.013296365551092756,960,984,999,1011,1,0,0,0x0000000000000000,-1,-1,149.301254,4.02943993,0.395264,0.001024,4.71756792,0.00409599999,8.42137623,62.2714882,23.0010872,4.56499195,13.4430723,0.00204799999,28.4047356,0.0266239997
1,"m32_ppc960_total_r1_a1","L1",74777,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,906,960,14.730667116968515,0.01534444491350887,960,988,1004,1022,1,0,0,0x0000000000000000,-1,-1,150.498306,4.06323195,0.399360001,0.00204799999,4.74111986,0.00307200011,8.44595242,63.1132164,23.1546879,4.62131214,13.5669756,0.001024,28.3381767,0.0266239997
