schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
1,"m32_ppc960_total_warmup_a1","E1",71453,10,0.0010000000000000002,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,960,960,0,0,960,960,960,960,1,0,0,0x0000000000000000,-1,-1,149.264389,4.25062418,0.424959987,0.00204799999,3.17951989,0.00307200011,8.68249607,64.7280655,21.7087994,3.11091208,14.6227198,0.00204799999,28.4999676,0.027648
1,"m32_ppc960_total_warmup_a1","E1",71453,20,0.0020000000000000005,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,960,960,0,0,960,960,960,960,1,0,0,0x0000000000000000,-1,-1,150.347778,4.41344023,0.441343993,0.001024,3.2071681,0.00409599999,8.89139175,65.7879028,21.7610245,3.14060807,14.1844482,0.00204799999,28.4579849,0.0286720004
1,"m32_ppc960_total_warmup_a1","E1",71453,30,0.0029999999999999988,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,960,960,0,0,960,960,960,960,1,0,0,0x0000000000000000,-1,-1,147.820541,4.14822388,0.416768014,0.001024,3.17849588,0.00307200011,8.6333437,63.7655029,21.7343998,3.10886407,14.3247356,0.00204799999,28.4559364,0.027648
1,"m32_ppc960_total_warmup_a1","E1",71453,40,0.0039999999999999975,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,948,960,0.93831344917689952,0.00097740984289260363,960,960,963,972,1,0,0,0x0000000000000000,-1,-1,145.785858,4.11238384,0.397311985,0.001024,3.13753605,0.00307200011,8.23808002,62.8213768,21.7640953,3.11603189,13.656064,0.001024,28.4856319,0.0266239997
1,"m32_ppc960_total_warmup_a1","E1",71453,50,0.0050000000000000001,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,940,960,3.1326468940019399,0.0032631738479186874,960,962,973,980,1,0,0,0x0000000000000000,-1,-1,147.240967,4.23731184,0.412672013,0.00204799999,3.16831994,0.00307200011,8.42240047,63.8740463,22.0938244,3.099648,13.4656,0.001024,28.4098568,0.027648
1,"m32_ppc960_total_warmup_a1","E1",71453,60,0.0060000000000000027,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,929,960,5.7136140701124978,0.0059516813230338517,960,970,981,990,1,0,0,0x0000000000000000,-1,-1,147.302338,4.21785593,0.410623997,0.001024,3.16313601,0.00204799999,8.50432014,63.2965126,22.4081917,3.10988808,13.7205763,0.001024,28.4149761,0.0266239997
1,"m32_ppc960_total_warmup_a1","E1",71453,70,0.0070000000000000053,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,924,960,8.3053562759880304,0.0086514127874875325,960,976,987,999,1,0,0,0x0000000000000000,-1,-1,147.046402,4.10316801,0.40448001,0.00204799999,3.14675212,0.00307200011,8.34969616,63.0312958,22.6068478,3.08326411,13.8086395,0.00204799999,28.4579849,0.0255999994
1,"m32_ppc960_total_warmup_a1","E1",71453,80,0.0080000000000000071,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,917,960,10.604849343099776,0.011046718065728933,960,980,993,1005,1,0,0,0x0000000000000000,-1,-1,145.953796,4.06118393,0.390143991,0.00204799999,3.15084791,0.00204799999,8.22272015,62.3503342,22.8505592,3.07302403,13.3591042,0.00204799999,28.4426231,0.0255999994
1,"m32_ppc960_total_warmup_a1","E1",71453,90,0.0090000000000000011,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,910,960,12.764510929049045,0.013296365551092756,960,984,999,1011,1,0,0,0x0000000000000000,-1,-1,145.272827,3.89017606,0.385024011,0.001024,3.12524796,0.00204799999,8.2432003,61.6611824,23.0072327,3.07712007,13.3724155,0.001024,28.4579849,0.0255999994
1,"m32_ppc960_total_warmup_a1","E1",71453,100,0.009999999999999995,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,906,960,14.730667116968515,0.01534444491350887,960,988,1004,1022,1,0,0,0x0000000000000000,-1,-1,145.615875,3.9577601,0.388096005,0.00204799999,3.14268804,0.00204799999,8.27392006,61.7215996,23.1925755,3.0812161,13.3785601,0.001024,28.4241924,0.0255999994
1,"m32_ppc960_total_warmup_a1","E1",71453,110,0.010999999999999989,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,898,960,16.52588634335822,0.017214464940998146,960,991,1009,1027,1,0,0,0x0000000000000000,-1,-1,146.900925,4.07654381,0.450560004,0.00204799999,3.1335361,0.00307200011,8.33024025,62.4721909,23.2488956,3.09145594,13.6140804,0.001024,28.4262409,0.0255999994
1,"m32_ppc960_total_warmup_a1","E1",71453,120,0.011999999999999983,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,891,960,18.146320299986098,0.018902416979152185,960,995,1014,1034,1,0,0,0x0000000000000000,-1,-1,145.871872,3.98540807,0.389120013,0.001024,3.13036799,0.00204799999,8.2216959,61.8096657,23.3205757,3.07200003,13.3908482,0.00204799999,28.4989433,0.0266239997
1,"m32_ppc960_total_warmup_a1","E1",71453,130,0.012999999999999977,0.0001,"timing",1,"ok","","",32768,1,31457280,31458304,0.99996744897627032,31457280,32768,886,960,19.637380400256419,0.020455604583600438,960,998,1019,1040,1,0,0,0x0000000000000000,-1,-1,147.322876,4.13593578,0.400384009,0.001024,3.15289593,0.00307200011,8.55347157,62.8152313,23.4342403,3.05971193,13.3959684,0.001024,28.3197441,0.0266239997
