case,mean_ppc,particles,comparison,median,ci95_low,ci95_high,estimate_kind
Taylor-Green,4.0,131072,T1_over_L1,1.0021588924839202,0.9999230661131684,1.0126974849413133,direct_paired
Taylor-Green,8.0,262144,T1_over_L1,1.0004369992778843,0.9900644617381288,1.0090819313877746,direct_paired
Taylor-Green,16.0,524288,T1_over_L1,1.0032425588190748,1.0026286443749828,1.004136587358046,direct_paired
Taylor-Green,32.0,1048576,T1_over_L1,1.0071033492079031,1.0010868934667625,1.0127088099564283,direct_paired
Taylor-Green,64.0,2097152,T1_over_L1,1.0163118246336835,1.0143235339668344,1.02037284996624,direct_paired
Taylor-Green,96.0,3145728,T1_over_L1,1.022166493882974,1.0170801291845095,1.0454381239265396,direct_paired
Taylor-Green,192.0,6291456,T1_over_L1,1.0172219812538377,1.0146509429882946,1.0255954357128343,direct_paired
Taylor-Green,384.0,12582912,T1_over_L1,1.0237685103528158,0.96302654816511,1.034006517286412,direct_paired
Taylor-Green,768.0,25165824,T1_over_L1,1.0189434607773828,1.0074575035550235,1.0322517824997168,direct_paired
Taylor-Green,960.0,31457280,T1_over_L1,1.0250239313072622,1.0176593824072035,1.0260265371278308,direct_paired
Taylor-Green,4.0,131072,S1_over_T1,0.9979188345395136,0.996956293043248,0.9988817186439446,direct_paired_repaired
Taylor-Green,8.0,262144,S1_over_T1,0.9993835395989354,0.996785046483298,1.007452316243441,direct_paired_repaired
Taylor-Green,16.0,524288,S1_over_T1,1.000882422957878,1.0004457315933553,1.0061397856763925,direct_paired_repaired
Taylor-Green,32.0,1048576,S1_over_T1,1.0048573618470416,1.0020086708432498,1.0077519622296902,direct_paired_repaired
Taylor-Green,64.0,2097152,S1_over_T1,1.008280654482388,1.005987101054602,1.0100335377251717,direct_paired_repaired
Taylor-Green,96.0,3145728,S1_over_T1,1.010837155023576,1.006296278047334,1.014113731732074,direct_paired_repaired
Taylor-Green,192.0,6291456,S1_over_T1,1.0139270147629025,1.003445701047308,1.0196140064610122,direct_paired_repaired
Taylor-Green,384.0,12582912,S1_over_T1,1.0169866525961455,1.0106926021255218,1.0253487272077737,direct_paired_repaired
Taylor-Green,768.0,25165824,S1_over_T1,1.0261488872769533,1.0220384322014622,1.0318052377991649,direct_paired_repaired
Taylor-Green,960.0,31457280,S1_over_T1,1.025098483345671,1.0174124787496024,1.0361325841607785,direct_paired_repaired
