ppc,particles,particles_million,T1_total_ms_median,T1_total_ms_ci95_low,T1_total_ms_ci95_high,T1_gas_flux_ms_median,T1_gas_flux_ms_ci95_low,T1_gas_flux_ms_ci95_high,T1_eulerian_coupling_ms_median,T1_eulerian_coupling_ms_ci95_low,T1_eulerian_coupling_ms_ci95_high,T1_bin_pre_ms_median,T1_bin_pre_ms_ci95_low,T1_bin_pre_ms_ci95_high,T1_pressure_pre_ms_median,T1_pressure_pre_ms_ci95_low,T1_pressure_pre_ms_ci95_high,T1_collision_pool_ms_median,T1_collision_pool_ms_ci95_low,T1_collision_pool_ms_ci95_high,T1_relax_ms_median,T1_relax_ms_ci95_low,T1_relax_ms_ci95_high,T1_track_ms_median,T1_track_ms_ci95_low,T1_track_ms_ci95_high,T1_bin_post_ms_median,T1_bin_post_ms_ci95_low,T1_bin_post_ms_ci95_high,T1_moments_ms_median,T1_moments_ms_ci95_low,T1_moments_ms_ci95_high,T1_pressure_post_ms_median,T1_pressure_post_ms_ci95_low,T1_pressure_post_ms_ci95_high,T1_compaction_ms_median,T1_compaction_ms_ci95_low,T1_compaction_ms_ci95_high,T1_boundary_ms_median,T1_boundary_ms_ci95_low,T1_boundary_ms_ci95_high,S1_total_ms_median,S1_total_ms_ci95_low,S1_total_ms_ci95_high,S1_gas_flux_ms_median,S1_gas_flux_ms_ci95_low,S1_gas_flux_ms_ci95_high,S1_eulerian_coupling_ms_median,S1_eulerian_coupling_ms_ci95_low,S1_eulerian_coupling_ms_ci95_high,S1_bin_pre_ms_median,S1_bin_pre_ms_ci95_low,S1_bin_pre_ms_ci95_high,S1_pressure_pre_ms_median,S1_pressure_pre_ms_ci95_low,S1_pressure_pre_ms_ci95_high,S1_collision_pool_ms_median,S1_collision_pool_ms_ci95_low,S1_collision_pool_ms_ci95_high,S1_relax_ms_median,S1_relax_ms_ci95_low,S1_relax_ms_ci95_high,S1_track_ms_median,S1_track_ms_ci95_low,S1_track_ms_ci95_high,S1_bin_post_ms_median,S1_bin_post_ms_ci95_low,S1_bin_post_ms_ci95_high,S1_moments_ms_median,S1_moments_ms_ci95_low,S1_moments_ms_ci95_high,S1_pressure_post_ms_median,S1_pressure_post_ms_ci95_low,S1_pressure_post_ms_ci95_high,S1_compaction_ms_median,S1_compaction_ms_ci95_low,S1_compaction_ms_ci95_high,S1_boundary_ms_median,S1_boundary_ms_ci95_low,S1_boundary_ms_ci95_high,S1_over_T1_total_median,S1_over_T1_total_ci95_low,S1_over_T1_total_ci95_high,S1_over_T1_total_classification,S1_over_T1_method_chain_median,S1_over_T1_method_chain_ci95_low,S1_over_T1_method_chain_ci95_high,S1_over_T1_method_chain_classification,S1_over_T1_collision_pool_median,S1_over_T1_collision_pool_ci95_low,S1_over_T1_collision_pool_ci95_high,T1_method_chain_ms_median,S1_method_chain_ms_median,saved_total_ms,saved_bin_pre_ms,saved_collision_pool_ms,saved_method_chain_ms,total_reduction_pct_paired,method_chain_reduction_pct_paired,collision_pool_reduction_pct_paired
4,131072,0.131072,13.25721595,13.244927899999999,13.2720637,3.80569601,3.7995520799999993,3.8149119649999994,0.375808001,0.37580800100000006,0.376832008,0.027648,0.027135999850000002,0.027648,0.00409599999,0.00358400005,0.00460799993,3.660160065,3.6567199249999995,3.6602879750000006,0.27136001,0.27136001,0.27136001,0.11985599999999999,0.118784003,0.120832004,0.0245760009,0.0245760009,0.0245760009,4.24140787,4.239408015,4.24448013,0.00204799999,0.0010240000000000002,0.00204799999,0.647167981,0.646143973,0.648191988,0.020544,0.020479999500000002,0.0215039998,13.28486395,13.27667185,13.291519650000001,3.81491196,3.8072319050000005,3.8169599750000005,0.375808001,0.37580800100000006,0.376832008,0.00358400005,0.00307200011,0.00409599999,0.00307200011,0.00307200011,0.00307200011,3.726848005,3.7253119900000002,3.7309440349999994,0.27136001,0.27136001,0.2719039915,0.119808003,0.118784003,0.120832004,0.0245760009,0.0245760009,0.0255999994,4.24806404,4.24345589,4.25524807,0.001024,0.0010240000000000002,0.00204799999,0.649215996,0.648191988,0.6492159959999999,0.0210239999,0.020544,0.0215039998,0.9979188345395137,0.996956293043248,0.9988817186439446,negative,0.9886948671473813,0.9867183996509962,0.9892989394642994,negative,0.9821060746479249,0.9801058098691101,0.9825453505170717,3.69190406499,3.73350400516,-0.02764799999999923,0.024063999949999998,-0.06668794,-0.041599940169999794,-0.2085505743006255,-1.1434400266723932,-1.821995180967595
8,262144,0.262144,14.110208,13.96428775,14.13017605,3.851776005,3.807232025,3.8640641000000002,0.376832008,0.37580800100000006,0.376832008,0.0348160006,0.0348160006,0.035840001,0.003999999955,0.00307200011,0.005071999969999999,3.66745603,3.664800045,3.6678880449999993,0.524287999,0.524287999,0.525312006,0.22016,0.21867199999999998,0.221183993,0.0296960007,0.029696000699999996,0.0297119999,4.26905584,4.224000215000001,4.2782719149999995,0.001024,0.0010240000000000002,0.00204799999,1.02911997,1.02911997,1.0296319750000003,0.0204799995,0.020479999500000002,0.020479999500000002,14.01548815,13.98476795,14.125567899999998,3.81593597,3.8067198999999996,3.8451199550000004,0.376832008,0.37580800100000006,0.376832008,0.00358400005,0.00307200011,0.00409599999,0.00307200011,0.00307200011,0.00307200011,3.72377598,3.71916795,3.76524806,0.5248640175,0.524287999,0.525312006,0.2206719965,0.2196479965,0.22121600050000004,0.0296960007,0.029696000699999996,0.029696000699999996,4.23116803,4.217344044999999,4.269567965,0.00204799999,0.0010240000000000002,0.00204799999,1.033216,1.033216,1.03424001,0.0204799995,0.020479999500000002,0.020479999500000002,0.9993835395989354,0.9967850464832979,1.007452316243441,inconclusive,0.9929735934687653,0.9827397480074721,0.9943530213512407,negative,0.9841623300336128,0.974142469912062,0.9859581711011464,3.7062720305549997,3.73043198016,0.0947198500000006,0.03123200055,-0.05631995000000023,-0.024159949605000453,-0.06168406589044384,-0.7076126271081673,-1.6092538276532453
16,524288,0.524288,15.0968323,14.938623900000001,15.116799850000001,3.86816001,3.82668805,3.87481594,0.375808001,0.37537600100000007,0.376832008,0.0501759984,0.0501759984,0.051199998700000006,0.0041920000199999995,0.0032000001549999995,0.004991999825000001,3.6910079749999998,3.688959955,3.6918720049999996,1.04038405,1.0393600499999998,1.04038405,0.4305920005,0.4305920005,0.432128012,0.040959999,0.040959999000000004,0.041471999149999994,4.30694389,4.27417612,4.322304009999999,0.001024,0.0010240000000000002,0.00204799999,1.17964804,1.17862403,1.17964804,0.022111999799999997,0.0215039998,0.022528000200000002,15.054848199999999,14.926848400000003,15.089664500000001,3.8661119900000003,3.832336065,3.87072003,0.3763200045,0.37580800100000006,0.377343997,0.003088,0.00307200011,0.003615999945000001,0.00307200011,0.00307200011,0.00307200011,3.76883209,3.731968045,3.78062403,1.04038405,1.04038405,1.040895995,0.4305920005,0.42854400000000004,0.43161600799999994,0.040959999,0.04047999905,0.040959999000000004,4.306432005,4.23219204,4.310016155,0.001024,0.0010240000000000002,0.00204799999,1.18169606,1.18169606,1.1827199499999999,0.0215039998,0.0215039998,0.022528000200000002,1.0008824229578779,1.0004457315933553,1.0061397856763923,positive,0.9925954581578512,0.9886568426382402,1.0018148006942904,inconclusive,0.9795798583852537,0.9757542473748707,0.9891617319568985,3.74537597342,3.77499209011,0.0419841000000023,0.0470879984,-0.0778241150000003,-0.029616116690000194,0.0881644974112028,-0.7459778081083224,-2.084581613224157
32,1048576,1.048576,16.66867255,16.60159965,16.841216050000003,3.847679975,3.8323200899999987,3.8912000650000005,0.374783993,0.374783993,0.37580800100000006,0.0829439983,0.0829439983,0.08396799860000001,0.00361600006,0.00307200011,0.004128,3.7350400649999997,3.7309440349999994,3.751423955,2.05209589,2.0510718799999994,2.0613119600000003,0.8238080145,0.820735991,0.8289279935,0.0757760033,0.0757760033,0.07680000360000001,4.2526722,4.237311840000001,4.325376035,0.001024,0.0010240000000000002,0.00204799999,1.33632004,1.3352960350000003,1.339392005,0.0225280002,0.0220800005,0.022528000200000002,16.57804775,16.56831935,16.7598076,3.841535925,3.8343679899999996,3.90655994,0.374783993,0.37427200399999994,0.3763200045,0.00409599999,0.003088,0.00409599999,0.00307200011,0.00204799999,0.00307200011,3.766784075,3.7626880399999996,3.820544005,2.05209589,2.0510718799999994,2.06028795,0.824832022,0.8232960105,0.8274079860000001,0.0757760033,0.0757760033,0.07680000360000001,4.244992015,4.241919995000001,4.30899215,0.001535999995,0.0010240000000000002,0.00204799999,1.34041595,1.338367995,1.3414399600000002,0.0225280002,0.022528000200000002,0.0235520005,1.0048573618470416,1.0020086708432498,1.0077519622296902,positive,1.0124847416439866,1.0028173353130099,1.0135777358361326,positive,0.991440216246174,0.9819083225034074,0.9923819929316856,3.8216000633599996,3.7739520751,0.0906248000000005,0.07884799831,-0.031744010000000156,0.04764798825999961,0.4833881933365314,1.2330794855945126,-0.8633686241047878
64,2097152,2.097152,20.818944000000002,20.7856636,20.822527900000004,3.855872035,3.848703979999999,3.8727679249999993,0.3763200045,0.37580800100000006,0.376832008,0.158720002,0.158239998,0.15872000199999997,0.00307200011,0.00307200011,0.00358400005,3.9582721,3.95366406,3.961344005,4.112895965,4.11238384,4.114431859999999,1.596415995,1.5943680399999998,1.6035839950000004,0.156672001,0.15564799300000004,0.156672001,4.5808639499999995,4.579839945000001,4.587007999999999,0.001024,0.0010240000000000002,0.001535999995,1.948671995,1.9481599900000002,1.949184,0.0225280002,0.022528000200000002,0.022528000200000002,20.64947225,20.60492805,20.6950407,3.855872035,3.846655964999999,3.878399965,0.376832008,0.37580800100000006,0.376832008,0.003615999945,0.00307200011,0.00409599999,0.00307200011,0.00307200011,0.00307200011,3.9224320649999997,3.911679985,3.9270401,4.114432095,4.11238384,4.115967984999999,1.596415995,1.5943679849999999,1.606656015,0.155647993,0.15564799300000004,0.15564799300000004,4.58598399,4.58035183,4.593152044999999,0.001024,0.0010240000000000002,0.00204799999,1.952255965,1.9512319550000001,1.95276797,0.0225280002,0.022528000200000002,0.022528000200000002,1.008280654482388,1.005987101054602,1.0100335377251715,positive,1.048605688769737,1.0473711601440867,1.0524003080218285,positive,1.0090054890841205,1.0079530636827467,1.012696340240113,4.12006410211,3.9291200650549998,0.16947175000000314,0.155104002055,0.0358400350000001,0.19094403705499996,0.8212648378777887,4.635268460803699,0.8925114066817175
96,3145728,3.145728,25.0531845,25.02604775,25.16787145,3.8553600350000004,3.8220800149999996,3.8753280649999993,0.374783993,0.37376001500000006,0.37785598600000003,0.261119992,0.26009601400000004,0.2611199920000001,0.00307200011,0.00307200011,0.00307200011,4.07916784,4.075008155,4.106751920000001,6.1291520550000005,6.127615929999999,6.166016105,2.386432055,2.384944085,2.4197120649999997,0.252927989,0.25190401100000004,0.25292798899999996,4.873728034999999,4.8727040299999995,4.911616085,0.001024,0.0010240000000000002,0.001535999995,2.76992011,2.769408105,2.770944,0.0235520005,0.0235520005,0.02359999995,24.88320065,24.70451165,24.903168700000002,3.85996807,3.835904,3.898880005,0.3763200045,0.37376001500000006,0.376832008,0.003088,0.00307200011,0.00409599999,0.00307200011,0.00307200011,0.00307200011,4.0571360599999995,4.028928045,4.08422399,6.15833616,6.12659216,6.16345596,2.4002560400000004,2.3828480250000004,2.4191999399999995,0.248832002,0.24780799400000003,0.24883200199999997,4.90393615,4.8727040299999995,4.91315222,0.001024,0.0010240000000000002,0.00204799999,2.773023965,2.77196789,2.7755519150000003,0.0235520005,0.0235520005,0.0235520005,1.010837155023576,1.006296278047334,1.014113731732074,positive,1.074664871150125,1.0618464776440697,1.0757181014673507,positive,1.0110487686587886,0.9987620292098622,1.012229281755959,4.34335983211,4.06329606011,0.16998385000000127,0.25803199200000004,0.022031780000000722,0.2800637720000001,1.07209702074349,6.947735350297379,1.0928027412016261
192,6291456,6.291456,40.11008075,39.51206394999999,40.29440115,3.98028803,3.9301120049999994,4.035600185,0.3906559945,0.385536,0.394751996,0.619008005,0.6174719929999999,0.620544016,0.00307200011,0.00256000005,0.00307200011,4.678655865,4.582399844999999,4.696063995,13.10262395,12.7385597,13.17068815,4.9192960249999995,4.8532481149999995,4.93516803,0.607231975,0.6056960225,0.60927999,6.062592029999999,5.9883520599999995,6.1009922,0.001535999995,0.0010240000000000002,0.00204799999,5.73644805,5.729279995000001,5.7472000150000015,0.0286720004,0.027648,0.0286720004,39.3763847,39.33849525,39.74092865,3.995648145,3.983872055,4.001792190000001,0.389120013,0.387584001,0.393728003,0.00409599999,0.00363199995,0.00409599999,0.00307200011,0.00307200011,0.00307200011,4.61977601,4.583424089999999,4.66483188,13.007359950000001,12.969471949999999,13.226495700000001,4.957184075,4.90803194,5.006336214999999,0.6128640175,0.61184001,0.6133760209999999,6.070272205,6.03647995,6.10559988,0.001535999995,0.0010240000000000002,0.00204799999,5.733887915,5.731839895,5.746176005000001,0.027648,0.027648,0.0286720004,1.0139270147629023,1.0034457010473081,1.0196140064610122,positive,1.1388040577813383,1.130381527534102,1.1497880769003423,positive,1.0071373441888505,0.9972144379280847,1.015527244174344,5.30073587011,4.6269440101,0.7336960499999989,0.61491200501,0.058879854999999814,0.6737918600099997,1.3735717226312394,12.188581243006958,0.7086763518434402
384,12582912,12.582912,69.83475115,69.24646375,70.65394975000001,4.170783999999999,4.003840205,4.248064040000001,0.41420800950000003,0.3983360080000001,0.42291200149999997,1.25542402,1.2487679699999998,1.25849605,0.00307200011,0.00307200011,0.00358400005,6.02524805,5.979648115000001,6.124543905000001,27.472895649999998,27.272192,27.839488,9.90105629,9.807375910000001,10.0986881,1.236479995,1.2288000599999997,1.2369920000000003,8.083456040000002,7.996927975000001,8.12748766,0.001024,0.0010240000000000002,0.001535999995,11.34335995,11.31775995,11.35462425,0.027648,0.027648,0.027648,68.85580825,68.3494377,69.27360150000001,4.17740798,4.160000085,4.22809601,0.419840008,0.41113600100000003,0.42752000700000004,0.00409599999,0.00409599999,0.00409599999,0.00307200011,0.00307200011,0.00307200011,5.9310081,5.8434560300000005,6.003711935,27.571200349999998,27.4094076,27.739647849999994,9.952255725,9.866240025,9.980415820000001,1.22982395,1.2288000599999997,1.2318719599999999,8.074239729999999,8.011264324999999,8.098815915,0.00204799999,0.0010240000000000002,0.00204799999,11.3341441,11.32800005,11.351552,0.027648,0.026655999950000002,0.027648,1.0169866525961457,1.0106926021255218,1.0253487272077737,positive,1.233894189725195,1.2180890920323892,1.243576447654633,positive,1.0215588945954441,1.008835189822999,1.03263118204138,7.28374407011,5.9381761001,0.9789429000000069,1.2513280200099999,0.0942399500000004,1.3455679700100003,1.6702925798271262,18.955773653273,2.110391746330187
768,25165824,25.165824,129.29123700000002,128.4894715,129.7392275,4.6295042,4.600831985,4.695039984999999,0.45465599,0.45209599999999994,0.46131199599999995,2.57536006,2.571776035,2.57945609,0.00307200011,0.00307200011,0.00307200011,8.515072345,8.464896204999999,8.718847754999999,55.83462335,55.5811825,56.45926285,19.3607683,18.96499155,19.424256300000003,2.4744960049999998,2.46937597,2.477056025,12.34227225,12.237823950000001,12.826623950000002,0.001024,0.0010240000000000002,0.001535999995,22.70105555,22.666239749999995,22.71488,0.027648,0.027648,0.0286720004,126.15116900000001,125.2152325,126.80960099999997,4.61056018,4.57574415,4.701695920000001,0.453631997,0.4505760070000001,0.46028800299999995,0.00409599999,0.00409599999,0.00409599999,0.00307200011,0.00307200011,0.00307200011,8.306176185,8.206848140000002,8.409600255,55.77830505,55.3113594,56.0680962,19.25734425,19.128320699999996,19.264528300000002,2.4652799400000003,2.46425593,2.46681595,12.3069439,12.15795185,12.57216025,0.001535999995,0.0010240000000000002,0.00204799999,22.694911949999998,22.66931155,22.719999299999994,0.027648,0.027648,0.027696000399999997,1.0261488872769533,1.0220384322014622,1.0318052377991649,positive,1.335899475931106,1.327068013250328,1.3444493018704435,positive,1.0266904885066555,1.0191189074152895,1.0367731509968185,11.09350440511,8.3133441851,3.1400680000000136,2.57126406001,0.2088961600000001,2.78016022001,2.54825470272092,25.144068246376705,2.599662586285123
960,31457280,31.45728,158.95091250000002,157.29920199999998,159.618561,4.778496025,4.7196161750000005,4.822016,0.475135997,0.4705280065000001,0.48127999899999996,3.2624640449999998,3.25222397,3.2680960900000002,0.00307200011,0.00307200011,0.00307200011,9.82784033,9.773568154999998,9.939455984999999,69.54342650000001,69.25977705,70.0001297,23.879680649999997,23.6887045,24.072704299999998,3.107328055,3.093519925,3.1104320299999997,15.3134079,14.876672250000002,15.343616,0.001024,0.0010240000000000002,0.00204799999,28.3970556,28.37708755,28.43391995,0.027648,0.027648,0.0286720004,154.607109,153.51808149999997,155.74681099999998,4.705279825,4.6632959849999995,4.7600641249999995,0.466432005,0.4582400025,0.4761599895,0.00409599999,0.00409599999,0.00409599999,0.00307200011,0.00307200011,0.00307200011,9.44179201,9.3414402,9.683968069999997,69.27513505,68.6776314,70.29247665,24.0133123,23.739904450000004,24.212480550000002,3.0945279599999997,3.091967945,3.1016960150000004,15.1895041,15.006720050000002,15.3313279,0.001024,0.0010240000000000002,0.00204799999,28.3950081,28.385280599999998,28.443136250000002,0.027648,0.027135999850000002,0.027648,1.0250984833456713,1.0174124787496024,1.0361325841607785,positive,1.3906800204534817,1.3444104004800708,1.4011720397021112,positive,1.0457133380551984,1.0092524143359758,1.0520690728181292,13.093376375110001,9.4489600101,4.343803500000007,3.2583680450099997,0.38604832000000044,3.6444163650100005,2.448397276304226,28.092732670890484,4.371498037905431
