multiplier,particle_count_initial,state,metric,median,q1,q3,ci95_low,ci95_high
1,7581,L0,total_ms,1.4878720049999998,1.484287975,1.497215985,1.44435197,1.5042560100000002
1,7581,L0,gas_flux_ms,0.4689919945,0.4638720005,0.475135997,0.45670399100000003,0.4766720084999999
1,7581,L0,eulerian_coupling_ms,0.157695994,0.157695994,0.157695994,0.157695994,0.15772799399999998
1,7581,L0,injection_ms,0.0071680001,0.0071680001,0.0071680001,0.0071680001,0.0071680001
1,7581,L0,bin_pre_ms,0.0,0.0,0.0,0.0,0.0
1,7581,L0,pressure_pre_ms,0.255999982,0.255487993,0.256511986,0.255487993,0.256512001
1,7581,L0,collision_pool_ms,0.103423998,0.1029119975,0.103423998,0.10291199749999999,0.10342399799999999
1,7581,L0,relax_ms,0.0573440008,0.0573440008,0.0583680011,0.0573440008,0.05836800109999999
1,7581,L0,track_ms,0.0486399997,0.048127999549999995,0.0501759984,0.0476159994,0.0501759984
1,7581,L0,bin_post_ms,0.0,0.0,0.0,0.0,0.0
1,7581,L0,moments_ms,0.0348160006,0.0348160006,0.0348160006,0.0348160006,0.0348160006
1,7581,L0,pressure_post_ms,0.250880003,0.249855995,0.2544640005,0.218111999,0.254976004
1,7581,L0,compaction_ms,0.0245760009,0.0245760009,0.0245760009,0.022528000200000002,0.0245760009
1,7581,L0,boundary_ms,0.02982400075,0.027136000799999997,0.033792000249999996,0.027136000799999997,0.034864000949999994
1,7581,L0,particle_count,7588.0,7588.0,7588.0,7588.0,7588.0
1,7581,L0,base_particle_count,7588.0,7588.0,7588.0,7588.0,7588.0
1,7581,L0,injected_particle_count,0.0,0.0,0.0,0.0,0.0
1,7581,L0,removed_particle_count,0.0,0.0,0.0,0.0,0.0
1,7581,L0,injection_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,L0,occupancy_cv,1.976755874180426,1.976755874180426,1.976755874180426,1.976755874180426,1.976755874180426
1,7581,L0,occupancy_i2,4.907564188732463,4.907564188732463,4.907564188732463,4.907564188732463,4.907564188732463
1,7581,L0,occupancy_p99,9.0,9.0,9.0,9.0,9.0
1,7581,L0,occupancy_max,23.0,23.0,23.0,23.0,23.0
1,7581,L0,heavy_cell_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,L0,heavy_particle_fraction,0.0,0.0,0.0,0.0,0.0
1,7581,L0,heavy_task_count_estimate,0.0,0.0,0.0,0.0,0.0
1,7581,L1,total_ms,4.548527955,4.54246402,4.572160005,4.53631997,4.575743915000001
1,7581,L1,gas_flux_ms,0.346112013,0.345088005,0.3481599985,0.34303998900000005,0.35993599900000006
1,7581,L1,eulerian_coupling_ms,0.115712002,0.11526400249999999,0.115712002,0.114688002,0.11571200200000001
1,7581,L1,injection_ms,0.00614400022,0.00614400022,0.00614400022,0.00614400022,0.00614400022
1,7581,L1,bin_pre_ms,0.0460800007,0.04203199965,0.048640001550000006,0.041983999300000005,0.051311999600000005
