case,mean_ppc,particles,comparison,median,ci95_low,ci95_high,estimate_kind,distribution,interpolated_crossover_ppc
Taylor-Green,4.0,131072,L1_over_L0,0.3961531239220878,0.3918384515011109,0.3964900194790447,direct_paired,near-uniform,101.18861264264731
Taylor-Green,8.0,262144,L1_over_L0,0.437063194984086,0.4341068568987564,0.4375009925216172,direct_paired,near-uniform,101.18861264264731
Taylor-Green,16.0,524288,L1_over_L0,0.5245131703480667,0.5242424181062252,0.524580668112866,direct_paired,near-uniform,101.18861264264731
Taylor-Green,32.0,1048576,L1_over_L0,0.6762568160874306,0.6733877150897659,0.6771160190743242,direct_paired,near-uniform,101.18861264264731
Taylor-Green,64.0,2097152,L1_over_L0,0.8746467426232001,0.8741093432960849,0.8761911495179412,direct_paired,near-uniform,101.18861264264731
Taylor-Green,96.0,3145728,L1_over_L0,0.98502561532348,0.9663879259997444,0.999564748639488,direct_paired,near-uniform,101.18861264264731
Taylor-Green,192.0,6291456,L1_over_L0,1.18221102259083,1.169645777767824,1.195136240605413,direct_paired,near-uniform,101.18861264264731
Taylor-Green,384.0,12582912,L1_over_L0,1.3470722787583065,1.301631498184674,1.3875582080332023,direct_paired,near-uniform,101.18861264264731
Taylor-Green,768.0,25165824,L1_over_L0,1.3344403759374177,1.3215465624663316,1.3462007888232304,direct_paired,near-uniform,101.18861264264731
Taylor-Green,960.0,31457280,L1_over_L0,1.4343719752656756,1.4256206995284515,1.4477006445880598,direct_paired,near-uniform,101.18861264264731
Nozzle,0.9975,7581,L1_over_L0,0.327207119282155,0.3179666286052388,0.3307127107675432,direct_paired,nonuniform,102.18826390392441
Nozzle,9.975,75810,L1_over_L0,0.3618143991033066,0.3516033952880747,0.3644980378126351,direct_paired,nonuniform,102.18826390392441
Nozzle,99.75,758100,L1_over_L0,0.9924667358759796,0.9920303815247312,0.9933906181781664,direct_paired,nonuniform,102.18826390392441
Nozzle,498.75,3790500,L1_over_L0,1.4945135653251118,1.489586770140732,1.500352057797032,direct_paired,nonuniform,102.18826390392441
Nozzle,997.5,7581000,L1_over_L0,1.5994618901169084,1.5980051272411997,1.6068570842198977,direct_paired,nonuniform,102.18826390392441
Nozzle,1246.875,9476250,L1_over_L0,1.600089642495914,1.5963577716883357,1.6149614690600231,direct_paired,nonuniform,102.18826390392441
