particle_count,state,median_ms,ci95_low_ms,ci95_high_ms
7581,L0,1.4878720049999998,1.44435197,1.5042560100000002
7581,L1,4.548527955,4.53631997,4.575743915000001
7581,T1,4.55884814,4.5445118,4.571135995000001
7581,S1,4.59008002,4.5808639499999995,4.60390401
75810,L0,1.7290399650000001,1.6721919800000002,1.73260796
75810,L1,4.75494409,4.75297594,4.782032015
75810,T1,4.78822422,4.766207935,4.8322560800000005
75810,S1,4.820991995,4.796400069999999,4.852736
758100,L0,8.15769577,8.156672,8.176127910000002
758100,L1,8.22323179,8.211456299999998,8.239103790000001
758100,T1,7.965696100000001,7.956416129999999,8.00767994
758100,S1,7.96774387,7.941632035,8.02764797
3790500,L0,37.107711800000004,37.05958364999999,37.23878285
3790500,L1,24.8478718,24.72243215,24.916992200000003
3790500,T1,23.7491207,23.696895599999998,23.89094445
3790500,S1,23.48851205,23.3062401,23.531007799999998
7581000,L0,74.9132805,74.81139375000001,75.46726609999999
7581000,L1,46.8469772,46.771200150000006,46.968318950000004
7581000,T1,44.53427125,44.4707851,44.6679039
7581000,S1,43.79289625,43.6986885,44.018177050000006
9476250,L0,93.2449303,93.17375945,93.6535034
9476250,L1,58.2748165,57.991168949999995,58.36646465
9476250,T1,55.6574726,55.174144749999996,55.869440100000006
9476250,S1,54.67289545,54.17313575000001,54.7502079
