multiplier,logical_run,state,result_dir
1,q1_warmup,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_warmup_L0
1,q1_warmup,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_warmup_L1
1,q1_warmup,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_warmup_E1
1,q1_warmup,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_warmup_S1
1,q1_r1,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r1_L0
1,q1_r1,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r1_L1
1,q1_r1,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r1_E1
1,q1_r1,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r1_S1
1,q1_r2,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r2_L1
1,q1_r2,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r2_L0
1,q1_r2,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r2_S1
1,q1_r2,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r2_E1
1,q1_r3,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r3_E1
1,q1_r3,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r3_S1
1,q1_r3,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r3_L0
1,q1_r3,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r3_L1
1,q1_r4,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r4_S1
1,q1_r4,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r4_E1
1,q1_r4,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r4_L1
1,q1_r4,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r4_L0
1,q1_r5,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r5_L0
1,q1_r5,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r5_L1
1,q1_r5,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r5_E1
1,q1_r5,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q1/runs/q1_r5_S1
10,q10_warmup,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_warmup_L0
10,q10_warmup,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_warmup_L1
10,q10_warmup,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_warmup_E1
10,q10_warmup,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_warmup_S1
10,q10_r1,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r1_L0
10,q10_r1,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r1_L1
10,q10_r1,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r1_E1
10,q10_r1,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r1_S1
10,q10_r2,L1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r2_L1
10,q10_r2,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r2_L0
10,q10_r2,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r2_S1
10,q10_r2,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r2_E1
10,q10_r3,E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_E1
10,q10_r3,S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_S1
10,q10_r3,L0,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_matrix_20260810/q10/runs/q10_r3_L0
