schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
2,"q1000_r4","L1",710226,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7592567,7960050,0.95383408395675906,7592567,7592394,173,0,2.2785442657272568e-05,3.9741661265879183e-11,7592567,3048,0,999.02197368421048,1973.9339544399254,1.9758664037793059,0,4000,9000,23000,4.9040480455837665,23.022516627117021,1024,1024,1785,6331876,0.23486842105263159,0.83395721104601384,6340,1,0,0,0x0000000000000000,-1,-1,45.7768974,0.403456002,0.129023999,0.0552960001,1.816576,2.97164798,1.31174397,14.9893122,8.45721626,1.82169604,3.68435192,3.02899194,7.05740786,0.027648
2,"q1000_r4","L1",710226,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7593270,7960050,0.95392239998492467,7593271,7593100,171,1,2.2519939035496035e-05,5.0805457187990699e-11,7593270,3057,0,999.11447368421057,1973.9301340888935,1.975679650410902,0,4000,9000,22000,4.9033100810477439,22.019498845688354,1024,1024,1787,6327559,0.23513157894736841,0.83331147186916832,6335,1,0,0,0x0000000000000000,-1,-1,45.5864334,0.418816,0.132095993,0.0563200004,1.80940795,2.98086405,1.32300794,15.1266241,8.23808002,1.77664006,3.56659198,2.98188806,7.12806416,0.0266239997
2,"q1000_r4","L1",710226,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7593000,7960050,0.9538884805999962,7593004,7592831,173,4,2.2784131287169084e-05,4.7659964238696645e-11,7593000,3046,0,999.07894736842104,1981.3881640562129,1.9832148092752822,0,4000,9000,22000,4.933140979728794,22.020281838535492,1024,1024,1787,6337266,0.23513157894736841,0.83461951797708411,6343,1,0,0,0x0000000000000000,-1,-1,46.5766411,0.405600011,0.129023999,0.0563200004,1.89235198,2.97574401,1.32096004,15.4900484,8.8504324,1.78175998,3.52153611,2.95219207,7.15059185,0.0255999994
2,"q1000_r4","L1",710226,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7594699,7960050,0.95410192147034256,7594700,7594529,171,1,2.2515701739370877e-05,5.5281055396537548e-11,7594699,3064,0,999.30250000000001,1975.2528544851275,1.9766315549947364,0,4000,9000,22000,4.9070723042009101,22.015355710608148,1024,1024,1788,6330917,0.23526315789473684,0.83359682852473815,6336,1,0,0,0x0000000000000000,-1,-1,46.5070076,0.393216014,0.130048007,0.0552960001,1.76537597,2.9614079,1.32403195,15.8781443,8.46745586,1.815552,3.6136961,3.00134397,7.05228806,0.0255999994
2,"q1000_r4","L1",710226,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7596401,7960050,0.9543157392227436,7596402,7596232,170,1,2.237901574982472e-05,5.7797075866423562e-11,7596401,3060,0,999.52644736842103,1976.035436326061,1.9769716364470575,0,4000,9000,23000,4.9084168513161561,23.010896870768143,1024,1024,1809,6358615,0.2380263157894737,0.83705625861509947,6367,1,0,0,0x0000000000000000,-1,-1,46.3400955,0.386047989,0.131072,0.0532479994,1.80224001,2.99212813,1.3312,15.4081278,8.57702446,1.800192,3.63724804,3.006464,7.16595221,0.0266239997
2,"q1000_r4","L1",710226,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7597096,7960050,0.95440305023209648,7597097,7596928,169,1,2.2245339239448962e-05,4.9978485947302995e-11,7597096,3072,0,999.61789473684212,1981.7679414432987,1.9825254748615879,0,4000,9000,23000,4.9304072584751646,23.008791780438209,1024,1024,1797,6339257,0.23644736842105263,0.83443160386547699,6347,1,0,0,0x0000000000000000,-1,-1,46.7763214,0.371711999,0.130048007,0.0552960001,1.77561605,2.98188806,1.31788802,15.4439678,8.99891186,1.84115195,3.57888007,2.9819839,7.24684811,0.0255999994
2,"q1000_r4","L1",710226,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7596886,7960050,0.9543766684882633,7597886,7597715,171,1000,2.2506260293981774e-05,5.0891901634010646e-11,7596886,3079,0,999.5902631578947,1979.1593321700302,1.9799705990707548,0,4000,9000,23001,4.9202835731846033,23.010428220194431,1024,1024,1803,6345000,0.23723684210526316,0.83521063762178349,6353,1,0,0,0x0000000000000000,-1,-1,46.7927055,0.413695991,0.130048007,0.0563200004,1.78073597,2.98393607,1.33324802,15.8044157,8.64051247,1.84524798,3.59014392,3.00031996,7.16697598,0.0266239997
2,"q1000_r4","L1",710226,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7597585,7960050,0.95446448200702261,7597587,7597414,173,2,2.2770387492765794e-05,4.9150922472035859e-11,7597585,3082,0,999.68223684210523,1979.1371972336692,1.9797662940231517,0,4000,9000,25000,4.9194745789501644,25.007946604085376,1024,1024,1798,6339692,0.23657894736842106,0.834435152749196,6347,1,0,0,0x0000000000000000,-1,-1,47.1306229,0.381951988,0.13312,0.0563200004,1.89337599,3.00953603,1.32300794,15.3364477,8.89855957,1.99168003,3.76115203,3.03206396,7.26630402,0.0266239997
2,"q1000_r4","L1",710226,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7597297,7960050,0.95442830132976553,7597298,7597127,171,1,2.250800218709336e-05,5.6585246874857446e-11,7597297,3095,0,999.64434210526315,1978.8544436530335,1.9795584892578315,0,4000,9000,27000,4.9186518123927474,27.009606179671533,1024,1024,1785,6326385,0.23486842105263159,0.83271524069678993,6337,1,0,0,0x0000000000000000,-1,-1,46.9800949,0.416768014,0.131072,0.0573440008,1.86675203,3.02284813,1.33427203,15.8187523,8.66201591,1.83398402,3.6136961,3.01363206,7.16083193,0.0266239997
2,"q1000_r4","L1",710226,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,7598020,7960050,0.9545191299049629,7599007,7598833,174,987,2.2897728611119847e-05,4.3818858973965502e-11,7598020,3102,0,999.73947368421057,1973.8903897659184,1.9744047741676094,0,4000,9007,27000,4.8982742122558491,27.007036043600834,1024,1024,1781,6316065,0.23434210526315791,0.83127775394115833,6325,1,0,0,0x0000000000000000,-1,-1,47.0497284,0.41584,0.130048007,0.0563200004,1.82988799,2.99827194,1.32812798,15.2268801,9.03782368,1.94764805,3.78675199,3.09145594,7.14956808,0.0255999994
