schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
2,"q1250_warmup","E1",717287,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9490708,9950063,0.95383396064929438,9490709,9490496,213,1,2.244300188742485e-05,4.2743904580963806e-11,9490708,3047,0,1248.7773684210526,2467.418822034459,1.9758676641892141,0,5000,11250,28750,4.9040530263885413,23.022518446463636,1024,1024,3045,9489847,0.4006578947368421,0.99990927968703702,11084,1,0,0,0x0000000000000000,-1,-1,53.8337288,0.368640006,0.121855997,0.0604160018,0.936959982,3.45497608,1.65171194,19.2583675,10.3782396,0.945151985,4.1820159,3.54099202,8.88012791,0.0266239997
2,"q1250_warmup","E1",717287,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9491595,9950063,0.95392310581350093,9491596,9491380,216,1,2.2756973642788843e-05,3.6811696321490301e-11,9491595,3054,0,1248.8940789473684,2467.4136672822528,1.975678889727714,0,5000,11250,27499,4.9033070753157331,22.018680738063519,1024,1024,3052,9490716,0.40157894736842104,0.99990739175028009,11098,1,0,0,0x0000000000000000,-1,-1,52.8742409,0.379904002,0.128000006,0.0675840005,0.9472,3.52870393,1.66604805,18.3080959,10.1324797,0.943104029,4.20966387,3.55737591,8.95795155,0.0255999994
2,"q1250_warmup","E1",717287,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9491250,9950063,0.95388843266620527,9491251,9491037,214,1,2.2547080463892483e-05,4.1671001289227313e-11,9491250,3048,0,1248.8486842105262,2476.7183777920745,1.9832013350422513,0,5000,11250,27500,4.9330875353133674,22.020281838535492,1024,1024,3042,9490346,0.40026315789473682,0.99990475437903337,11083,1,0,0,0x0000000000000000,-1,-1,55.1106567,0.393216014,0.129023999,0.0686080009,0.950272024,3.56249595,1.69267201,19.760128,10.8328962,0.949248016,4.29055977,3.5165441,8.9139204,0.0255999994
2,"q1250_warmup","E1",717287,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9493374,9950063,0.95410189865129502,9493376,9493162,214,2,2.2542033518950475e-05,4.0297321836908344e-11,9493374,3066,0,1249.1281578947369,2469.0600247221241,1.9766266648599478,0,5000,11250,27500,4.9070529722353617,22.015355130852317,1024,1024,3051,9492435,0.40144736842105261,0.99990108890685225,11087,1,0,0,0x0000000000000000,-1,-1,54.9836807,0.460799992,0.130048007,0.0634879991,0.946175992,3.5194881,1.66604805,19.6935673,10.8861437,0.943167984,4.18406391,3.53792,8.89964771,0.0255999994
2,"q1250_warmup","E1",717287,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9495495,9950063,0.95431506313075609,9495498,9495285,213,3,2.2431682888038098e-05,4.3818644434010406e-11,9495495,3059,0,1249.4072368421052,2470.0317055444848,1.9769628610344259,0,5000,11250,28750,4.9083821539094226,23.010912016698445,1024,1024,3046,9494533,0.40078947368421053,0.99989868879926747,11080,1,0,0,0x0000000000000000,-1,-1,54.9560318,0.414719999,0.126975998,0.0645119995,0.943104029,3.52153611,1.69676805,19.7345276,10.5891838,0.945151985,4.26393604,3.54508805,9.06035233,0.0255999994
2,"q1250_warmup","E1",717287,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9496361,9950063,0.95440209775556195,9496364,9496147,217,3,2.2850851125757184e-05,3.9004463393691112e-11,9496361,3081,0,1249.5211842105264,2477.2033039346838,1.9825220534374794,0,5000,11250,28750,4.9303936923659606,23.008813586593853,1024,1024,3054,9495371,0.40184210526315789,0.99989574954027127,11093,1,0,0,0x0000000000000000,-1,-1,55.2181778,0.398335993,0.131072,0.0686080009,0.948224008,3.53792,1.68447995,19.5471363,11.3879042,0.934912026,4.10521603,3.51436806,8.90880013,0.0255999994
2,"q1250_warmup","E1",717287,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9496110,9950063,0.95437687178463093,9497361,9497145,216,1251,2.2743159915686052e-05,3.6919281530614209e-11,9496110,3080,0,1249.4881578947368,2473.9309301120406,1.9799554837561391,0,5000,11250,28751,4.9202237176560066,23.010222080409768,1024,1024,3054,9495044,0.40184210526315789,0.99988774350760468,11098,1,0,0,0x0000000000000000,-1,-1,55.7363205,0.385024011,0.125952005,0.0665600002,0.941056013,3.51129603,1.68857598,19.9075832,11.4493437,0.944127977,4.26598406,3.54611206,8.85555172,0.0255999994
2,"q1250_warmup","E1",717287,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9496997,9950063,0.95446601694883737,9496997,9496783,214,0,2.2533438728052666e-05,4.1177649916780494e-11,9496997,3086,0,1249.6048684210527,2473.8949835819803,1.9797417936662556,0,5000,11250,31250,4.9193775695888844,25.007905130432285,1024,1024,3055,9495932,0.40197368421052632,0.99988785928857304,11099,1,0,0,0x0000000000000000,-1,-1,55.012352,0.384000003,0.129023999,0.0634879991,0.9472,3.52972794,1.68140805,19.5860481,11.1626244,0.936959982,4.15744019,3.54713607,8.83712006,0.0255999994
2,"q1250_warmup","E1",717287,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9496634,9950063,0.95442953476776982,9496635,9496424,211,1,2.2218396305638788e-05,4.5611311645767256e-11,9496634,3097,0,1249.5571052631578,2473.5309539522732,1.979526140529084,0,5000,11250,33749,4.9185237410379701,27.008769633535419,1024,1024,3055,9495505,0.40197368421052632,0.99988111577217775,11107,1,0,0,0x0000000000000000,-1,-1,54.8352013,0.421887994,0.132095993,0.0665600002,0.946175992,3.569664,1.68959999,19.3996792,11.0254078,0.948224008,4.10828781,3.51846409,8.96512032,0.0255999994
2,"q1250_warmup","E1",717287,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,9497533,9950063,0.95451988595449089,9498766,9498550,216,1233,2.2739795885065491e-05,4.2845917113900154e-11,9497533,3104,0,1249.675394736842,2467.3223745110818,1.9743706124826546,0,5000,11267,33750,4.8981393154351309,27.007013294926168,1024,1024,3062,9496390,0.40289473684210525,0.99987965295829984,11114,1,0,0,0x0000000000000000,-1,-1,55.484417,0.487423986,0.128000006,0.0634879991,0.939007998,3.51744008,1.67423999,19.8768635,11.0305281,0.939007998,4.23833609,3.57478404,8.9681921,0.0266239997
