schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
2,"q500_warmup","S1",676789,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3796279,3980025,0.95383295331059481,3796279,3796192,87,0,2.2917177583628599e-05,8.4735080380379547e-11,3796279,3046,0,499.5103947368421,986.96638768413243,1.9758675656871918,0,2000,4500,11500,4.9040526371346287,23.022543917346432,1024,1024,970,2351059,0.12763157894736843,0.61930616796078475,2692,1,0,0,0x0000000000000000,-1,-1,22.6969604,0.43315199,0.125952005,0.0337920003,0.0768000036,1.97315204,0.720896006,7.23558378,3.95468807,0.327679992,2.18521595,1.98553598,3.59423995,0.0266239997
2,"q500_warmup","S1",676789,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3796627,3980025,0.95392038994729933,3796628,3796541,87,1,2.2915070952434635e-05,9.0779031201303125e-11,3796627,3054,0,499.55618421052634,986.96609884250176,1.9756858788611611,0,2000,4500,11000,4.9033346919313994,22.019545243712379,1024,1024,956,2332880,0.12578947368421053,0.61446120464296339,2665,1,0,0,0x0000000000000000,-1,-1,23.1659527,0.449535996,0.128000006,0.0307199992,0.0829439983,2.01011205,0.732159972,7.40454388,4.13388777,0.328704,2.22515202,1.99679995,3.59321594,0.0266239997
2,"q500_warmup","S1",676789,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3796496,3980025,0.95388747558118359,3796496,3796408,88,0,2.3179268462287329e-05,9.7608884079757622e-11,3796496,3044,0,499.53894736842108,990.69161822964406,1.9832119666516952,0,2000,4500,11000,4.9331297046704856,22.020305039172964,1024,1024,953,2334722,0.12539473684210525,0.61496759116827726,2663,1,0,0,0x0000000000000000,-1,-1,23.0881271,0.430079997,0.125952005,0.0337920003,0.0574720018,1.98451197,0.728064001,7.32774401,4.17587185,0.329728007,2.21388793,2.01420808,3.6188159,0.0266239997
2,"q500_warmup","S1",676789,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3797344,3980025,0.95410053956947505,3797344,3797260,84,0,2.2120724379987697e-05,1.2020618858758939e-10,3797344,3057,0,499.65052631578948,987.63081757077248,1.9766432047077829,0,2000,4500,11000,4.9071183587174536,22.01538759722585,1024,1024,945,2322531,0.12434210526315789,0.61161985851163336,2637,1,0,0,0x0000000000000000,-1,-1,22.8003845,0.487423986,0.189439997,0.0488319993,0.0266239997,1.96710396,0.719871998,7.20998383,3.97107196,0.327679992,2.18931198,2.00806403,3.60550404,0.0266239997
2,"q500_warmup","S1",676789,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3798201,3980025,0.95431586485009512,3798201,3798115,86,0,2.2642298288057951e-05,9.7704062909557037e-11,3798201,3053,0,499.76328947368421,988.02994528704255,1.9769958420266656,0,2000,4500,11500,4.908512559390724,23.010893841584476,1024,1024,941,2312351,0.12381578947368421,0.60880164056615227,2616,1,0,0,0x0000000000000000,-1,-1,24.0906239,0.450560004,0.13312,0.0317439996,0.0788479969,2.1166079,0.756735981,7.7393918,4.38476801,0.331775993,2.31321597,2.08793592,3.61574411,0.0256639998
2,"q500_warmup","S1",676789,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3798551,3980025,0.95440380399620606,3798552,3798467,85,1,2.2376947847495571e-05,1.0486965002488105e-10,3798551,3062,0,499.80934210526317,990.88829026341114,1.9825325514918517,0,2000,4500,11500,4.9304353177247915,23.008773608673412,1024,1024,945,2317703,0.12434210526315789,0.61015450365152402,2639,1,0,0,0x0000000000000000,-1,-1,23.7281284,0.403456002,0.13312,0.0317439996,0.0255999994,2.08793592,0.751616001,7.6974082,4.28134394,0.333824009,2.29683208,2.07155204,3.56556797,0.0256319996
2,"q500_warmup","S1",676789,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3798433,3980025,0.95437415594123154,3798933,3798848,85,500,2.2374703633888777e-05,9.0770529324346619e-11,3798433,3068,0,499.79381578947368,989.58314894317084,1.9799827802591485,0,2000,4500,11501,4.9203318101227476,23.011489211472206,1024,1024,930,2299528,0.12236842105263158,0.60538859050561111,2607,1,0,0,0x0000000000000000,-1,-1,22.9949436,0.438271999,0.125952005,0.0307199992,0.0255999994,1.98348796,0.729088008,7.30624008,4.15231991,0.328767985,2.20160007,2.01625609,3.60448003,0.0266239997
2,"q500_warmup","S1",676789,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3798787,3980025,0.95446310010615509,3798788,3798699,89,1,2.3428525098004944e-05,7.9021067637189806e-11,3798787,3071,0,499.84039473684209,989.56878829265941,1.9797695398621222,0,2000,4500,12501,4.9194874309658783,25.009983449980218,1024,1024,951,2322935,0.12513157894736843,0.61149387949363831,2655,1,0,0,0x0000000000000000,-1,-1,23.1086082,0.450560004,0.126975998,0.0348160006,0.0819199979,2.01318407,0.734207988,7.33695984,4.12364817,0.330751985,2.21388793,2.01216006,3.60345602,0.027648
2,"q500_warmup","S1",676789,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3798640,3980025,0.95442616566478855,3798641,3798557,84,1,2.2113171526343239e-05,1.0145160745914708e-10,3798640,3076,0,499.82105263157894,989.43200908875917,1.9795724967553046,0,2000,4500,13499,4.9187072699100289,27.007665901480529,1024,1024,971,2349259,0.12776315789473683,0.61844739169808138,2695,1,0,0,0x0000000000000000,-1,-1,23.4106884,0.452607989,0.129023999,0.0337920003,0.0686080009,2.03673601,0.741375983,7.452672,4.16870403,0.331775993,2.26099205,2.08383989,3.60243201,0.027648
2,"q500_warmup","S1",676789,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,1,3799003,3980025,0.95451737112204071,3799494,3799409,85,491,2.2371399981155384e-05,1.0868491842894694e-10,3799003,3085,0,499.86881578947367,986.95097477356614,1.9744199749984674,0,2000,4502,13500,4.8983342376729491,27.007085806460275,1024,1024,955,2332058,0.12565789473684211,0.61386053130255491,2654,1,0,0,0x0000000000000000,-1,-1,23.5069447,0.44748801,0.129023999,0.0307199992,0.0901440009,2.0531199,0.740351975,7.49260807,4.22092819,0.332800001,2.26918411,2.05926394,3.59321594,0.0267200004
