multiplier,particle_count_initial,repeat,state,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms,particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,occupancy_cv,occupancy_i2,occupancy_p99,occupancy_max,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate
1,7581,1,L0,1.497215985,0.475135997,0.157695994,0.0071680001,0.0,0.256511986,0.103423998,0.0583680011,0.0501759984,0.0,0.0348160006,0.254976004,0.0245760009,0.02982400075,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,2,L0,1.50425601,0.4766720085,0.15772799399999998,0.0071680001,0.0,0.256512001,0.103423998,0.0583680011,0.0501759984,0.0,0.0348160006,0.2544640005,0.0245760009,0.03486400095,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,3,L0,1.484287975,0.4638720005,0.157695994,0.0071680001,0.0,0.255487993,0.1029119975,0.0573440008,0.048127999549999995,0.0,0.0348160006,0.250880003,0.0245760009,0.027136000799999997,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,4,L0,1.44435197,0.456703991,0.157695994,0.0071680001,0.0,0.255999982,0.1029119975,0.0573440008,0.0486399997,0.0,0.0348160006,0.218111999,0.0225280002,0.033792000249999996,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,5,L0,1.4878720049999998,0.4689919945,0.157695994,0.0071680001,0.0,0.255487993,0.103423998,0.0573440008,0.0476159994,0.0,0.0348160006,0.249855995,0.0245760009,0.027136000799999997,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,1,L1,4.575743915,0.359935999,0.115712002,0.00614400022,0.0513119996,1.241600035,0.388096005,0.0430079997,0.0368640013,0.0194559991,0.965663999,1.23801601,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,2,L1,4.548527955,0.345088005,0.11526400249999999,0.00614400022,0.0460800007,1.23955202,0.38809600499999997,0.0419839993,0.0368640013,0.0194559991,0.961023986,1.236479995,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,3,L1,4.572160005,0.346112013,0.114688002,0.00614400022,0.048640001550000006,1.240032015,0.387071997,0.0419839993,0.0368640013,0.0194559991,0.9599999785,1.236992,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,4,L1,4.54246402,0.3481599985,0.115712002,0.00614400022,0.04203199965,1.23955202,0.387071997,0.0419839993,0.0368640013,0.0189439999,0.958464026,1.236992,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,5,L1,4.53631997,0.343039989,0.115712002,0.00614400022,0.0419839993,1.23904002,0.386559993,0.0419839993,0.0368640013,0.0184320007,0.9579520225,1.236992,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,1,E1,4.55884814,0.3481599985,0.115712002,0.00614400022,0.049280000850000005,1.240576025,0.387071997,0.0419839993,0.0368640013,0.0194559991,0.965632021,1.236992,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
1,7581,2,E1,4.5445118,0.338431999,0.115712002,0.00614400022,0.04556800055,1.23801601,0.388096005,0.0419839993,0.0368640013,0.0194559991,0.960511982,1.236479995,0.0675840005,0.0184320007,7588.0,7588.0,0.0,0.0,0.0,1.976755874180426,4.907564188732463,9.0,23.0,0.0,0.0,0.0
