state,campaign,block_threads,repeat,run,samples,sm_count,light_blocks_per_sm,heavy_blocks_per_sm,particle_count,occupancy_max,heavy_threshold,heavy_cell_count,heavy_particle_count,heavy_particle_fraction,heavy_task_count,total_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,predicted_heavy_threshold
S1,independent,32,1,r1_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.60256005,0.01999999955,1.68038398,0.8540160059999999,10.50726415,3.834879995,0.372224003,1.714688005,1.7203199850000002,4.42009592,6624.0
S1,independent,32,2,r2_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.42540745,0.0194559991,1.666560055,0.847872019,10.38233615,3.8005759699999997,0.370703995,1.68038398,1.717759965,4.398591995,6624.0
S1,independent,32,3,r3_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,26.05619235,0.0194559991,1.6788480300000002,0.861696005,10.7120638,3.8978559949999996,0.3763200045,1.74694401,1.73368001,4.420608039999999,6624.0
S1,independent,32,4,r4_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.8897915,0.0194559991,1.68806398,0.861184001,10.656784049999999,3.9029759200000003,0.37532800450000003,1.7264640299999998,1.721856,4.445183995,6624.0
S1,independent,32,5,r5_S1_B32,20,24,24,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,26.2507515,0.0204799995,1.6849920200000001,0.8576000035,10.7832322,3.980800035,0.377343997,1.757184025,1.7331199650000002,4.44876814,6624.0
S1,independent,64,1,r1_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,24.74803165,0.019967999299999997,1.4827519649999998,0.723968029,10.5922561,3.840511915,0.372736007,1.588736,1.52012801,3.951104045,8384.0
S1,independent,64,2,r2_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,28.935168249999997,0.0215039998,1.526272,0.7654399869999999,13.1630082,4.502527955,0.393728003,1.819135965,1.599503995,3.98694396,8384.0
S1,independent,64,3,r3_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.072128300000003,0.0194559991,1.48736,0.736768007,10.8902397,3.97107208,0.377856001,1.62559998,1.53087997,3.958783985,8384.0
S1,independent,64,4,r4_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.331199650000002,0.0194559991,1.489408015,0.739840001,10.96191975,4.01817584,0.378879994,1.627647995,1.536000015,3.96492791,8384.0
S1,independent,64,5,r5_S1_B64,20,24,19,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.1996155,0.0204799995,1.48889601,0.740863979,10.869247900000001,4.04070401,0.37836799,1.637376015,1.537536025,3.950080035,8384.0
S1,independent,128,1,r1_S1_B128,20,24,10,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,27.64288045,0.0204959996,1.5866880399999999,0.7101440130000001,12.149248100000001,4.3284478150000005,0.3952639995,1.89951998,1.61331201,3.756543995,15872.0
S1,independent,128,2,r2_S1_B128,20,24,10,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,24.36915205,0.01900799945,1.50169599,0.678911984,10.42124795,3.860992075,0.374783993,1.683503985,1.518079995,3.731456045,15872.0
S1,independent,128,3,r3_S1_B128,20,24,10,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.1233282,0.0559680015,1.5288000099999999,0.686591983,10.8533764,3.955200075,0.378879994,1.7433599850000001,1.54316795,3.7304320349999998,15872.0
S1,independent,128,4,r4_S1_B128,20,24,10,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.180671699999998,0.0194559991,1.53548801,0.6886399985,10.96857595,3.990527985,0.38143999900000003,1.800704005,1.5585280049999999,3.73657608,15872.0
S1,independent,128,5,r5_S1_B128,20,24,10,0,3798931.5,11498.5,0.0,0.0,0.0,0.0,0.0,25.13868805,0.0194559991,1.53548801,0.6917120219999999,10.871312150000001,4.02995205,0.38041600600000003,1.7740799749999998,1.55392003,3.7171199350000004,15872.0
