schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,block_exponent,block_threads,sm_count,particle_blocks_per_sm,light_blocks_per_sm,heavy_blocks_per_sm,heavy_reduction_enabled,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
3,"calibration_r1","S1_B256",1337127,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3796279,3980025,0.95383295331059481,3796279,3796192,87,0,2.2917177583628599e-05,8.4735078485647197e-11,3796279,3046,0,499.5103947368421,986.96638768413243,1.9758675656871918,0,2000,4500,11500,4.9040526371346287,23.022543917346432,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.3009911,0.422912002,0.126975998,0.0317439996,0.0860159993,1.89132798,0.764927983,10.359808,3.61472011,0.417791992,2.06233597,1.89443195,3.58092809,0.0266239997
3,"calibration_r1","S1_B256",1337127,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3796627,3980025,0.95392038994729933,3796628,3796541,87,1,2.2915070952434635e-05,9.0779020064015209e-11,3796627,3054,0,499.55618421052634,986.96609884250176,1.9756858788611611,0,2000,4500,11000,4.9033346919313994,22.019545243712379,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.1863041,0.421887994,0.136191994,0.0286720004,0.0184320007,1.87494397,0.762880027,10.2881279,3.67513609,0.416768014,2.05004811,1.88518405,3.57068801,0.0266239997
3,"calibration_r1","S1_B256",1337127,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3796496,3980025,0.95388747558118359,3796496,3796408,88,0,2.3179268462287329e-05,9.7608851812997181e-11,3796496,3044,0,499.53894736842108,990.69161822964406,1.9832119666516952,0,2000,4500,11000,4.9331297046704856,22.020305039172964,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.4566402,0.411648005,0.122879997,0.0317439996,0.0184320007,1.93024004,0.757759988,10.3649282,3.79392004,0.419840008,2.06131196,1.89132798,3.60243201,0.0266239997
3,"calibration_r1","S1_B256",1337127,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3797344,3980025,0.95410053956947505,3797344,3797260,84,0,2.2120724379987697e-05,1.2020611856451643e-10,3797344,3057,0,499.65052631578948,987.63081757077248,1.9766432047077829,0,2000,4500,11000,4.9071183587174536,22.01538759722585,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.5989761,0.421887994,0.126975998,0.0327679999,0.0184320007,1.90976,0.77107197,10.5717764,3.71507192,0.418816,2.07360005,1.89952004,3.57683206,0.0255999994
3,"calibration_r1","S1_B256",1337127,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3798201,3980025,0.95431586485009512,3798201,3798115,86,0,2.2642298288057951e-05,9.7703933441375896e-11,3798201,3053,0,499.76328947368421,988.02994528704255,1.9769958420266656,0,2000,4500,11500,4.908512559390724,23.010893841584476,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.9696636,0.420863986,0.126975998,0.0286720004,0.0655359998,1.92512,0.781311989,10.6434565,3.86867189,0.418816,2.09715199,1.92102396,3.62188792,0.0255999994
3,"calibration_r1","S1_B256",1337127,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3798551,3980025,0.95440380399620606,3798552,3798467,85,1,2.2376947847495571e-05,1.0486943506567836e-10,3798551,3062,0,499.80934210526317,990.88835572832738,1.9825326824716287,0,2000,4500,11500,4.9304358370681518,23.008773608673412,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.8416634,0.451584011,0.125952005,0.0296960007,0.0184320007,1.90361595,0.772095978,10.5809917,3.84617591,0.419840008,2.10022402,1.91692805,3.61164808,0.0255999994
3,"calibration_r1","S1_B256",1337127,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3798433,3980025,0.95437415594123154,3798933,3798848,85,500,2.2374703633888777e-05,9.0770197865646376e-11,3798433,3068,0,499.79381578947368,989.5832155581395,1.9799829135440483,0,2000,4500,11501,4.9203323379263786,23.011489211472206,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.4300156,0.415744007,0.122879997,0.0286720004,0.0625599995,1.86777604,0.757759988,10.3219204,3.81439996,0.417791992,2.07360005,1.90156806,3.59423995,0.0266239997
3,"calibration_r1","S1_B256",1337127,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3798787,3980025,0.95446310010615509,3798788,3798699,89,1,2.3428525098004944e-05,7.9020583605207221e-11,3798787,3071,0,499.84039473684209,989.5687214107877,1.9797694060556663,0,2000,4500,12501,4.9194869011540057,25.009983449980218,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.4658566,0.417791992,0.121855997,0.0317439996,0.0669760033,1.88108802,0.757759988,10.2983685,3.84511995,0.420863986,2.08588791,1.91385603,3.57683206,0.0255999994
3,"calibration_r1","S1_B256",1337127,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3798640,3980025,0.95442616566478855,3798641,3798557,84,1,2.2113171526343239e-05,1.0145093021655184e-10,3798640,3076,0,499.82105263157894,989.43200908875917,1.9795724967553046,0,2000,4500,13499,4.9187072699100289,27.007665901480529,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.3091202,0.429055989,0.123903997,0.0327679999,0.0184320007,1.88108802,0.763903975,10.2983685,3.79904008,0.415744007,2.05209589,1.88927996,3.55737591,0.0255999994
3,"calibration_r1","S1_B256",1337127,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,8,256,24,2,5,0,0,1,3799003,3980025,0.95451737112204071,3799494,3799409,85,491,2.2371399981155384e-05,1.0868400283921366e-10,3799003,3086,0,499.86881578947367,986.95090584783429,1.9744198371108264,0,2000,4502,13500,4.8983336931767427,27.007085806460275,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.6245766,0.408576012,0.123903997,0.0286720004,0.084991999,1.90463996,0.774143994,10.4304638,3.87276793,0.416768014,2.06131196,1.90156806,3.56556797,0.0245760009
