run,campaign,accepted_measured,state,block_threads,passed,schema_version,rows,sampled_particle_min,sampled_particle_max,sm_count,light_blocks_per_sm,heavy_blocks_per_sm,max_heavy_cells,max_heavy_particles,restart_sha256,frontend_sha256,backend_sha256,executable,drag_model,gravity
calibration_r1_S1_B256,calibration,true,S1,256,true,3,20,3796279,3801209,24,5,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
calibration_warmup_S1_B256,calibration,false,S1,256,true,3,20,3796279,3801209,24,5,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r1_S1_B32,paired,true,S1,32,true,3,20,3796279,3801209,24,24,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r1_S1_B64,paired,true,S1,64,true,3,20,3796279,3801209,24,19,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r1_S2_B32,paired,true,S2,32,true,3,20,3796279,3801209,24,24,24,38,325500,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r1_S2_B64,paired,true,S2,64,true,3,20,3796279,3801209,24,19,14,23,216003,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r2_S1_B32,paired,true,S1,32,true,3,20,3796279,3801209,24,24,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r2_S1_B64,paired,true,S1,64,true,3,20,3796279,3801209,24,19,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r2_S2_B32,paired,true,S2,32,true,3,20,3796279,3801209,24,24,24,38,325500,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r2_S2_B64,paired,true,S2,64,true,3,20,3796279,3801209,24,19,14,23,216003,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r3_S1_B32,paired,true,S1,32,true,3,20,3796279,3801209,24,24,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r3_S1_B64,paired,true,S1,64,true,3,20,3796279,3801209,24,19,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r3_S2_B32,paired,true,S2,32,true,3,20,3796279,3801209,24,24,24,38,325500,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r3_S2_B64,paired,true,S2,64,true,3,20,3796279,3801209,24,19,14,23,216003,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
paired_r4_S1_B32,paired,true,S1,32,true,3,20,3796279,3801209,24,24,0,0,0,f513b66b7d285b66034ab17e3741f8b6e9ee9893d30fe6582a75c2fad818e133,c352e52b61c606fd3cdd8c0836740ebb698d242f15890095efadad16f97e4f9a,a60f906fe49f4eb73262cc9464ee9125db4ba12061d64d2a4f5dfb0c18898b2a,gpu2.95,GidaspowErgunWenYu,0 0 0
