factor,initial_target_cell_particles,ratio,stage,pairs,median_speedup,ci95_low,ci95_high,classification
1,11000,T2_over_T1,total_ms,5,0.98372599716304843,0.97256219296425894,0.99017815505764051,negative
1,11000,T2_over_T1,gas_flux_ms,5,0.93440234363379082,0.8780821846339022,1.0485133061743817,inconclusive
1,11000,T2_over_T1,eulerian_coupling_ms,5,1.0052082970354306,0.96482417862810588,1.0257077469085583,inconclusive
1,11000,T2_over_T1,injection_ms,5,1,0.96874999074935919,1.0312500123023989,inconclusive
1,11000,T2_over_T1,bin_pre_ms,5,0.9787798324731074,0.97105256315870869,0.98018901479111198,negative
1,11000,T2_over_T1,pressure_pre_ms,5,0.99966754995465235,0.99768440327622743,1.005027881720977,inconclusive
1,11000,T2_over_T1,collision_pool_ms,5,0.82901008254302222,0.82098118781942908,0.83836775681555342,negative
1,11000,T2_over_T1,relax_ms,5,0.99965351414876769,0.98726297625306769,1.001132776908183,inconclusive
1,11000,T2_over_T1,track_ms,5,1.0003975642005676,0.98862434517125242,1.0131685414044758,inconclusive
1,11000,T2_over_T1,bin_post_ms,5,0.98382752756576641,0.97849461634496238,0.98517520749886711,negative
1,11000,T2_over_T1,moments_ms,5,0.8666100310198952,0.85646954628461847,0.88121073147595708,negative
1,11000,T2_over_T1,pressure_post_ms,5,1.0006736307665509,0.99568826712547354,1.007759764358235,inconclusive
1,11000,T2_over_T1,compaction_ms,5,0.99999999873354639,0.99534642721529232,1.0065104664233009,inconclusive
1,11000,T2_over_T1,boundary_ms,5,1,0.97855749295129768,1.0006510090907423,inconclusive
1,11000,S2_over_S1,total_ms,5,0.98556917301145175,0.97477842524839109,0.98990233907625103,negative
1,11000,S2_over_S1,gas_flux_ms,5,0.9984000343400008,0.95238094630709436,1.0877192683795625,inconclusive
1,11000,S2_over_S1,eulerian_coupling_ms,5,1.0206185634889138,1,1.10937496050199,inconclusive
1,11000,S2_over_S1,injection_ms,5,1,0.96923827505260696,1.0461538610392012,inconclusive
1,11000,S2_over_S1,bin_pre_ms,5,0.21714284576530618,0.19772356718520728,0.37453799616597278,negative
1,11000,S2_over_S1,pressure_pre_ms,5,1.003381634780576,0.98932139159195087,1.0125437713745946,inconclusive
1,11000,S2_over_S1,collision_pool_ms,5,0.83842794874983873,0.83544120144739475,0.84009404506832175,negative
1,11000,S2_over_S1,relax_ms,5,1.0000984928933272,0.9996028247668256,1.0334006590062328,inconclusive
1,11000,S2_over_S1,track_ms,5,1.00107455456275,0.99704972963630711,1.0074726395505136,inconclusive
1,11000,S2_over_S1,bin_post_ms,5,0.97843664989872892,0.97727651873119048,0.98787060684872707,negative
1,11000,S2_over_S1,moments_ms,5,0.87083927106718773,0.86996025407305577,0.87206103845966643,negative
1,11000,S2_over_S1,pressure_post_ms,5,1.0027118412341103,0.9973109047361598,1.007765003927664,inconclusive
1,11000,S2_over_S1,compaction_ms,5,1.003506066092807,0.99973988560778615,1.0078287480274006,inconclusive
1,11000,S2_over_S1,boundary_ms,5,1,0.97959186675148369,1,inconclusive
1,11000,S2_over_T2,total_ms,5,1.0167540047927606,1.0073382240294801,1.0323299952259568,positive
1,11000,S2_over_T2,gas_flux_ms,5,1.0940989019696381,0.98231290943769112,1.1027190677275382,inconclusive
