factor,pair,ratio,stage,baseline_state,optimized_state,baseline_manuscript_state,optimized_manuscript_state,baseline_ms,optimized_ms,speedup
1,1,T2_over_T1,total_ms,E1,E2,T1,T2,24.821248050000001,25.231871599999998,0.98372599716304843
1,1,T2_over_T1,gas_flux_ms,E1,E2,T1,T2,0.37836798999999999,0.36966399849999998,1.0235456834728796
1,1,T2_over_T1,eulerian_coupling_ms,E1,E2,T1,T2,0.098815999949999997,0.098304003500000001,1.0052082970354306
1,1,T2_over_T1,injection_ms,E1,E2,T1,T2,0.03225599975,0.032767999899999997,0.98437499537467965
1,1,T2_over_T1,bin_pre_ms,E1,E2,T1,T2,0.37788799399999995,0.38604798899999998,0.97886274444496579
1,1,T2_over_T1,pressure_pre_ms,E1,E2,T1,T2,1.5385600349999999,1.5406080499999999,0.99867064500928715
1,1,T2_over_T1,collision_pool_ms,E1,E2,T1,T2,0.803327978,0.96716800300000005,0.83059817478267006
1,1,T2_over_T1,relax_ms,E1,E2,T1,T2,10.33983995,10.3434238,0.99965351414876769
1,1,T2_over_T1,track_ms,E1,E2,T1,T2,3.8195199999999998,3.8123519449999996,1.0018802185903641
1,1,T2_over_T1,bin_post_ms,E1,E2,T1,T2,0.373760015,0.37990400200000002,0.98382752756576641
1,1,T2_over_T1,moments_ms,E1,E2,T1,T2,1.5697920299999999,1.7986559849999999,0.8727583501744498
1,1,T2_over_T1,pressure_post_ms,E1,E2,T1,T2,1.5211520200000002,1.5201280150000001,1.0006736307665509
1,1,T2_over_T1,compaction_ms,E1,E2,T1,T2,3.9459840050000001,3.9439359899999999,1.0005192820079212
1,1,T2_over_T1,boundary_ms,E1,E2,T1,T2,0.024576000899999999,0.024576000899999999,1
1,1,S2_over_S1,total_ms,S1,S2,S1,S2,24.795136450000001,25.048063299999999,0.98990233907625114
1,1,S2_over_S1,gas_flux_ms,S1,S2,S1,S2,0.358400002,0.37632000450000003,0.95238094630709424
1,1,S2_over_S1,eulerian_coupling_ms,S1,S2,S1,S2,0.1049599985,0.099327996399999993,1.0567010541249577
1,1,S2_over_S1,injection_ms,S1,S2,S1,S2,0.034816000600000001,0.033280000099999998,1.0461538610392012
1,1,S2_over_S1,bin_pre_ms,S1,S2,S1,S2,0.026623999699999998,0.11161600050000001,0.23853210633541735
1,1,S2_over_S1,pressure_pre_ms,S1,S2,S1,S2,1.490432025,1.471967995,1.0125437713745944
1,1,S2_over_S1,collision_pool_ms,S1,S2,S1,S2,0.73164799800000002,0.87091201550000008,0.84009404506832175
1,1,S2_over_S1,relax_ms,S1,S2,S1,S2,10.74022435,10.393088349999999,1.0334006590062328
1,1,S2_over_S1,track_ms,S1,S2,S1,S2,3.8640641000000002,3.850751995,1.0034570143746691
1,1,S2_over_S1,bin_post_ms,S1,S2,S1,S2,0.37529599699999999,0.37990400200000002,0.98787060684872696
1,1,S2_over_S1,moments_ms,S1,S2,S1,S2,1.5923199650000002,1.8263040149999998,0.8718811062790115
1,1,S2_over_S1,pressure_post_ms,S1,S2,S1,S2,1.5299040100000001,1.52524799,1.0030526314609338
1,1,S2_over_S1,compaction_ms,S1,S2,S1,S2,3.9567360900000002,3.9429119799999999,1.003506066092807
1,1,S2_over_S1,boundary_ms,S1,S2,S1,S2,0.0255999994,0.0255999994,1
1,1,S2_over_T2,total_ms,E2,S2,T2,S2,25.231871599999998,25.048063299999999,1.0073382240294801
1,1,S2_over_T2,gas_flux_ms,E2,S2,T2,S2,0.36966399849999998,0.37632000450000003,0.98231290943769101
1,1,S2_over_T2,eulerian_coupling_ms,E2,S2,T2,S2,0.098304003500000001,0.099327996399999993,0.98969079275619021
1,1,S2_over_T2,injection_ms,E2,S2,T2,S2,0.032767999899999997,0.033280000099999998,0.984615378651997
1,1,S2_over_T2,bin_pre_ms,E2,S2,T2,S2,0.38604798899999998,0.11161600050000001,3.4587154822842803
1,1,S2_over_T2,pressure_pre_ms,E2,S2,T2,S2,1.5406080499999999,1.471967995,1.0466314860330914
1,1,S2_over_T2,collision_pool_ms,E2,S2,T2,S2,0.96716800300000005,0.87091201550000008,1.1105232053145326
1,1,S2_over_T2,relax_ms,E2,S2,T2,S2,10.3434238,10.393088349999999,0.99522138672091642
1,1,S2_over_T2,track_ms,E2,S2,T2,S2,3.8123519449999996,3.850751995,0.99002790882148195
1,1,S2_over_T2,bin_post_ms,E2,S2,T2,S2,0.37990400200000002,0.37990400200000002,1
1,1,S2_over_T2,moments_ms,E2,S2,T2,S2,1.7986559849999999,1.8263040149999998,0.98486121162034468
1,1,S2_over_T2,pressure_post_ms,E2,S2,T2,S2,1.5201280150000001,1.52524799,0.99664318521737572
1,1,S2_over_T2,compaction_ms,E2,S2,T2,S2,3.9439359899999999,3.9429119799999999,1.0002597090691332
1,1,S2_over_T2,boundary_ms,E2,S2,T2,S2,0.024576000899999999,0.0255999994,0.96000005765625129
1,1,S1_over_T1,total_ms,E1,S1,T1,S1,24.821248050000001,24.795136450000001,1.0010530936198982
1,1,S1_over_T1,gas_flux_ms,E1,S1,T1,S1,0.37836798999999999,0.358400002,1.0557142519212375
1,1,S1_over_T1,eulerian_coupling_ms,E1,S1,T1,S1,0.098815999949999997,0.1049599985,0.94146342761237745
1,1,S1_over_T1,injection_ms,E1,S1,T1,S1,0.03225599975,0.034816000600000001,0.92647056508839787
1,1,S1_over_T1,bin_pre_ms,E1,S1,T1,S1,0.37788799399999995,0.026623999699999998,14.193509549956913
1,1,S1_over_T1,pressure_pre_ms,E1,S1,T1,S1,1.5385600349999999,1.490432025,1.0322913149964017
1,1,S1_over_T1,collision_pool_ms,E1,S1,T1,S1,0.803327978,0.73164799800000002,1.0979705817496135
1,1,S1_over_T1,relax_ms,E1,S1,T1,S1,10.33983995,10.74022435,0.96272103943527021
1,1,S1_over_T1,track_ms,E1,S1,T1,S1,3.8195199999999998,3.8640641000000002,0.98847221504425864
1,1,S1_over_T1,bin_post_ms,E1,S1,T1,S1,0.373760015,0.37529599699999999,0.99590727848877114
1,1,S1_over_T1,moments_ms,E1,S1,T1,S1,1.5697920299999999,1.5923199650000002,0.9858521305421174
