factor,initial_target_cell_particles,state,manuscript_state,stage,processes,median_process_time_ms
1,11000,E1,T1,total_ms,5,24.899583849999999
1,11000,E1,T1,gas_flux_ms,5,0.3430400045
1,11000,E1,T1,eulerian_coupling_ms,5,0.099327996399999993
1,11000,E1,T1,injection_ms,5,0.03273599965
1,11000,E1,T1,bin_pre_ms,5,0.37785598599999998
1,11000,E1,T1,pressure_pre_ms,5,1.54316801
1,11000,E1,T1,collision_pool_ms,5,0.803327978
1,11000,E1,T1,relax_ms,5,10.392576250000001
1,11000,E1,T1,track_ms,5,3.826688055
1,11000,E1,T1,bin_post_ms,5,0.373760015
1,11000,E1,T1,moments_ms,5,1.5728639950000001
1,11000,E1,T1,pressure_post_ms,5,1.52224004
1,11000,E1,T1,compaction_ms,5,3.9459840050000001
1,11000,E1,T1,boundary_ms,5,0.024576000899999999
1,11000,E2,T2,total_ms,5,25.319424650000002
1,11000,E2,T2,gas_flux_ms,5,0.36966399849999998
1,11000,E2,T2,eulerian_coupling_ms,5,0.098336000000000007
1,11000,E2,T2,injection_ms,5,0.032767999899999997
1,11000,E2,T2,bin_pre_ms,5,0.38604798899999998
1,11000,E2,T2,pressure_pre_ms,5,1.5406080499999999
1,11000,E2,T2,collision_pool_ms,5,0.96716800300000005
1,11000,E2,T2,relax_ms,5,10.395648
1,11000,E2,T2,track_ms,5,3.850752
1,11000,E2,T2,bin_post_ms,5,0.37990400200000002
1,11000,E2,T2,moments_ms,5,1.8078720000000001
1,11000,E2,T2,pressure_post_ms,5,1.5201280150000001
1,11000,E2,T2,compaction_ms,5,3.9480320249999998
1,11000,E2,T2,boundary_ms,5,0.024576000899999999
1,11000,S1,S1,total_ms,5,24.44236755
1,11000,S1,S1,gas_flux_ms,5,0.34918399150000001
1,11000,S1,S1,eulerian_coupling_ms,5,0.101375997
1,11000,S1,S1,injection_ms,5,0.032767999899999997
1,11000,S1,S1,bin_pre_ms,5,0.019455999099999999
1,11000,S1,S1,pressure_pre_ms,5,1.476464035
1,11000,S1,S1,collision_pool_ms,5,0.72806400100000002
1,11000,S1,S1,relax_ms,5,10.399744
1,11000,S1,S1,track_ms,5,3.8297599550000001
1,11000,S1,S1,bin_post_ms,5,0.37171199900000002
1,11000,S1,S1,moments_ms,5,1.5687680249999998
1,11000,S1,S1,pressure_post_ms,5,1.519104005
1,11000,S1,S1,compaction_ms,5,3.9567360900000002
1,11000,S1,S1,boundary_ms,5,0.024576000899999999
1,11000,S2,S2,total_ms,5,24.830975550000002
1,11000,S2,S2,gas_flux_ms,5,0.33894400299999999
1,11000,S2,S2,eulerian_coupling_ms,5,0.099327996399999993
1,11000,S2,S2,injection_ms,5,0.032767999899999997
1,11000,S2,S2,bin_pre_ms,5,0.09625600275
1,11000,S2,S2,pressure_pre_ms,5,1.47761601
1,11000,S2,S2,collision_pool_ms,5,0.8683519959999999
1,11000,S2,S2,relax_ms,5,10.3946238
1,11000,S2,S2,track_ms,5,3.8369280100000003
1,11000,S2,S2,bin_post_ms,5,0.37990400200000002
1,11000,S2,S2,moments_ms,5,1.8032640199999999
1,11000,S2,S2,pressure_post_ms,5,1.51961601
1,11000,S2,S2,compaction_ms,5,3.9372799399999998
1,11000,S2,S2,boundary_ms,5,0.025088000149999998
2,22000,E1,T1,total_ms,5,25.31430435
2,22000,E1,T1,gas_flux_ms,5,0.373264015
2,22000,E1,T1,eulerian_coupling_ms,5,0.099327996399999993
2,22000,E1,T1,injection_ms,5,0.032767999899999997
2,22000,E1,T1,bin_pre_ms,5,0.38092800999999998
2,22000,E1,T1,pressure_pre_ms,5,1.5575040599999999
2,22000,E1,T1,collision_pool_ms,5,0.83046400499999995
2,22000,E1,T1,relax_ms,5,10.427903650000001
2,22000,E1,T1,track_ms,5,3.8353919950000002
2,22000,E1,T1,bin_post_ms,5,0.37478399299999998
2,22000,E1,T1,moments_ms,5,1.5621119750000001
2,22000,E1,T1,pressure_post_ms,5,1.531391975
2,22000,E1,T1,compaction_ms,5,4.2101759899999998
2,22000,E1,T1,boundary_ms,5,0.024576000899999999
2,22000,E2,T2,total_ms,5,25.640447600000002
2,22000,E2,T2,gas_flux_ms,5,0.351743996
2,22000,E2,T2,eulerian_coupling_ms,5,0.099327996399999993
2,22000,E2,T2,injection_ms,5,0.032767999899999997
2,22000,E2,T2,bin_pre_ms,5,0.38912001299999999
2,22000,E2,T2,pressure_pre_ms,5,1.5580159999999998
2,22000,E2,T2,collision_pool_ms,5,0.97023999699999997
2,22000,E2,T2,relax_ms,5,10.427391999999999
2,22000,E2,T2,track_ms,5,3.8420479299999997
2,22000,E2,T2,bin_post_ms,5,0.38195198800000002
2,22000,E2,T2,moments_ms,5,1.8073599950000001
2,22000,E2,T2,pressure_post_ms,5,1.536512015
2,22000,E2,T2,compaction_ms,5,4.2188799399999999
2,22000,E2,T2,boundary_ms,5,0.024576000899999999
2,22000,S1,S1,total_ms,5,24.761856049999999
2,22000,S1,S1,gas_flux_ms,5,0.35123200700000001
2,22000,S1,S1,eulerian_coupling_ms,5,0.099327996399999993
2,22000,S1,S1,injection_ms,5,0.032287999999999997
2,22000,S1,S1,bin_pre_ms,5,0.019455999099999999
2,22000,S1,S1,pressure_pre_ms,5,1.48683202
2,22000,S1,S1,collision_pool_ms,5,0.73728001099999996
2,22000,S1,S1,relax_ms,5,10.42585615
2,22000,S1,S1,track_ms,5,3.8287360650000002
2,22000,S1,S1,bin_post_ms,5,0.373760015
2,22000,S1,S1,moments_ms,5,1.5636479849999998
2,22000,S1,S1,pressure_post_ms,5,1.536512015
2,22000,S1,S1,compaction_ms,5,4.2152960299999993
2,22000,S1,S1,boundary_ms,5,0.024576000899999999
2,22000,S2,S2,total_ms,5,25.208832749999999
2,22000,S2,S2,gas_flux_ms,5,0.33484800149999999
2,22000,S2,S2,eulerian_coupling_ms,5,0.098304003500000001
2,22000,S2,S2,injection_ms,5,0.032767999899999997
2,22000,S2,S2,bin_pre_ms,5,0.094208002050000003
2,22000,S2,S2,pressure_pre_ms,5,1.494528055
2,22000,S2,S2,collision_pool_ms,5,0.86886400000000008
2,22000,S2,S2,relax_ms,5,10.426447849999999
2,22000,S2,S2,track_ms,5,3.8292480700000002
2,22000,S2,S2,bin_post_ms,5,0.38195198800000002
2,22000,S2,S2,moments_ms,5,1.8068479900000001
2,22000,S2,S2,pressure_post_ms,5,1.5303679699999999
2,22000,S2,S2,compaction_ms,5,4.2096641049999999
2,22000,S2,S2,boundary_ms,5,0.02513599955
4,44000,E1,T1,total_ms,5,27.810303699999999
4,44000,E1,T1,gas_flux_ms,5,0.32716800299999999
4,44000,E1,T1,eulerian_coupling_ms,5,0.098304003500000001
4,44000,E1,T1,injection_ms,5,0.032767999899999997
4,44000,E1,T1,bin_pre_ms,5,0.38195198800000002
4,44000,E1,T1,pressure_pre_ms,5,1.9875840550000001
4,44000,E1,T1,collision_pool_ms,5,1.11411196
4,44000,E1,T1,relax_ms,5,10.490880050000001
4,44000,E1,T1,track_ms,5,3.83643198
4,44000,E1,T1,bin_post_ms,5,0.376832008
4,44000,E1,T1,moments_ms,5,1.8135039799999999
4,44000,E1,T1,pressure_post_ms,5,1.9743359700000001
4,44000,E1,T1,compaction_ms,5,5.261823895
4,44000,E1,T1,boundary_ms,5,0.024576000899999999
4,44000,E2,T2,total_ms,5,27.671039550000003
4,44000,E2,T2,gas_flux_ms,5,0.34918400650000003
4,44000,E2,T2,eulerian_coupling_ms,5,0.098304003500000001
4,44000,E2,T2,injection_ms,5,0.032767999899999997
4,44000,E2,T2,bin_pre_ms,5,0.39014399100000002
4,44000,E2,T2,pressure_pre_ms,5,1.9778559800000002
4,44000,E2,T2,collision_pool_ms,5,0.97023999699999997
4,44000,E2,T2,relax_ms,5,10.488832499999999
4,44000,E2,T2,track_ms,5,3.8349440100000001
4,44000,E2,T2,bin_post_ms,5,0.38451200699999999
4,44000,E2,T2,moments_ms,5,1.8073599950000001
4,44000,E2,T2,pressure_post_ms,5,1.9691520300000001
4,44000,E2,T2,compaction_ms,5,5.2828159350000004
4,44000,E2,T2,boundary_ms,5,0.024576000899999999
4,44000,S1,S1,total_ms,5,27.2209921
4,44000,S1,S1,gas_flux_ms,5,0.34764800949999997
4,44000,S1,S1,eulerian_coupling_ms,5,0.099327996399999993
4,44000,S1,S1,injection_ms,5,0.032767999899999997
