factor,initial_target_cell_particles,ratio,median_speedup,ci95_low,ci95_high,classification
1,11000,T2_over_T1,0.98372599716304843,0.97256219296425894,0.99017815505764051,negative
1,11000,S2_over_S1,0.98556917301145175,0.97477842524839109,0.98990233907625103,negative
2,22000,T2_over_T1,0.98403137688113829,0.98129737174835674,0.98871561123248131,negative
2,22000,S2_over_S1,0.98226904417063898,0.98100482874771444,0.98561397252724237,negative
4,44000,T2_over_T1,1.0026720802320317,1.0022018814974374,1.0064439652469688,positive
4,44000,S2_over_S1,0.99928577165838095,0.99598014180085159,1.0051363432908924,inconclusive
8,88000,T2_over_T1,1.041762274211437,1.0400342483034883,1.0495526949371483,positive
8,88000,S2_over_S1,1.0404630983400658,1.0289522291570392,1.0445230805466077,positive
16,176000,T2_over_T1,1.1059646017231926,1.1004975097663263,1.1137103091335638,positive
16,176000,S2_over_S1,1.085693953450628,1.0781959656719167,1.0957215032624856,positive
32,352000,T2_over_T1,1.1729878827001949,1.158734427681001,1.191636256575521,positive
32,352000,S2_over_S1,1.1478879063715284,1.1404518742632335,1.1542822398681196,positive
64,704000,T2_over_T1,1.2316960566483104,1.226054059022301,1.2406061960089105,positive
64,704000,S2_over_S1,1.2153036734681233,1.1955054816927611,1.225398061840639,positive
