factor,initial_target_cell_particles,ratio,median_speedup,ci95_low,ci95_high,classification
1,11000,S2_over_T2,1.0167540047927606,1.0073382240294801,1.0323299952259568,positive
1,11000,S1_over_T1,1.0187058925067183,1.0010530936198982,1.0254286842283871,positive
2,22000,S2_over_T2,1.0161309820221887,1.0149807182158512,1.0302020567841357,positive
2,22000,S1_over_T1,1.0220075371158066,1.0143489834458612,1.0285805137766952,positive
4,44000,S2_over_T2,1.0176561563196334,1.0144263334989687,1.0287191242158118,positive
4,44000,S1_over_T1,1.0213034091299218,1.0151611988052824,1.0330128681707049,positive
8,88000,S2_over_T2,1.019596937087796,1.0142600656529368,1.0263306232285798,positive
8,88000,S1_over_T1,1.0231722268060002,1.0193175384066513,1.031551086197894,positive
16,176000,S2_over_T2,1.0153984780623582,1.0147022172340674,1.0268139658341615,positive
16,176000,S1_over_T1,1.0400141551603284,1.0256095000014518,1.0424197676067199,positive
32,352000,S2_over_T2,1.0229456708307325,1.010991677729562,1.0341955461993582,positive
32,352000,S1_over_T1,1.0458300266233933,1.0381845470241924,1.0495457639076611,positive
64,704000,S2_over_T2,1.0299912838997489,1.0272146083699474,1.0311348081938605,positive
64,704000,S1_over_T1,1.0427742693846196,1.0370310168959114,1.0589705531705675,positive
