schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,block_exponent,block_threads,sm_count,particle_blocks_per_sm,light_blocks_per_sm,heavy_blocks_per_sm,heavy_reduction_enabled,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
3,"k16_pair02_o2_S1","K16_S1_B64",107751,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3961279,4153275,0.95377238444360168,3961279,3961192,87,0,2.1962603492457864e-05,8.4735077682527782e-11,3961279,3046,0,521.22092105263152,2243.550976397436,4.3044146652181068,0,2000,4500,176500,19.5279856101447,338.62800373313769,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,50.784256,0.362495989,0.0983040035,0.0327679999,0.0286720004,5.44630384,3.05766392,10.835968,3.76627207,0.392192006,5.68422413,6.03136015,14.9913597,0.0235520005
3,"k16_pair02_o2_S1","K16_S1_B64",107751,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3961627,4153275,0.95385617374240805,3961628,3961541,87,1,2.1960668694789113e-05,9.077901667750799e-11,3961627,3054,0,521.26671052631582,2167.0484729228083,4.1572738660690023,0,2000,4500,168502,18.282925997500303,323.25486473108145,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,49.7233925,0.427008003,0.0993279964,0.0296960007,0.0583680011,5.25107193,2.94604802,10.8564482,3.85740805,0.396288007,5.41593599,5.9228158,14.4076796,0.0255999994
3,"k16_pair02_o2_S1","K16_S1_B64",107751,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3961496,4153275,0.95382463236843218,3961496,3961408,88,0,2.2213830330763933e-05,9.7608843173075831e-11,3961496,3044,0,521.24947368421056,2032.0049087240586,3.8983346963629004,0,2000,4500,152500,16.19701340486683,292.56624265176589,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,47.7788162,0.416768014,0.0983040035,0.0460800007,0.0184320007,4.96742392,2.80575991,10.8666878,4.05408001,0.395264,5.11180782,5.58796787,13.3570557,0.0245760009
3,"k16_pair02_o2_S1","K16_S1_B64",107751,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3962344,4153275,0.95402880859081085,3962344,3962260,84,0,2.1199572778133349e-05,1.2020610227137555e-10,3962344,3057,0,521.3610526315789,1974.8305484692385,3.787836737134942,0,2000,4500,145000,15.347707147189078,278.118204779797,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,46.2376976,0.375808001,0.0993279964,0.0337920003,0.0204799995,4.71551991,2.57331204,10.8687363,3.820544,0.392192006,5.00531197,5.30739212,12.9648638,0.0266239997
3,"k16_pair02_o2_S1","K16_S1_B64",107751,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3963201,4153275,0.95423515177781393,3963201,3963115,86,0,2.1699631181966295e-05,9.770390691470687e-11,3963201,3052,0,521.47381578947363,1926.7572986070247,3.6948303831709239,0,2000,4500,137506,14.651771560402995,263.68725684112411,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,45.4369278,0.51404798,0.0972800031,0.0655359998,0.237823993,4.53529596,2.47193599,10.85952,3.89836788,0.394239992,4.62131214,5.02784014,12.6597118,0.0245760009
3,"k16_pair02_o2_S1","K16_S1_B64",107751,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3963551,4153275,0.95431942262431457,3963552,3963467,85,1,2.1445410581216042e-05,1.0486939519011492e-10,3963551,3061,0,521.51986842105259,1932.5338755456685,3.70558053981066,0,2000,4500,138000,14.731327137023463,264.61120343853275,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,44.9372177,0.427008003,0.0972800031,0.0296960007,0.0511999987,4.44307184,2.50675201,10.8697596,3.93011189,0.396288007,4.59577608,5.04320002,12.4702721,0.0246079993
3,"k16_pair02_o2_S1","K16_S1_B64",107751,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3963433,4153275,0.95429101131035143,3963933,3963848,85,500,2.1443349319980939e-05,9.0770136280243494e-11,3963433,3066,0,521.50434210526316,1886.3872987893494,3.6172034372219879,0,2000,4500,130002,14.084160706250563,249.28267993933542,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,43.771904,0.371711999,0.0983040035,0.0286720004,0.0184320007,4.32537556,2.36441588,10.8688002,3.9321599,0.393216014,4.38169622,4.90598392,12.0350723,0.0245760009
3,"k16_pair02_o2_S1","K16_S1_B64",107751,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3963788,4153275,0.95437648602608782,3963789,3963700,89,1,2.2453263783718054e-05,7.9021073214556467e-11,3963788,3067,0,521.55105263157895,1886.3690301528873,3.6168444500972159,0,2000,4500,130000,14.081563776199033,249.25651926894173,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,44.0535049,0.364544004,0.0973440036,0.0327679999,0.0656320006,4.34467173,2.36032009,10.8666878,3.93727994,0.392192006,4.61721611,4.80768013,12.1016321,0.0245760009
3,"k16_pair02_o2_S1","K16_S1_B64",107751,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3963640,4153275,0.95434085149671044,3963641,3963557,84,1,2.1192635760907711e-05,1.0145079322672887e-10,3963640,3072,0,521.53157894736842,1886.2979011538732,3.6168431161178707,0,2000,4500,130000,14.081554126609227,249.26582636162721,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,43.8026237,0.378879994,0.0983040035,0.0327679999,0.0194559991,4.22911978,2.35939193,10.9004803,3.87481594,0.395264,4.4410882,4.91724777,12.1067524,0.0245760009
3,"k16_pair02_o2_S1","K16_S1_B64",107751,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3963998,4153275,0.95442704853398819,3964497,3964412,85,499,2.1440298731465808e-05,1.0868184318845495e-10,3963998,3085,0,521.57868421052626,1845.5485981903807,3.5383896122669323,0,2000,4502,121991,13.520201048198528,233.88800902523161,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,42.6997757,0.465920001,0.100351997,0.0307199992,0.0225280002,4.13183975,2.28864002,10.8759041,3.95264006,0.396288007,4.21068811,4.51788807,11.651104,0.0266239997
