schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,block_exponent,block_threads,sm_count,particle_blocks_per_sm,light_blocks_per_sm,heavy_blocks_per_sm,heavy_reduction_enabled,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
3,"k1_warmup_o1_E1","K1_E1_B64",104552,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3796279,3980025,0.95383295331059481,3796279,3796192,87,0,2.2917177583628599e-05,8.4735078508873731e-11,3796279,3046,0,499.5103947368421,986.96638768413243,1.9758675656871918,0,2000,4500,11500,4.9040526371346287,23.022543917346432,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.6716805,0.339967996,0.108543999,0.035840001,0.389120013,1.54521596,0.81408,10.9783039,3.883008,0.382975996,1.62099195,1.53292799,3.9895041,0.027648
3,"k1_warmup_o1_E1","K1_E1_B64",104552,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3796627,3980025,0.95392038994729933,3796628,3796541,87,1,2.2915070952434635e-05,9.0779020350213924e-11,3796627,3054,0,499.55618421052634,986.96629868403886,1.9756862788993217,0,2000,4500,11000,4.9033362726310488,22.019545243712379,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,27.6705284,0.350208014,0.113664001,0.0327679999,0.394239992,1.58924806,0.836607993,12.0954876,4.40729618,0.396288007,1.82169604,1.596416,3.98540807,0.027648
3,"k1_warmup_o1_E1","K1_E1_B64",104552,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3796496,3980025,0.95388747558118359,3796496,3796408,88,0,2.3179268462287329e-05,9.7608852669550951e-11,3796496,3044,0,499.53894736842108,990.69115311055623,1.9832110355549504,0,2000,4500,11000,4.9331260115469391,22.020305039172964,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,27.0202885,0.388096005,0.137216002,0.0481280014,0.393216014,1.60767996,0.841727972,11.7053442,4.21171188,0.384000003,1.69983995,1.56979203,3.98540807,0.0255999994
3,"k1_warmup_o1_E1","K1_E1_B64",104552,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3797344,3980025,0.95410053956947505,3797344,3797260,84,0,2.2120724379987697e-05,1.2020612031332506e-10,3797344,3057,0,499.65052631578948,987.62941815489989,1.9766404039184333,0,2000,4500,11000,4.9071072864028276,22.01538759722585,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,27.9695358,0.400384009,0.113664001,0.0378880017,0.398335993,1.61177599,0.863232017,12.2972164,4.38067198,0.397311985,1.831936,1.60358405,3.98540807,0.0255999994
3,"k1_warmup_o1_E1","K1_E1_B64",104552,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3798201,3980025,0.95431586485009512,3798201,3798115,86,0,2.2642298288057951e-05,9.7703935754755275e-11,3798201,3052,0,499.76328947368421,988.02807846566168,1.9769921066154816,0,2000,4500,11500,4.9084977896199202,23.010893841584476,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,28.2337284,0.384000003,0.116736002,0.0348160006,0.401407987,1.62201607,0.872448027,12.398592,4.47897577,0.394239992,1.84217596,1.61996806,4.02022409,0.0255999994
3,"k1_warmup_o1_E1","K1_E1_B64",104552,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3798551,3980025,0.95440380399620606,3798552,3798467,85,1,2.2376947847495571e-05,1.0486943727368796e-10,3798551,3061,0,499.80934210526317,990.88888117375586,1.98253373376336,0,2000,4500,11500,4.9304400055096886,23.008773608673412,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,27.9418888,0.353280008,0.112640001,0.0337920003,0.397311985,1.59436798,0.854016006,12.1272316,4.55168009,0.397311985,1.88620806,1.60563195,3.98028803,0.0266239997
3,"k1_warmup_o1_E1","K1_E1_B64",104552,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3798433,3980025,0.95437415594123154,3798933,3798848,85,500,2.2374703633888777e-05,9.0770192909823008e-11,3798433,3065,0,499.79381578947368,989.58335849443426,1.9799831995345714,0,2000,4500,11501,4.9203334704391581,23.011489211472206,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,25.0890236,0.319487989,0.0993279964,0.0307199992,0.38092801,1.55955195,0.818175972,10.5799685,3.86150408,0.375808001,1.54828799,1.52371204,3.945472,0.0255999994
3,"k1_warmup_o1_E1","K1_E1_B64",104552,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3798788,3980025,0.95446335136085825,3798789,3798700,89,1,2.3428518930638159e-05,7.9021145249523527e-11,3798788,3067,0,499.84052631578948,989.56917198702763,1.979769786337487,0,2000,4500,12500,4.9194884068947795,25.007976228207522,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,24.9200649,0.299008012,0.0972800031,0.0327679999,0.377855986,1.52985597,0.803839982,10.4048643,3.86662412,0.375808001,1.58003199,1.52371204,3.98028803,0.0245760009
3,"k1_warmup_o1_E1","K1_E1_B64",104552,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3798640,3980025,0.95442616566478855,3798641,3798557,84,1,2.2113171526343239e-05,1.0145088109695688e-10,3798640,3071,0,499.82105263157894,989.43301471570999,1.9795745087292811,0,2000,4500,13500,4.9187152356107742,27.009666617526271,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,24.6927357,0.312319994,0.0983040035,0.0337920003,0.376832008,1.52780795,0.789503992,10.3301125,3.7703681,0.369664013,1.55648005,1.54009604,3.94342399,0.0245760009
3,"k1_warmup_o1_E1","K1_E1_B64",104552,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,0,0,1,3798998,3980025,0.95451611484852483,3799497,3799412,85,499,2.2371382317185671e-05,1.0868194773858949e-10,3798998,3084,0,499.86815789473684,986.95142803578221,1.9744234803682299,0,2000,4502,13500,4.8983480798293941,27.007121351472151,0,0,0,0,0,0,0,1,0,0,0x0000000000000000,-1,-1,24.9190407,0.31436801,0.0972800031,0.0296960007,0.378879994,1.55750406,0.809984028,10.3352318,3.85843205,0.369664013,1.57491195,1.53600001,4.00998402,0.0245760009
