schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,block_exponent,block_threads,sm_count,particle_blocks_per_sm,light_blocks_per_sm,heavy_blocks_per_sm,heavy_reduction_enabled,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
3,"k32_warmup_o4_S2","K32_S2_B64",108484,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4137279,4338075,0.9537131100776266,4137279,4137192,87,0,2.1028313536505514e-05,8.4735078680053382e-11,4137279,3046,0,544.37881578947372,4154.4398242056614,7.6315236811351195,0,2000,4500,352500,59.240153695726121,647.52703407239392,9088,9088,12,461000,0.0015789473684210526,0.11142589126814992,61,1,0,0,0x0000000000000000,-1,-1,68.120575,0.326656014,0.0993279964,0.0337920003,0.117760003,9.92358398,0.924672008,11.3643522,3.92192006,0.430079997,1.89542401,11.5046396,27.526144,0.0245760009
3,"k32_warmup_o4_S2","K32_S2_B64",108484,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4137627,4338075,0.95379332999083699,4137628,4137541,87,1,2.1026539843601213e-05,9.0779021394672472e-11,4137627,3054,0,544.4246052631579,3984.586774302602,7.3188954646467108,0,2000,4500,336504,54.566230822426185,618.09109424314954,9088,9088,12,459500,0.0015789473684210526,0.11105399302547088,61,1,0,0,0x0000000000000000,-1,-1,67.0976028,0.350208014,0.0972800031,0.0286720004,0.102399997,9.3030405,0.925696015,11.3807364,3.97721601,0.430079997,1.91087997,11.1390724,27.3940487,0.0245760009
3,"k32_warmup_o4_S2","K32_S2_B64",108484,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4137496,4338075,0.95376313226488707,4137496,4137408,88,0,2.1268902737307782e-05,9.7608854898578588e-11,4137496,3044,0,544.40736842105264,3677.2715037029434,6.7546321321258969,0,2000,4500,304501,46.625055240347642,559.32564043566447,9088,9088,13,472996,0.0017105263157894738,0.11431938544472309,63,1,0,0,0x0000000000000000,-1,-1,64.0286713,0.412672013,0.0983040035,0.0317439996,0.172031999,9.05113602,0.913407981,11.3817596,4.25984001,0.425983995,1.96198404,10.0157442,25.2549114,0.0235520005
3,"k32_warmup_o4_S2","K32_S2_B64",108484,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4138344,4338075,0.95395861067408927,4138344,4138260,84,0,2.0297974262168637e-05,1.2020612400114508e-10,4138344,3057,0,544.5189473684211,3544.827002000899,6.5100158940887543,0,2000,4500,289000,43.380306941288204,530.74369844556179,9088,9088,9,434500,0.0011842105263157896,0.10499368829657467,54,1,0,0,0x0000000000000000,-1,-1,60.1692162,0.315391988,0.111808002,0.0327679999,0.107519999,8.35891247,0.920575976,11.3776636,3.96185589,0.431104004,1.98758399,9.5631361,22.9457912,0.0245760009
3,"k32_warmup_o4_S2","K32_S2_B64",108484,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139201,4338075,0.95415616373621936,4139201,4139115,86,0,2.077695671217706e-05,9.7703940847800605e-11,4139201,3052,0,544.63171052631583,3428.3037378517274,6.2947192967128505,0,2000,4500,273509,40.623491024409127,502.19073681128316,9088,9088,11,455502,0.0014473684210526317,0.11004587600360553,59,1,0,0,0x0000000000000000,-1,-1,58.8339195,0.435200006,0.144383997,0.0296960007,0.253951997,7.89401579,0.916480005,11.3940477,4.02329588,0.429055989,1.87596798,9.00198364,22.3877125,0.0245760009
3,"k32_warmup_o4_S2","K32_S2_B64",108484,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139551,4338075,0.95423684468341374,4139552,4139467,85,1,2.0533622962098314e-05,1.0486944337778447e-10,4139551,3061,0,544.67776315789479,3434.1162156146706,6.3048584831232892,0,2000,4500,274000,40.751240492211714,503.04972689067,9088,9088,13,477501,0.0017105263157894738,0.11535091607761325,63,1,0,0,0x0000000000000000,-1,-1,57.6624641,0.379904002,0.0983040035,0.0296960007,0.0800959989,7.62572813,0.908288002,11.3879042,4.04889584,0.431104004,1.90976,9.04499245,21.6698875,0.0255999994
3,"k32_warmup_o4_S2","K32_S2_B64",108484,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139433,4338075,0.95420964367835959,4139933,4139848,85,500,2.0531733243025915e-05,9.0770200039428933e-11,4139433,3065,0,544.66223684210524,3327.5935123473314,6.1094625021928657,0,2000,4500,258005,38.325532065700706,473.69724307652763,9088,9088,13,478001,0.0017105263157894738,0.11547499379745969,63,1,0,0,0x0000000000000000,-1,-1,57.0972176,0.418816,0.0983040035,0.0286720004,0.108543999,7.5089922,0.913407981,11.4022398,4.03251219,0.429055989,1.98143995,8.60671997,21.5194244,0.0245760009
3,"k32_warmup_o4_S2","K32_S2_B64",108484,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139788,4338075,0.95429147721051388,4139789,4139700,89,1,2.1498680246746874e-05,7.9021152628938024e-11,4139788,3067,0,544.70894736842104,3327.5581361561349,6.1088736512078938,0,2000,4500,258000,38.318337286422071,473.64744281591231,9088,9088,13,478499,0.0017105263157894738,0.11558538746428561,63,1,0,0,0x0000000000000000,-1,-1,57.118721,0.358399987,0.0983040035,0.0327679999,0.309248,7.37382364,0.921599984,11.3704958,4.05913591,0.425983995,1.92204797,8.73472023,21.4620152,0.0255999994
3,"k32_warmup_o4_S2","K32_S2_B64",108484,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139640,4338075,0.95425736069570033,4139641,4139557,84,1,2.0291614659338817e-05,1.0145088781188817e-10,4139640,3072,0,544.6894736842105,3327.517949675931,6.1090182763566583,0,2000,4500,258000,38.320104300859676,473.66437661245908,9088,9088,13,477500,0.0017105263157894738,0.11534819452899286,63,1,0,0,0x0000000000000000,-1,-1,56.7019539,0.520192027,0.0983040035,0.0337920003,0.204799995,7.59091187,0.930815995,11.3766403,3.99667192,0.428032011,1.88108802,8.4490242,21.1435528,0.0255999994
3,"k32_warmup_o4_S2","K32_S2_B64",108484,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,19,14,1,1,4139998,4338075,0.95433988577883044,4140497,4140412,85,499,2.0528936502067264e-05,1.0868195247580617e-10,4139998,3085,0,544.73657894736846,3235.7073287286498,5.9399486903949557,0,2000,4502,241996,36.282990444524764,444.24407934496588,9088,9088,12,465999,0.0015789473684210526,0.11256019930444411,61,1,0,0,0x0000000000000000,-1,-1,55.5509758,0.408576012,0.239616007,0.0296960007,0.233664006,7.08499193,0.921599984,11.3797121,4.08780813,0.428032011,1.90361595,8.15820789,20.6264324,0.0266239997
