sequence,factor,phase,pair,order_in_pair,state,manuscript_state,run_id,case_dir,result_dir,accepted_measured
1,1,warmup,0,1,E1,T1,k1_warmup_o1_E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_warmup_o1_E1,false
2,1,warmup,0,2,E2,T2,k1_warmup_o2_E2,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_warmup_o2_E2,false
3,1,warmup,0,3,S1,S1,k1_warmup_o3_S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_warmup_o3_S1,false
4,1,warmup,0,4,S2,S2,k1_warmup_o4_S2,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_warmup_o4_S2,false
5,1,measured,1,1,E1,T1,k1_pair01_o1_E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair01_o1_E1,true
6,1,measured,1,2,E2,T2,k1_pair01_o2_E2,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair01_o2_E2,true
7,1,measured,1,3,S1,S1,k1_pair01_o3_S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair01_o3_S1,true
8,1,measured,1,4,S2,S2,k1_pair01_o4_S2,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair01_o4_S2,true
9,1,measured,2,1,E2,T2,k1_pair02_o1_E2,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair02_o1_E2,true
10,1,measured,2,2,S1,S1,k1_pair02_o2_S1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair02_o2_S1,true
11,1,measured,2,3,S2,S2,k1_pair02_o3_S2,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair02_o3_S2,true
12,1,measured,2,4,E1,T1,k1_pair02_o4_E1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/inputs/k1,/home/lss/OpenFOAM/lss-10/applications/solvers/SOURCE_STUDY_ARCHIVE/results/injectionNozzle_gpu30_four_state_tail_matrix_20260813/runs/k1_pair02_o4_E1,true
