factor,stage,pairs,median_s1_over_s2_speedup,ci95_low,ci95_high,classification
1,total_ms,5,0.97840861249774469,0.97455069858224674,0.98948510225824715,negative
1,gas_flux_ms,5,0.99725272718286118,0.89976164109627221,1.1221719536725885,inconclusive
1,eulerian_coupling_ms,5,1.0098522169383508,1.0048780488734383,1.045226146706957,positive
1,injection_ms,5,1,0.984615378651997,1.0156250061511991,inconclusive
1,bin_pre_ms,5,0.22692586571872392,0.21857922520384512,0.38927778141519287,negative
1,pressure_pre_ms,5,1.0020739852211489,0.99997860248411941,1.0035953472237491,inconclusive
1,collision_pool_ms,5,0.83710145535667402,0.83284456580731692,0.84692081670761454,negative
1,relax_ms,5,0.99502718104303844,0.98936732761224155,1.0103728442318727,inconclusive
1,track_ms,5,1.0101062323730898,0.99151125031517817,1.0165904686827394,inconclusive
1,bin_post_ms,5,0.98138291432427049,0.97615895031330879,0.98531371644655574,negative
1,moments_ms,5,0.86962475429262087,0.85439262058963972,0.88328689624461598,negative
1,pressure_post_ms,5,1.0006671146606387,0.99765102636604364,1.0087218956015764,inconclusive
1,compaction_ms,5,0.99805873989061478,0.9961255592933469,1.0038930703348039,inconclusive
1,boundary_ms,5,1,1,1.0416666041056339,inconclusive
2,total_ms,5,0.98533036257206474,0.97847153429737921,0.99041931304747588,negative
2,gas_flux_ms,5,1.0053763071925323,0.85865253762112859,1.1010558314139289,inconclusive
2,eulerian_coupling_ms,5,1.0098039217563557,0.98058252390364298,1.0248756273533606,inconclusive
2,injection_ms,5,1,0.96969695812887413,1.0153846213480029,inconclusive
2,bin_pre_ms,5,0.20652172508311886,0.19588761359995147,0.33333334050254221,negative
2,pressure_pre_ms,5,1.0013600948688786,1.0000000397785136,1.002725747320611,positive
2,collision_pool_ms,5,0.84783859853187882,0.83819322356453996,0.85516442995521991,negative
2,relax_ms,5,0.99735164749094951,0.99449829885620356,1.0070528356084263,inconclusive
2,track_ms,5,1.0046331807358284,0.99120236707696707,1.0074578559227345,inconclusive
2,bin_post_ms,5,0.97754291462613796,0.97380093024289105,0.9814814942554474,negative
2,moments_ms,5,0.86351278218239125,0.85078501308350774,0.86577728685963273,negative
2,pressure_post_ms,5,0.99933949157040958,0.99675380287947901,1.0026429000970434,inconclusive
2,compaction_ms,5,1.0009674759615457,0.99384879054949171,1.0024277927387624,inconclusive
2,boundary_ms,5,1,1,1,inconclusive
4,total_ms,5,0.99458154770452711,0.98788245750752368,1.0052323745445979,inconclusive
4,gas_flux_ms,5,1.018952740038815,0.81404954132044804,1.1006826188767405,inconclusive
4,eulerian_coupling_ms,5,1,0.99009900004059026,1.0204081638754037,inconclusive
4,injection_ms,5,1,0.95454543867295139,1.0158730206463371,inconclusive
4,bin_pre_ms,5,0.21587074968160172,0.19895287119172478,0.22657951146866201,negative
4,pressure_pre_ms,5,0.9974344795576684,0.98913336935498497,1.0041220437448479,inconclusive
4,collision_pool_ms,5,1.0953488525390627,1.0880138932216661,1.1091014972472668,positive
4,relax_ms,5,0.99560806982183481,0.98600281860974504,1.0055335544437036,inconclusive
4,track_ms,5,0.99769232021811816,0.9821269110386075,1.0035129073110476,inconclusive
4,bin_post_ms,5,0.97766099305159215,0.97516336307616736,0.98289468344564457,negative
4,moments_ms,5,0.98724904784560386,0.98669562099709651,0.99725724685565231,negative
4,pressure_post_ms,5,1,0.99386661098089157,1.0179127852617147,inconclusive
4,compaction_ms,5,0.99583816320774921,0.98778613244829783,0.99749395615591907,negative
4,boundary_ms,5,1,0.96153844983704695,1,inconclusive
8,total_ms,5,1.032769234476633,1.0311678771084911,1.0368664447108054,positive
8,gas_flux_ms,5,0.97500003597259621,0.88202251103086693,1.0654536985444625,inconclusive
8,eulerian_coupling_ms,5,1,0.99489795604167186,1.0103092847647535,inconclusive
8,injection_ms,5,0.98412697935366278,0.96874999074935919,1.0306995455314225,inconclusive
8,bin_pre_ms,5,0.2209302222128621,0.18181817595625804,0.23916292362765917,negative
8,pressure_pre_ms,5,0.99039782429452006,0.98693960907353673,1.0092958627364479,inconclusive
8,collision_pool_ms,5,1.5620831674036173,1.5593022915152619,1.5719257959856272,positive
8,relax_ms,5,0.99352246270579214,0.99179817896032252,0.9945548151718816,negative
8,track_ms,5,0.99475274368942646,0.98934373973911371,1.0017111837695709,inconclusive
8,bin_post_ms,5,0.9738902939291425,0.97269178997156591,0.98167540535869691,negative
8,moments_ms,5,1.4167812211167712,1.384254098210514,1.4398225772790931,positive
8,pressure_post_ms,5,0.99873370863683408,0.99134147501983205,1.0059760565626965,inconclusive
8,compaction_ms,5,1.0086128265042025,0.99343868982147221,1.0116575215204566,inconclusive
8,boundary_ms,5,1,0.96000005765625152,1.0208333020528166,inconclusive
16,total_ms,5,1.0895552454654851,1.0863352471401682,1.0997001121360879,positive
16,gas_flux_ms,5,1.1116279461800866,0.99375979448590768,1.2039801584976502,inconclusive
16,eulerian_coupling_ms,5,1,0.98969079275619032,1.0051813112275245,inconclusive
16,injection_ms,5,1,0.96923827505260696,1.0322580743732117,inconclusive
16,bin_pre_ms,5,0.21811657878199864,0.2122904900776546,0.23547636515044715,negative
16,pressure_pre_ms,5,0.99582694895422819,0.97554006144263661,1.0097902252006388,inconclusive
16,collision_pool_ms,5,2.5071797691743338,2.4842044281657603,2.513761372635817,positive
16,relax_ms,5,0.9993412878475979,0.99811949163087399,1.0001413150468188,inconclusive
16,track_ms,5,0.99805019069493439,0.99701451508172334,1.000004036865604,inconclusive
16,bin_post_ms,5,0.97839896726988984,0.97602846553529299,0.98091603278213513,negative
16,moments_ms,5,2.3001382139828324,2.296408915015395,2.3387322358448981,positive
16,pressure_post_ms,5,0.98840350297999779,0.98210315054247643,1.0179872266896799,inconclusive
16,compaction_ms,5,1.0004046850428066,0.97890313192960932,1.0175801727898359,inconclusive
16,boundary_ms,5,0.96000005765625129,0.96000005765625152,1,inconclusive
32,total_ms,5,1.1604585048844029,1.1561175723310098,1.1689516231539401,positive
32,gas_flux_ms,5,0.99442123748727174,0.8428184142524463,1.0298507346794064,inconclusive
32,eulerian_coupling_ms,5,0.99487179169748519,0.98979591208334416,0.99983894245687988,negative
32,injection_ms,5,1,0.96874999074935919,1.0322580743732117,inconclusive
32,bin_pre_ms,5,0.20103092068649778,0.17336754027613249,0.21925710864857609,negative
32,pressure_pre_ms,5,1.0156076304398454,1.0013049251113788,1.018454066312461,positive
32,collision_pool_ms,5,4.2994615811116237,4.2855555377266583,4.324805495467329,positive
32,relax_ms,5,0.99946316071142349,0.99874127701852511,0.99982008725768012,negative
32,track_ms,5,0.99748254076244203,0.99709590789449487,0.99810535649909971,negative
32,bin_post_ms,5,0.9737783140654056,0.96793348966436421,0.97729988052568684,negative
32,moments_ms,5,3.9344527761550476,3.8086955429994069,4.2916553349318907,positive
32,pressure_post_ms,5,1.009302023190924,0.98316279603463763,1.0209881143002684,inconclusive
32,compaction_ms,5,1.0095846996334417,0.95975447455758989,1.018427857640559,inconclusive
32,boundary_ms,5,0.98000002882812554,0.96000005765625152,1.0208333020528166,inconclusive
64,total_ms,5,1.2196086270824962,1.2054622790377019,1.2338319129121604,positive
64,gas_flux_ms,5,0.96130953364469562,0.83048617350287124,1.1939586097456023,inconclusive
64,eulerian_coupling_ms,5,1,0.99983731749252081,1.1968912226749169,inconclusive
64,injection_ms,5,1,0.97064579814051721,1.0171371095909412,inconclusive
64,bin_pre_ms,5,0.21111109813850329,0.18181817510670398,0.21953420043392527,negative
64,pressure_pre_ms,5,0.99201043778201137,0.98705521432643484,1.0146810873412619,inconclusive
64,collision_pool_ms,5,7.4729167651600328,7.385896660396523,7.5511482219306414,positive
64,relax_ms,5,0.99954555372480181,0.99801716826565612,1.0004958758433615,inconclusive
64,track_ms,5,0.99856703738377939,0.99571130007517394,1.0021534389907027,inconclusive
64,bin_post_ms,5,0.97925767368374805,0.9781659620864106,0.98471616770345938,negative
64,moments_ms,5,7.0210790485130925,6.9312799923859441,7.1675964479272327,positive
64,pressure_post_ms,5,0.99166239190455729,0.9827145077627828,1.0207363006378769,inconclusive
64,compaction_ms,5,1.0076394346443895,0.98395382620362137,1.0470838910125437,inconclusive
64,boundary_ms,5,0.98062499759277333,0.96250004013671953,1.0006510090907423,inconclusive
