factor,pair,order_in_pair,state,run_id,metric,value
1,1,1,S1,k1_pair01_o1_S1,particle_count,3798929
1,1,1,S1,k1_pair01_o1_S1,occupancy_mean,499.8590789473684
1,1,1,S1,k1_pair01_o1_S1,occupancy_cv,1.9750548130902637
1,1,1,S1,k1_pair01_o1_S1,occupancy_p99,4500
1,1,1,S1,k1_pair01_o1_S1,occupancy_max,11498.5
1,1,1,S1,k1_pair01_o1_S1,heavy_threshold,0
1,1,1,S1,k1_pair01_o1_S1,heavy_cell_count,0
1,1,1,S1,k1_pair01_o1_S1,heavy_particle_count,0
1,1,1,S1,k1_pair01_o1_S1,heavy_particle_fraction,0
1,1,1,S1,k1_pair01_o1_S1,heavy_task_count_estimate,0
1,1,2,S2,k1_pair01_o2_S2,particle_count,3798929
1,1,2,S2,k1_pair01_o2_S2,occupancy_mean,499.8590789473684
1,1,2,S2,k1_pair01_o2_S2,occupancy_cv,1.9750549479108819
1,1,2,S2,k1_pair01_o2_S2,occupancy_p99,4500
1,1,2,S2,k1_pair01_o2_S2,occupancy_max,11498.5
1,1,2,S2,k1_pair01_o2_S2,heavy_threshold,8384
1,1,2,S2,k1_pair01_o2_S2,heavy_cell_count,19
1,1,2,S2,k1_pair01_o2_S2,heavy_particle_count,186245
1,1,2,S2,k1_pair01_o2_S2,heavy_particle_fraction,0.049022870471078145
1,1,2,S2,k1_pair01_o2_S2,heavy_task_count_estimate,38
1,2,1,S2,k1_pair02_o1_S2,particle_count,3798929
1,2,1,S2,k1_pair02_o1_S2,occupancy_mean,499.8590789473684
1,2,1,S2,k1_pair02_o1_S2,occupancy_cv,1.9750551463411949
1,2,1,S2,k1_pair02_o1_S2,occupancy_p99,4500
1,2,1,S2,k1_pair02_o1_S2,occupancy_max,11498.5
1,2,1,S2,k1_pair02_o1_S2,heavy_threshold,8384
1,2,1,S2,k1_pair02_o1_S2,heavy_cell_count,19
1,2,1,S2,k1_pair02_o1_S2,heavy_particle_count,186245
1,2,1,S2,k1_pair02_o1_S2,heavy_particle_fraction,0.049022870471078145
1,2,1,S2,k1_pair02_o1_S2,heavy_task_count_estimate,38
1,2,2,S1,k1_pair02_o2_S1,particle_count,3798929
1,2,2,S1,k1_pair02_o2_S1,occupancy_mean,499.8590789473684
1,2,2,S1,k1_pair02_o2_S1,occupancy_cv,1.9750549463106375
1,2,2,S1,k1_pair02_o2_S1,occupancy_p99,4500
1,2,2,S1,k1_pair02_o2_S1,occupancy_max,11498.5
1,2,2,S1,k1_pair02_o2_S1,heavy_threshold,0
1,2,2,S1,k1_pair02_o2_S1,heavy_cell_count,0
1,2,2,S1,k1_pair02_o2_S1,heavy_particle_count,0
1,2,2,S1,k1_pair02_o2_S1,heavy_particle_fraction,0
1,2,2,S1,k1_pair02_o2_S1,heavy_task_count_estimate,0
1,3,1,S1,k1_pair03_o1_S1,particle_count,3798929
1,3,1,S1,k1_pair03_o1_S1,occupancy_mean,499.8590789473684
1,3,1,S1,k1_pair03_o1_S1,occupancy_cv,1.9750550131208482
1,3,1,S1,k1_pair03_o1_S1,occupancy_p99,4500
1,3,1,S1,k1_pair03_o1_S1,occupancy_max,11498.5
1,3,1,S1,k1_pair03_o1_S1,heavy_threshold,0
1,3,1,S1,k1_pair03_o1_S1,heavy_cell_count,0
1,3,1,S1,k1_pair03_o1_S1,heavy_particle_count,0
1,3,1,S1,k1_pair03_o1_S1,heavy_particle_fraction,0
1,3,1,S1,k1_pair03_o1_S1,heavy_task_count_estimate,0
1,3,2,S2,k1_pair03_o2_S2,particle_count,3798929
1,3,2,S2,k1_pair03_o2_S2,occupancy_mean,499.8590789473684
1,3,2,S2,k1_pair03_o2_S2,occupancy_cv,1.9750550131208482
1,3,2,S2,k1_pair03_o2_S2,occupancy_p99,4500
1,3,2,S2,k1_pair03_o2_S2,occupancy_max,11498.5
1,3,2,S2,k1_pair03_o2_S2,heavy_threshold,8384
1,3,2,S2,k1_pair03_o2_S2,heavy_cell_count,19
1,3,2,S2,k1_pair03_o2_S2,heavy_particle_count,186245
1,3,2,S2,k1_pair03_o2_S2,heavy_particle_fraction,0.049022870471078145
1,3,2,S2,k1_pair03_o2_S2,heavy_task_count_estimate,38
1,4,1,S2,k1_pair04_o1_S2,particle_count,3798929
1,4,1,S2,k1_pair04_o1_S2,occupancy_mean,499.8590789473684
1,4,1,S2,k1_pair04_o1_S2,occupancy_cv,1.9750550131208482
1,4,1,S2,k1_pair04_o1_S2,occupancy_p99,4500
1,4,1,S2,k1_pair04_o1_S2,occupancy_max,11498.5
1,4,1,S2,k1_pair04_o1_S2,heavy_threshold,8384
1,4,1,S2,k1_pair04_o1_S2,heavy_cell_count,19
1,4,1,S2,k1_pair04_o1_S2,heavy_particle_count,186245
1,4,1,S2,k1_pair04_o1_S2,heavy_particle_fraction,0.049022870471078145
1,4,1,S2,k1_pair04_o1_S2,heavy_task_count_estimate,38
1,4,2,S1,k1_pair04_o2_S1,particle_count,3798929
1,4,2,S1,k1_pair04_o2_S1,occupancy_mean,499.8590789473684
1,4,2,S1,k1_pair04_o2_S1,occupancy_cv,1.9750551463411949
1,4,2,S1,k1_pair04_o2_S1,occupancy_p99,4500
1,4,2,S1,k1_pair04_o2_S1,occupancy_max,11498.5
1,4,2,S1,k1_pair04_o2_S1,heavy_threshold,0
1,4,2,S1,k1_pair04_o2_S1,heavy_cell_count,0
1,4,2,S1,k1_pair04_o2_S1,heavy_particle_count,0
1,4,2,S1,k1_pair04_o2_S1,heavy_particle_fraction,0
1,4,2,S1,k1_pair04_o2_S1,heavy_task_count_estimate,0
1,5,1,S1,k1_pair05_o1_S1,particle_count,3798929
1,5,1,S1,k1_pair05_o1_S1,occupancy_mean,499.8590789473684
1,5,1,S1,k1_pair05_o1_S1,occupancy_cv,1.9750550128541406
1,5,1,S1,k1_pair05_o1_S1,occupancy_p99,4500
1,5,1,S1,k1_pair05_o1_S1,occupancy_max,11498.5
1,5,1,S1,k1_pair05_o1_S1,heavy_threshold,0
1,5,1,S1,k1_pair05_o1_S1,heavy_cell_count,0
1,5,1,S1,k1_pair05_o1_S1,heavy_particle_count,0
1,5,1,S1,k1_pair05_o1_S1,heavy_particle_fraction,0
1,5,1,S1,k1_pair05_o1_S1,heavy_task_count_estimate,0
1,5,2,S2,k1_pair05_o2_S2,particle_count,3798929
1,5,2,S2,k1_pair05_o2_S2,occupancy_mean,499.8590789473684
1,5,2,S2,k1_pair05_o2_S2,occupancy_cv,1.9750550797977007
1,5,2,S2,k1_pair05_o2_S2,occupancy_p99,4500
1,5,2,S2,k1_pair05_o2_S2,occupancy_max,11498.5
1,5,2,S2,k1_pair05_o2_S2,heavy_threshold,8384
1,5,2,S2,k1_pair05_o2_S2,heavy_cell_count,19
1,5,2,S2,k1_pair05_o2_S2,heavy_particle_count,186245
1,5,2,S2,k1_pair05_o2_S2,heavy_particle_fraction,0.049022870471078145
1,5,2,S2,k1_pair05_o2_S2,heavy_task_count_estimate,38
2,1,1,S1,k2_pair01_o1_S1,particle_count,3809929
2,1,1,S1,k2_pair01_o1_S1,occupancy_mean,501.30644736842106
2,1,1,S1,k2_pair01_o1_S1,occupancy_cv,2.004800084733676
2,1,1,S1,k2_pair01_o1_S1,occupancy_p99,4500
2,1,1,S1,k2_pair01_o1_S1,occupancy_max,17999
2,1,1,S1,k2_pair01_o1_S1,heavy_threshold,0
2,1,1,S1,k2_pair01_o1_S1,heavy_cell_count,0
2,1,1,S1,k2_pair01_o1_S1,heavy_particle_count,0
2,1,1,S1,k2_pair01_o1_S1,heavy_particle_fraction,0
2,1,1,S1,k2_pair01_o1_S1,heavy_task_count_estimate,0
2,1,2,S2,k2_pair01_o2_S2,particle_count,3809929
2,1,2,S2,k2_pair01_o2_S2,occupancy_mean,501.30644736842106
2,1,2,S2,k2_pair01_o2_S2,occupancy_cv,2.0047996327879605
2,1,2,S2,k2_pair01_o2_S2,occupancy_p99,4500
2,1,2,S2,k2_pair01_o2_S2,occupancy_max,17999
2,1,2,S2,k2_pair01_o2_S2,heavy_threshold,8384
2,1,2,S2,k2_pair01_o2_S2,heavy_cell_count,20
2,1,2,S2,k2_pair01_o2_S2,heavy_particle_count,199989
2,1,2,S2,k2_pair01_o2_S2,heavy_particle_fraction,0.052488079195337892
2,1,2,S2,k2_pair01_o2_S2,heavy_task_count_estimate,40.5
2,2,1,S2,k2_pair02_o1_S2,particle_count,3809929
2,2,1,S2,k2_pair02_o1_S2,occupancy_mean,501.30644736842106
2,2,1,S2,k2_pair02_o1_S2,occupancy_cv,2.0047999519700879
2,2,1,S2,k2_pair02_o1_S2,occupancy_p99,4500
2,2,1,S2,k2_pair02_o1_S2,occupancy_max,17999
2,2,1,S2,k2_pair02_o1_S2,heavy_threshold,8384
2,2,1,S2,k2_pair02_o1_S2,heavy_cell_count,20
2,2,1,S2,k2_pair02_o1_S2,heavy_particle_count,199989
2,2,1,S2,k2_pair02_o1_S2,heavy_particle_fraction,0.052488079195337892
2,2,1,S2,k2_pair02_o1_S2,heavy_task_count_estimate,40.5
