cell,invariant,before,after,residual,scaled_residual
1,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
1,mom_x,3.921476295053293771321e-07,3.921476295053293771321e-07,0.000000000000000000000e+00,0.00000000000000000e+00
1,mom_y,-3.255560223308804675088e-10,-3.255560223308804675088e-10,0.000000000000000000000e+00,0.00000000000000000e+00
1,mom_z,-2.444454370792082646408e-14,-2.444454370792082646408e-14,0.000000000000000000000e+00,0.00000000000000000e+00
1,energy,1.537798693133733945321e-05,1.537798693133733945321e-05,0.000000000000000000000e+00,0.00000000000000000e+00
1,mass_d,8.020876214141367141835e-13,8.020876214141367141835e-13,0.000000000000000000000e+00,0.00000000000000000e+00
1,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
3,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
3,mom_x,3.740654178049726911891e-07,3.740654178049726911891e-07,0.000000000000000000000e+00,0.00000000000000000e+00
3,mom_y,-6.777953845184941262254e-10,-6.777953845184941262254e-10,0.000000000000000000000e+00,0.00000000000000000e+00
3,mom_z,-3.111683448068570274017e-14,-3.111683448068570274017e-14,0.000000000000000000000e+00,0.00000000000000000e+00
3,energy,1.399253962041929953111e-05,1.399253962041929953111e-05,0.000000000000000000000e+00,0.00000000000000000e+00
3,mass_d,1.408566930745474726575e-12,1.408566930745474726575e-12,0.000000000000000000000e+00,0.00000000000000000e+00
3,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
5,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
5,mom_x,3.618550100880558410725e-07,3.618550100880558410725e-07,0.000000000000000000000e+00,0.00000000000000000e+00
5,mom_y,-1.247360947250670345250e-10,-1.247360947250670345250e-10,0.000000000000000000000e+00,0.00000000000000000e+00
5,mom_z,-3.858247133450064683365e-14,-3.858247133450064683365e-14,0.000000000000000000000e+00,0.00000000000000000e+00
5,energy,1.309390638849217949804e-05,1.309390638849217949804e-05,0.000000000000000000000e+00,0.00000000000000000e+00
5,mass_d,9.255033067258790002724e-13,9.255033067258790002724e-13,0.000000000000000000000e+00,0.00000000000000000e+00
5,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
8,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
8,mom_x,3.600483986711277723737e-07,3.600483986711277723737e-07,0.000000000000000000000e+00,0.00000000000000000e+00
8,mom_y,-2.642553450694259618987e-10,-2.642553450694259618987e-10,0.000000000000000000000e+00,0.00000000000000000e+00
8,mom_z,-5.127027299288999688105e-14,-5.127027299288999688105e-14,0.000000000000000000000e+00,0.00000000000000000e+00
8,energy,1.296349192165334390868e-05,1.296349192165334390868e-05,0.000000000000000000000e+00,0.00000000000000000e+00
8,mass_d,8.300102618091560235219e-13,8.300102618091560235219e-13,0.000000000000000000000e+00,0.00000000000000000e+00
8,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
10,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
10,mom_x,3.690466458088080362675e-07,3.690466458088080362675e-07,0.000000000000000000000e+00,0.00000000000000000e+00
10,mom_y,-2.964150103110351073096e-10,-2.964150103110351073096e-10,0.000000000000000000000e+00,0.00000000000000000e+00
10,mom_z,-5.298549089572577895270e-14,-5.298549089572577895270e-14,0.000000000000000000000e+00,0.00000000000000000e+00
10,energy,1.361955146445929358014e-05,1.361955146445929358014e-05,0.000000000000000000000e+00,0.00000000000000000e+00
10,mass_d,1.535048895075495917731e-12,1.535048895075495917731e-12,0.000000000000000000000e+00,0.00000000000000000e+00
10,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
13,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
13,mom_x,3.872367237663695129135e-07,3.872367237663695129135e-07,0.000000000000000000000e+00,0.00000000000000000e+00
13,mom_y,5.809524688270096939185e-11,5.809524688270096939185e-11,0.000000000000000000000e+00,0.00000000000000000e+00
13,mom_z,-2.179117763740291257694e-14,-2.179117763740291257694e-14,0.000000000000000000000e+00,0.00000000000000000e+00
13,energy,1.499522836097044435773e-05,1.499522836097044435773e-05,0.000000000000000000000e+00,0.00000000000000000e+00
13,mass_d,1.932632334285737851607e-12,1.932632334285737851607e-12,0.000000000000000000000e+00,0.00000000000000000e+00
13,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
16,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
16,mom_x,4.096921655336775319665e-07,4.096921655336775319665e-07,0.000000000000000000000e+00,0.00000000000000000e+00
16,mom_y,7.397379834533794014629e-11,7.397379834533794014629e-11,0.000000000000000000000e+00,0.00000000000000000e+00
16,mom_z,-1.352646984070430596877e-14,-1.352646984070430596877e-14,0.000000000000000000000e+00,0.00000000000000000e+00
16,energy,1.678476759718048989746e-05,1.678476759718048989746e-05,0.000000000000000000000e+00,0.00000000000000000e+00
16,mass_d,1.638754496481559428180e-12,1.638754496481559428180e-12,0.000000000000000000000e+00,0.00000000000000000e+00
16,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
19,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
19,mom_x,4.297933640777673781676e-07,4.297933640777673781676e-07,0.000000000000000000000e+00,0.00000000000000000e+00
19,mom_y,2.871897524930303667845e-12,2.871897524930303667845e-12,0.000000000000000000000e+00,0.00000000000000000e+00
19,mom_z,-1.639531277889687550901e-14,-1.639531277889687550901e-14,0.000000000000000000000e+00,0.00000000000000000e+00
19,energy,1.847223358135330727593e-05,1.847223358135330727593e-05,0.000000000000000000000e+00,0.00000000000000000e+00
19,mass_d,1.865519123180432279238e-12,1.865519123180432279238e-12,0.000000000000000000000e+00,0.00000000000000000e+00
19,mass_T,1.800000000000000045602e-05,1.800000000000000045602e-05,0.000000000000000000000e+00,0.00000000000000000e+00
22,mass,5.000000000000000104613e-09,5.000000000000000104613e-09,0.000000000000000000000e+00,0.00000000000000000e+00
