schema_version,run_id,variant,backend_pid,step,simulation_time,dt,mode,timing_valid,status,error_stage,error_message,n_cells,block_exponent,block_threads,sm_count,particle_blocks_per_sm,light_blocks_per_sm,heavy_blocks_per_sm,heavy_reduction_enabled,particle_path,particle_count,particle_capacity,particle_utilisation,pretransport_particle_count,base_particle_count,injected_particle_count,removed_particle_count,injection_fraction,source_residual_mass,occupancy_sum,occupancy_nonempty,occupancy_min,occupancy_mean,occupancy_stddev,occupancy_cv,occupancy_p50,occupancy_p95,occupancy_p99,occupancy_max,occupancy_i2,occupancy_imax,heavy_threshold,heavy_tile_particles,heavy_cell_count,heavy_particle_count,heavy_cell_fraction,heavy_particle_fraction,heavy_task_count_estimate,occupancy_matches_count,bad_cells,bad_particles,bad_field_mask,first_bad_cell,first_bad_particle,total_ms,gas_flux_ms,eulerian_coupling_ms,injection_ms,bin_pre_ms,pressure_pre_ms,collision_pool_ms,relax_ms,track_ms,bin_post_ms,moments_ms,pressure_post_ms,compaction_ms,boundary_ms
3,"k32_rep03_L2","K32_L2_B64",14982,10,0.11500051000000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4137278,4338075,0.95371287956063466,4137278,4137190,88,0,2.1270023430864448e-05,8.7099112341127016e-11,4137278,3046,0,544.37868421052633,4154.4398011763597,7.6315254834072865,0,2000,4500,352500,59.240181203894821,647.52719058279376,17280,17280,1,352500,0.00013157894736842105,0.085200946129314975,21,1,0,0,0x0000000000000000,-1,-1,67.5737305,0.362495989,0.100351997,0.0327679999,0.126975998,9.91129589,0.96153599,11.37152,3.93523192,0.440319985,1.63328004,11.1708479,27.4677753,0.0245760009
3,"k32_rep03_L2","K32_L2_B64",14982,20,0.11500101000000003,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4137624,4338075,0.95379263843986095,4137625,4137538,87,1,2.1026555088970121e-05,8.8656156097883938e-11,4137624,3054,0,544.42421052631573,3984.5866608976298,7.3189005629370838,0,2000,4500,336504,54.566305450160762,618.09154239244549,17280,17280,2,360500,0.0002631578947368421,0.087127298178858198,22,1,0,0,0x0000000000000000,-1,-1,65.0618896,0.348159999,0.100351997,0.0317439996,0.0634879991,9.4115839,0.963584006,11.3735676,4.00486422,0.437247992,1.68345594,10.7560959,25.8304005,0.0255999994
3,"k32_rep03_L2","K32_L2_B64",14982,30,0.11500151000000004,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4137492,4338075,0.95376221019691909,4137492,4137405,87,0,2.1027230989207956e-05,7.7903267870432015e-11,4137492,3044,0,544.40684210526319,3677.2713448547725,6.7546383705143764,0,2000,4500,304501,46.625139516425122,559.32618117448931,17280,17280,2,360500,0.0002631578947368421,0.087130077834591577,22,1,0,0,0x0000000000000000,-1,-1,63.0855675,0.388096005,0.100351997,0.0317439996,0.238591999,8.89139175,0.976895988,11.395072,4.20147181,0.438271999,1.68038404,10.1375999,24.5585918,0.0245760009
3,"k32_rep03_L2","K32_L2_B64",14982,40,0.11500201000000006,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4138338,4338075,0.95395722757213741,4138338,4138252,86,0,2.0781289493511648e-05,9.425075356139161e-11,4138338,3058,0,544.51815789473687,3544.8266716867652,6.5100247260662165,0,2000,4500,289000,43.380421933993524,530.74446794824394,17280,17280,2,360500,0.0002631578947368421,0.087112265841987779,22,1,0,0,0x0000000000000000,-1,-1,59.5077133,0.348288,0.0993279964,0.0327679999,0.0901120007,8.30873585,0.977919996,11.3827839,3.95366406,0.437247992,1.66809595,9.55814362,22.6007042,0.0255999994
3,"k32_rep03_L2","K32_L2_B64",14982,50,0.11500251000000007,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139191,4338075,0.95415385856629953,4139191,4139102,89,0,2.1501786218611319e-05,8.7618971132164059e-11,4139191,3053,0,544.63039473684205,3428.3033218991259,6.2947337405868344,0,2000,4500,273509,40.623672864882309,502.19195006947012,17280,17280,2,361000,0.0002631578947368421,0.08721511039234478,22,1,0,0,0x0000000000000000,-1,-1,58.4673271,0.352351993,0.144639999,0.0573440008,0.167935997,7.73081589,0.971776009,11.390976,4.02022409,0.43315199,1.68038404,9.06854439,22.3979511,0.0246399995
3,"k32_rep03_L2","K32_L2_B64",14982,60,0.11500301000000009,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139540,4338075,0.95423430899650186,4139541,4139453,88,1,2.1258395556415553e-05,8.736275430771563e-11,4139540,3062,0,544.67631578947373,3434.1157722671196,6.3048744230591094,0,2000,4500,274000,40.751441490544948,503.05106364475279,17280,17280,2,361500,0.0002631578947368421,0.087328543751238066,22,1,0,0,0x0000000000000000,-1,-1,58.7560959,0.331775993,0.100351997,0.0327679999,0.102399997,7.97081614,0.974847972,11.3848324,4.05606413,0.435200006,1.62303996,9.29075241,22.4071674,0.0255999994
3,"k32_rep03_L2","K32_L2_B64",14982,70,0.1150035100000001,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139418,4338075,0.95420618592347983,4139918,4139835,83,500,2.0048706278723394e-05,1.0252570197513337e-10,4139418,3066,0,544.66026315789475,3327.5929275014732,6.1094835672578114,0,2000,4500,258005,38.325789458593242,473.69895961219669,17280,17280,2,361500,0.0002631578947368421,0.087331117562903765,21,1,0,0,0x0000000000000000,-1,-1,57.0634232,0.464895993,0.100351997,0.0296960007,0.248896003,7.59295988,0.976895988,11.4165764,4.05401611,0.437247992,1.68243206,8.68863964,21.322752,0.0245760009
3,"k32_rep03_L2","K32_L2_B64",14982,80,0.11500401000000011,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139770,4338075,0.9542873279046582,4139771,4139686,85,1,2.0532536703117152e-05,1.1367585673121392e-10,4139770,3068,0,544.70657894736837,3327.5573183340994,6.1088987116045477,0,2000,4500,258000,38.318643468643693,473.64950226703417,17280,17280,2,361500,0.0002631578947368421,0.087323691895926592,21,1,0,0,0x0000000000000000,-1,-1,56.2227211,0.325632006,0.101375997,0.0327679999,0.120832004,7.42809582,0.971776009,11.3756161,4.05606413,0.437247992,1.66195202,8.65177631,21.0155525,0.0245760009
3,"k32_rep03_L2","K32_L2_B64",14982,90,0.11500451000000013,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139626,4338075,0.95425413345781251,4139627,4139540,87,1,2.1016386258955213e-05,9.1648058035338065e-11,4139626,3073,0,544.68763157894739,3327.5174089156162,6.1090379439492075,0,2000,4500,258000,38.320344600611165,473.6659785207649,17280,17280,2,361500,0.0002631578947368421,0.087326729516144688,21,1,0,0,0x0000000000000000,-1,-1,56.5574417,0.374783993,0.0993279964,0.0327679999,0.0798719972,7.40863991,0.966656029,11.3776636,4.03865623,0.436224014,1.67628801,8.72243214,21.2930565,0.0255999994
3,"k32_rep03_L2","K32_L2_B64",14982,100,0.11500501000000014,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139981,4338075,0.9543359669899667,4140480,4140398,82,499,1.9804467114923875e-05,1.2649392685324026e-10,4139981,3086,0,544.73434210526318,3235.7065672015356,5.939971683621657,0,2000,4502,241996,36.283263602227102,444.24590354400175,17280,17280,2,361001,0.0002631578947368421,0.087198709366057475,22,1,0,0,0x0000000000000000,-1,-1,54.8157425,0.326687992,0.100351997,0.0296960007,0.074752003,7.09836769,0.978944004,11.3827839,4.09087992,0.435200006,1.67014396,8.24524784,20.3345928,0.0255999994
3,"k32_rep03_L2","K32_L2_B64",14982,110,0.11500551000000016,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4139842,4338075,0.95430392512808104,4139842,4139758,84,0,2.029062944914323e-05,1.0822249592781211e-10,4139842,3095,0,544.71605263157892,3162.2077567746037,5.8052406230689453,0,2000,4500,225982,34.700818691729914,414.86201647309247,17280,17280,2,360499,0.0002631578947368421,0.087080376497460532,22,1,0,0,0x0000000000000000,-1,-1,52.9192963,0.403456002,0.214016005,0.0337920003,0.214016005,6.70720005,0.986111999,11.3786879,4.03968,0.434175998,1.65785599,7.72607994,19.0781441,0.0255999994
3,"k32_rep03_L2","K32_L2_B64",14982,120,0.11500601000000017,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4140197,4338075,0.95438575866023523,4140197,4140113,84,0,2.0288889634961815e-05,1.1652701223973236e-10,4140197,3098,0,544.76276315789471,3099.1063382781049,5.6889100134398429,0,2000,4500,209988,33.363697141016111,385.4668751269565,17280,17280,2,358501,0.0002631578947368421,0.086590324083612447,22,1,0,0,0x0000000000000000,-1,-1,50.915329,0.374783993,0.126975998,0.040959999,0.0952320024,6.29875183,0.977919996,11.3745918,4.06016016,0.437375993,1.74502397,7.29395199,18.038784,0.0245760009
3,"k32_rep03_L2","K32_L2_B64",14982,130,0.11500651000000019,4.9999999999999998e-08,"timing",1,"ok","","",7600,6,64,24,10,10,10,1,1,4140553,4338075,0.95446782270938146,4140553,4140467,86,0,2.0770172486621956e-05,1.1125907811210493e-10,4140553,3093,0,544.80960526315789,3067.7412874153847,5.6308502232327236,0,2000,4500,194005,32.706474236480013,356.09687884685934,17280,17280,2,358500,0.0002631578947368421,0.086582637633185716,22,1,0,0,0x0000000000000000,-1,-1,49.0229759,0.49049601,0.211968005,0.0318080001,0.302080005,5.97273588,0.968703985,11.3786879,3.97004795,0.437279999,1.73465598,6.65497589,16.8161278,0.0245760009
