case_id,category,package_path,manuscript_role,original_source
01_dustybox,figure,01_dustybox/figures/dustybox_validation.pdf,Figure dustybox-validation,D:/牛逼系列/牛逼GPU/figures/dustybox_validation.pdf
01_dustybox,data,01_dustybox/data/dustybox_validation.csv,Numerical and reference relaxation histories,D:/牛逼系列/牛逼GPU/figures/dustybox_validation.csv
01_dustybox,validation,01_dustybox/data/dustybox_validation_metrics.json,Reported error metrics,D:/牛逼系列/牛逼GPU/figures/dustybox_validation_metrics.json
01_dustybox,metadata,01_dustybox/data/dustybox_case_parameters.json,Case parameters,D:/牛逼系列/牛逼GPU/figures/dustybox_case_parameters.json
02_wind_sand_shock_tube,figure,02_wind_sand_shock_tube/figures/windsand_shocktube_density.pdf,Figure windsand-validation density panels,D:/牛逼系列/牛逼GPU/figures/windsand_shocktube_density.pdf
02_wind_sand_shock_tube,figure,02_wind_sand_shock_tube/figures/windsand_shocktube_velocity.pdf,Figure windsand-validation velocity panels,D:/牛逼系列/牛逼GPU/figures/windsand_shocktube_velocity.pdf
02_wind_sand_shock_tube,figure,02_wind_sand_shock_tube/figures/windsand_shocktube_pressure_temperature.pdf,Figure windsand-validation pressure/temperature panels,D:/牛逼系列/牛逼GPU/figures/windsand_shocktube_pressure_temperature.pdf
02_wind_sand_shock_tube,figure,02_wind_sand_shock_tube/figures/windsand_thermal_covariance.pdf,Figure windsand-thermal-covariance,D:/牛逼系列/牛逼GPU/figures/windsand_thermal_covariance.pdf
02_wind_sand_shock_tube,data,02_wind_sand_shock_tube/data/windsand_shocktube_validation.csv,Numerical and published profiles,D:/牛逼系列/牛逼GPU/figures/windsand_shocktube_validation.csv
02_wind_sand_shock_tube,data,02_wind_sand_shock_tube/data/windsand_thermal_covariance.csv,Velocity-temperature covariance,D:/牛逼系列/牛逼GPU/figures/windsand_thermal_covariance.csv
02_wind_sand_shock_tube,validation,02_wind_sand_shock_tube/data/windsand_shocktube_validation_metrics.json,Published-profile error metrics,D:/牛逼系列/牛逼GPU/figures/windsand_shocktube_validation_metrics.json
02_wind_sand_shock_tube,metadata,02_wind_sand_shock_tube/data/windsand_case_parameters.json,Case and reference parameters,D:/牛逼系列/牛逼GPU/figures/windsand_case_parameters.json
02_wind_sand_shock_tube,reference,02_wind_sand_shock_tube/reference/published_reference_profiles.csv,Published Yang et al. profile curves,SOURCE_STUDY_ARCHIVE/cases/consistency/windSandShockTube/reference/published/yang2022_collisionless_ugkwp.csv
03_taylor_green,figure,03_taylor_green/figures/taylor_green_consistency.pdf,Figure tgv-consistency,D:/牛逼系列/牛逼GPU/figures/taylor_green_consistency.pdf
03_taylor_green,figure,03_taylor_green/figures/taylor_green_performance.pdf,Figure tgv-performance,D:/牛逼系列/牛逼GPU/figures/taylor_green_performance.pdf
03_taylor_green,data,03_taylor_green/consistency/taylor_green_consistency.csv,Matched-time invariant and energy histories,D:/牛逼系列/牛逼GPU/figures/taylor_green_consistency.csv
03_taylor_green,data,03_taylor_green/consistency/taylor_green_field_errors.csv,Matched-time field L2 errors,D:/牛逼系列/牛逼GPU/figures/taylor_green_field_errors.csv
03_taylor_green,validation,03_taylor_green/consistency/consistency_audit.json,Authoritative consistency audit,SOURCE_STUDY_ARCHIVE/results/taylorGreen_consistency_curves_20260810/consistency_audit.json
03_taylor_green,data,03_taylor_green/performance/taylor_green_l1_vs_l0_speedup.csv,L1/L0 load-dependent speedup,D:/牛逼系列/牛逼GPU/figures/taylor_green_l1_vs_l0_speedup.csv
03_taylor_green,data,03_taylor_green/performance/taylor_green_incremental_speedups.csv,T1/L1 and S1/T1 incremental speedups,D:/牛逼系列/牛逼GPU/figures/taylor_green_incremental_speedups.csv
03_taylor_green,data,03_taylor_green/performance/taylor_green_s1_t1_cost.csv,T1 and S1 stage costs,D:/牛逼系列/牛逼GPU/figures/taylor_green_s1_t1_cost.csv
