case,mean_ppc,particles,comparison,median,ci95_low,ci95_high,estimate_kind
Nozzle,0.9975,7581,E1_over_L1,1.0008837373906696,0.9923835070673716,1.0037061499925284,direct_paired
Nozzle,0.9975,7581,L1_over_L0,0.327207119282155,0.3179666286052388,0.3307127107675432,direct_paired
Nozzle,0.9975,7581,S1_over_E1,0.9921848900577552,0.9912109538096128,0.995872832304269,direct_paired
Nozzle,0.9975,7581,S1_over_L0,0.3241494694855564,0.3146681460250446,0.3283025542888636,direct_paired
Nozzle,9.975,75810,E1_over_L1,0.9931536627141604,0.9840008499715106,0.9987067846626448,direct_paired
Nozzle,9.975,75810,L1_over_L0,0.3618143991033066,0.3516033952880747,0.3644980378126351,direct_paired
Nozzle,9.975,75810,S1_over_E1,0.9919568074002988,0.9862840199837782,1.0074756086808248,direct_paired
Nozzle,9.975,75810,S1_over_L0,0.3570373414090526,0.3477427628679735,0.3604870193824344,direct_paired
Nozzle,99.75,758100,E1_over_L1,1.0313826659164147,1.02691814003745,1.0343231384385856,direct_paired
Nozzle,99.75,758100,L1_over_L0,0.9924667358759796,0.9920303815247312,0.9933906181781664,direct_paired
Nozzle,99.75,758100,S1_over_E1,0.9992289153491576,0.997512592720231,1.0030301158368893,direct_paired
Nozzle,99.75,758100,S1_over_L0,1.023775837061389,1.0161999879025587,1.0295274162749597,direct_paired
Nozzle,498.75,3790500,E1_over_L1,1.0462267270559165,1.040053977439138,1.0514876134239288,direct_paired
Nozzle,498.75,3790500,L1_over_L0,1.4945135653251118,1.489586770140732,1.500352057797032,direct_paired
Nozzle,498.75,3790500,S1_over_E1,1.0136803265924528,1.0070497533046583,1.01900266186651,direct_paired
Nozzle,498.75,3790500,S1_over_L0,1.582540925000246,1.5772109406550947,1.5915202019222312,direct_paired
Nozzle,997.5,7581000,E1_over_L1,1.0533515470223511,1.047087417728594,1.054655608628602,direct_paired
Nozzle,997.5,7581000,L1_over_L0,1.5994618901169084,1.5980051272411997,1.6068570842198977,direct_paired
Nozzle,997.5,7581000,S1_over_E1,1.0170045474248053,1.0147604215699797,1.0176686446779748,direct_paired
Nozzle,997.5,7581000,S1_over_L0,1.713876471460825,1.6995568368272536,1.7213670441352829,direct_paired
Nozzle,1246.875,9476250,E1_over_L1,1.047025920828464,1.0391953999553325,1.0538786588766116,direct_paired
Nozzle,1246.875,9476250,L1_over_L0,1.600089642495914,1.5963577716883357,1.6149614690600231,direct_paired
Nozzle,1246.875,9476250,S1_over_E1,1.0172749436315949,1.009168149882576,1.028725506939748,direct_paired
Nozzle,1246.875,9476250,S1_over_L0,1.712978663909413,1.701797363403254,1.7210691731094776,direct_paired
Taylor-Green,4.0,131072,E1_over_L1,1.0021588924839202,0.9999230661131684,1.0126974849413133,direct_paired
Taylor-Green,4.0,131072,L1_over_L0,0.3961531239220878,0.3918384515011109,0.3964900194790447,direct_paired
Taylor-Green,4.0,131072,S1_over_E1,0.9979188345395136,0.996956293043248,0.9988817186439446,direct_paired_repaired
Taylor-Green,4.0,131072,S1_over_L0,0.3961821358043082,0.39061575617981004,0.40107542822932335,E1_anchor_chained
Taylor-Green,8.0,262144,E1_over_L1,1.0004369992778843,0.9900644617381288,1.0090819313877746,direct_paired
Taylor-Green,8.0,262144,L1_over_L0,0.437063194984086,0.4341068568987564,0.4375009925216172,direct_paired
Taylor-Green,8.0,262144,S1_over_E1,0.9993835395989354,0.996785046483298,1.007452316243441,direct_paired_repaired
Taylor-Green,8.0,262144,S1_over_L0,0.43698464139055737,0.42841200461479656,0.4447643529613988,E1_anchor_chained
Taylor-Green,16.0,524288,E1_over_L1,1.0032425588190748,1.0026286443749828,1.004136587358046,direct_paired
Taylor-Green,16.0,524288,L1_over_L0,0.5245131703480667,0.5242424181062252,0.524580668112866,direct_paired
Taylor-Green,16.0,524288,S1_over_E1,1.000882422957878,1.0004457315933553,1.0061397856763925,direct_paired_repaired
Taylor-Green,16.0,524288,S1_over_L0,0.5266782784114351,0.5258547506370674,0.5299847779188585,E1_anchor_chained
